0 CP,Brine Pool ,Out Of Context Illithid Supplement,"This small brine pool is just large enough for an elder brain and a few hundred tadpoles. This place perfectly sustains such lifeforms and can be used in a pinch to keep mind flayers alive, though mind flayers find the brine pool’s sickly water to taste flavorless. Still, this is perfect for keeping your spawn alive, and for sustaining you if you are stuck in a place that lacks brains."
100 CP,A Downed Nautiloid,Out Of Context Illithid Supplement,"This is the wreckage of a Nautiloid, the flying vessels that Illithids use to travel through dimensions and time. You can eventually figure out how to repair it. Even in its downed state, this item is a large home base you can operate out of, but if you fix it and restore it to its optimal state you can do a great deal with it, such as use it to travel through realities, or use it as the centrepiece of your own colony. You can also spend 100 CP to restore it immediately. In its restored state it regenerates from damage, is half-alive, and responds to your will and your will alone, as well as is armed with psionic cannons which hit entire towns with immensely powerful mind blasts. You can command it with nothing short of your own will."
200 CP,Resurrection Chamber,Hellboy (Cinematic) JumpChain,"A small pool, hidden away in a labyrinth that is itself hidden away in a cave in some remote part of the world. By committing a human sacrifice in this place, filling the pool with blood, the dead can be revived- one life, for another, with no body necessary."
200 CP,Essence Pool,Doom Eternal,"The living have more value than they know, for in torturing them and breaking them, large amounts of Hell Essence is created from their souls. The simple process of transformation also creates it, but not in nearly as much quantity. It is capable of greatly empowering demons, causing postmortem reanimation in corpses, and being channelled to cause extradimensional portals into other worlds. While it is a shame the demonic hordes barely use any and let most go to waste, you yourself have a series of pools filled with the stuff that replenishes as you use it. May you find new avenues for the flames to spread."
200 CP,Well Stocked Library ,Generic Lovecraftian Film,"This library contains books and research materials ranging from anthropological and comparative mythology to new developments in science. Strangely enough the information within dealing with paranormal entities is strangely accurate to whatever the truth happens to be, despite the wide ranges for weaknesses and vulnerability among common folklore creatures."
200 CP,Daedric Shrine,TES: Daedra,"When you travel beyond into future realms, would it not be beneficial to stay in touch with your Prince? Then this shall be the purchase for you, a statue made in the image of your daedric master, allowing you to communicate with them and receive their blessings regardless of where you are. They cannot exert much power beyond this shrine, though perhaps you could find a way around that?"
300 CP,Cabin in the Woods ,Cabin In The Woods,"Congratulations! That cousin of yours hit the bucket, and now his cabin is your cabin. Residing in a secluded area right next to a lake, the cabin and surrounding land are even surrounded by a force field, preventing nearly anything from getting in or out besides the wind and rain. Extra cozy, limitless electricity, and will even follow you from jump to jump. Basement and secret facility not included."
400 CP,Wundagore Mountain,Dr Strange: In the Multiverse of Madness by Sentry342,"Mount Wundagore is an ancestral mountain surrounded by dark magic and witchcraft. Atop of this mountain is the stronghold known as Darkhold Castle. Within the castle are the original carvings of the Darkhold made by Chthon and the demonic army he left behind. This castle acts as a nexus enhancing rituals and other magics cast within. You will initially receive four Demonic Warriors, but you may create more within the castle."
400 CP,Otherworldly Realm ,Generic Lovecraftian Film,"This is your domain, a pocket of reality which is tailored to you and your comfort. While within this realm you will also find yourself bolstered, somewhat better in every way. This isn’t a massive change, but you in this domain would edge out you outside of it in pretty much any contest. When you purchase this you must choose whether it is some place in normal reality, up to a few miles in its longest dimension, or its own pocket reality. If a part of normal reality it can still have subtly altered physics - like existing in a pocket of (noticeable on a human scale) spacetime resulting in odd and non-euclidean angles - but will never be so altered
as to be intrinsically dangerous to normal matter and will be some environment you find comfortable. I"
400 CP,Daedric Wellspring ,TES: Daedra,"In order to ensure that daedra do not reform within some random realm, the environment or inhabitants hostile and fatal to the newly replenished entity, they have constructed these wellsprings. Massive pools of chaotic creatia that any daedric entity can bind themselves to, allowing for them to be resurrected within it’s waters three days after their death, so long as their souls or the wellspring itself is not damaged or destroyed. You could even bind yourself to this wellspring, granting you effectively unlimited resurrections, barring any of the previously mentioned criteria."
600 CP,Secret Facility ,Cabin In The Woods,"Ah, your very own underground murder complex. Stocked with generic researchers, technicians, and the like, as well as a variety of monsters that can be expanded with the monsters you catch in future jumps. What you use it for is up to you, although I should mention that, if you ever need to, you can lure in some young teens/adults and, assuming they’re killed by one of your monsters, their deaths can be used as a substitute sealing mechanism. This can be for any being that would be considered a god or other overwhelmingly powerful being, just note that they must already be sealed, this just makes sure they stay sealed for at least 1 year. Can be attached to your warehouse or imported into settings."
600 CP,Nekravol District ,Doom Eternal,"Nowhere will you find a greater example of Hell’s ideology, nor will you see a place of greater power. Constructed by Sentinel slaves according to Makyr design, this city produces a large amount of Argent Energy which is used for a great deal of things. This is all done methodically, as Nekravol is a large-scale slaughterhouse. Victims are ferried in, judged, and those worthy are placed further in to the Soul Spires to be tortured and have their souls extracted, mixed with Sentinel Energy to create the unfathomably potent Argent. What you have here is a small district, continuing to produce the energy for you but will ramp up production should you provide the fuel. Naturally, free-range is better."
600 CP,Daedric Realm,TES: Daedra,"Extensions of their Princes, these realms of reality are reflections of their true nature. Although, it need not be that way here. While you could certainly purchase one of the sixteen realms currently lorded over by their Daedric Prince, you can also design your realm to whatever specifications you desire. From geography to the sky to weather to flora and fauna to so many other little things, it would be hard to keep track of. Regardless, this realm will be as large as the continent of Tamriel, as well as a little bit beyond."
