Space Fam Upgrade,Cost,Chapter Unlocked ,Jump/Supplement,Category,Effect
"The Car: Fast, Import",100 CP,,Redline,Upgrade,A modifier for the Space Fam to allow it to be fast
The Car: Hover-Jets,100 CP,,Redline,Upgrade,"Allows the Space Fam to use hover-jets. This replaces ""Nearly Unpoppable Tires"", and maks for a much smoother ride"
The Car: TRZ-Airmaster,200 CP,,Redline,Upgrade,"A rare and out of production engine, you managed to secure one for your vehicle. Outweighing most small cars, this many-cylinder beast has cylinders with eighty-millimeter bores and puts out thirty-five-thousand horses. It doesn’t get any badder. It's also the onlyengine capable of handling 3 Gold Nitros and a Steamlight without being completely destroyed, unlike the rest of your vehicle at that point."
Escape Pods/Life Boats,Freebee,,Halo - UNSC,Upgrades,"While going down with the ship is often seen as an honorable act so that the Covenant do not gleam anything useful from your mind, that doesn’t always have to be the case with everyone else. What if you’re transporting some VIPs or you want the rest of your crew to survive? Don’t make the same mistake as the ships of old. This gives your ship a slew of escape pods and lifeboats dotted all along the vessel, allowing the whole crew to evacuate on a moment’s notice if something goes wrong. It could be a lifesaver."
Life Support System,Freebee,,Halo - UNSC,Upgrades,"People need air to breathe. There’s just no way of getting around this, as even the mighty SPARTAN soldiers have an air requirement. That’s why every ship has air scrubbers and environmental control so that not only can you keep a stable atmosphere going but also to stay comfortable while on these long journeys as well."
Recycling System,50 SP,,Halo - UNSC,Upgrades,"When you’re going to be in the vast depths of space for an uncertain amount of time, you want to be sure to make everything count. Nothing can be wasted left you make an emergency become that much worse for yourself. That’s why there’s a slew of nanoreagent hydrocarbots, a collection of nanomachines that render nearly all carbon-heavy matter into useable fuel for the internal combustion power plants the majority of the UNSC vehicles employ. After all, all those scraps and waste matter humans produce need to go to some use, although it should be noted that if you felt like it corpses can be fed to this system as well..."
M910 Rampart Point Defense Network,100 SP,,Halo - UNSC,Upgrades,"Even with the Covenant fielding large capital ships and energy weapons, they still have fighters. They still use torpedoes. ...and there’s still the matter of the Insurrection remnants that still wish to cause trouble among the UNSC.As a result, point defense is still important. Twin barrels, these turrets pack 105mm rounds rounds and will work off of a ship’s scanners to attack any incoming targets like enemy fighters or approaching projectiles, including oncomming missiles, to keep the ship safe."
Training Areas,100 SP,,Halo - UNSC,Upgrades,"When you’re traveling through Slipspace or have to patrol a relatively quiet section of interstellar space, making good use of one’s time can be very important. After all, just sitting on one’s bottom and letting microgravity take its toll on you is a one-way ticket to becoming squishy and more prone to getting shot at by the Covenant. Plus you can’t just let those SPARTAN-IIs with their fancy augmentations be the only strong ones, can you? This option installs a fully furnished fitness center into your ship along with a boxing ring to help you train and become stronger while you’re passing the time on board. Plus if you have any soldiers in your crew, they’ll appreciate being able to stay sharp. You also install a firing range and an armory so that they can train with infantry weapons as well while keeping well stocked for a fight. Like any ship, the crew must also be maintained."
Food Supply,100 SP,,Halo - UNSC,Upgrades,"Even the mighty SPARTAN soldiers need to eat. Humans are not machines, nor are they A.I. that can go entire years without anything beyond the electricity needed to function. Food is required. Most vessels will come with a mess hall or a few packages of food for the crew to obtain sustenance with, but it’s primarily just to ensure the crew gets all of their required nutrients and calorie intake so that they can keep doing what they need to do. Simple, yet effective. This is upgraded to account for luxury meals that one might find in a high-class restaurant on Earth somewhere, or a bountiful feast during one of the lavish celebrations on Harvest. Costly and high on resources, yes. It’s also a huge morale boost for anyone serving on the ship, too."
Medical Bay,100 SP,,Halo - UNSC,Upgrades,"Did someone call for a doctor? It’s a long way from home, and depending on the type of ship you’re on you could be really out of luck with needing a limb re-attached or fixing up half your organs after suffering burns from Covenant plasma rifles. You sometimes don’t have the luxury of being put in a cryo tank or waiting to get home, and that’s when you need a dedicated medical bay on the ship. Full surgery suite, stocked pharmaceutical section and even a rehabilitation section all comes with this purchase so that anyone who’s got problems can be relatively handled provided the ship isn’t going up in flames."
Repair Bay,100 SP,,Halo - UNSC,Upgrades,"Sending soldiers and vehicles out to complete objectives and stop the enemy from completing theirs is just common sense. You win the war by denying the enemy their win. But the constant battles and struggles will cause some wear and tear on your equipment, to say nothing of the damages that can be accrued by your ship. You need to keep it in order. This installation into your vessel gives a rather substantial repair center so that you can repair and salvage various parts of both vehicle and personal equipment, while having a supply of spare parts for the ship on hand if you needed to lick your wounds after a battle with the Covenant."
Mini-Magnetic Accelerator Cannon,300 SP,,Halo - UNSC,Upgrades,"The inevitable result of what happens when you increase the size of a coilgun while ramping up its power, this weapon has become a mainstay against Covenant vessels in space in the constant war to survive. The system works the same as a regular coilgun, consisting of a linear motor which hold a series of magnetic coils which accelerate a projectile through a barrel up to high velocity. A shipboard MAC cannon does draw power from the reactor of the ship it’s installed on however, and requires a charging up of the coils before the cannon can be fired. As a result, the ship’s reactor and its size are direct factors in how large the cannon itself can be. The size of the ship along with its classification is also responsible for how many cannons a ship can carry, so keep that in mind."
Advanced Slipspace Drive,300 SP,,Halo - UNSC,Upgrades,"The Shaw-Fujikawa Translight Engine finally allowed Humanity access to faster-than-light travel in the form of Slipstream Space, and thus opened their path to the stars themselves. This device works by creating ruptures in between normal space and Slipspace while surrounding the ship in a quantum field to protect them from the dangers of the alternate dimension. The engine itself does not propel the vessel through Slipspace however; it relies on the engines to do so. The more powerful the traditional propulsion of the ship, the faster it goes.
Not only does this variant give much greater accuracy to within a second of expected arrival time and within a kilometer of expected destination, but it’s also much faster than regular UNSC Slipspace engines to the point of being on par with Covenant models. This right here is a game changer."
