0 CP,Food and Water,Halo Infinite V1.0.,"Can’t get far without these. A supply of MREs and clean drinking water, enough to get you through each day. Comes in a small, indestructible storage box that will refill every 24 hours."
0 CP,Tablet ,Halo Infinite,"A very basic computer. Small, thin and indestructible, it can wirelessly and physically interface with anything that has an unguarded connection. Does not have a lot of processing power, but has infinite storage and never runs out of power. Equipped with a single data chip slot."
0 CP,Health Pack,Halo 3: ODST Gauntlet,"Need medical assistance? Choose Optican! This self-contained first aid kit holds most of the battlefield basics; bandages, Biofoam, polyseudomorphine, a sterile field generator, and more. What sets this Item apart, however, is Optican’s miraculous Medigel. This incredible healing agent can be applied to everything from blunt trauma to plasma burns, and will heal most wounds within five minutes of application. Fast, accurate diagnosis, or your money back!"
0 CP,EB Green,"Halo_ Reach, a Halo 3- ODST Gauntlet Supplement ","UNSC brand duct tape, great for quick and dirty emergency repairs and all other sorts of things. This roll of duct tape never seems to run out, you can always find the end easily, it’s extra sticky when you need it and can even change the color or make it double-sided just by thinking of it."
0 CP,Solar Cell ,Halo - UNSC.,"Out in the field it can be dangerous to run out of power when the chances of resupply are days or weeks away. It can be even more dangerous if the Covenant happen to be knocking on your door. That’s why there’s this rather nice device, a small solar panel that has a tremendously high rate of energy efficiency compared to solar panels of the 21st century. Not only is it durable enough to survive combat and can charge its own rather potent battery supply in a few minutes, but it can also be integrated into armor so that it can charge on the move. Harness the power of the sun!"
0 CP,Miniature Action Figures,Halo - UNSC.,"You know what happens to heroes who manage to live long enough in a war? Merchandising. Giving hope means that people are happy, and people who are happy tend to spread the word and spread their wallets at the same time. That’s why you have this little plastic toy that is shaped like you for your time here, capturing your likeness and your armor if you happen to have one. It seems a little odd to spend production resources on things like this, but it’s the little things that go a long way. A purchase of this makes toys for you and any companions you may have to use as you see fit."
0 CP,Halo Material ,Halo - UNSC.,"Maybe you’re bored sometimes. Maybe you want to brush up on the lore or just want to kill Covenant in a video game before you kill them on the field for real. Worry not, for you have this option for you. This package will include all the video games, comics, and novels of the Halo series. It’ll even come with its own online servers that will never go down, if you feel like subjecting others to stuff like this. Just... don’t let ONI or Dr. Halsey get this. At all. Who knows how badly they’ll react if they did."
100 CP,H-165 Target Locator: ,Halo 3: ODST Gauntlet,"When frontline fighters want precise fire support, the sensors in this laser designator make supporting attacks pinpoint accurate. Connecting to local ground forces and spaceborne assets alike, this device allows you to call in a wide variety of fire missions on enemies in your line of sight. Small amounts of ordnance, such as limited missile barrages, can be requested once or twice a day, while MAC strikes and other larger expenditures may take up to a week to restock. Navy assets are very limited, Trooper, but elite units like the Helljumpers get priority."
100 CP,Energy shield,Halo - The Covenant,"The Sangheili may throw themselves into enemy fire while screaming of their foolish honor, and the hated Unggoy may cower as they meekly charge the enemy without any proper equipment, but none of this befits a truly noble exemplar of the Kig-yar. This is one of the mainstays of the frontline infantry of your people- a hand-held shield capable of absorbing any and all plasma fire laid upon it- for a brief time, at least, and totally deflecting any of those clumsy human projectiles fired upon it."
100 CP,Code of honor,Halo - The Covenant," It is a perilous and daunting task, to become a warrior among the mighty Sangheili armies. The nature of that which is required of you is so complex and arcane, that it is next to impossible to memorize it all. Fortunately for you, you won't have to. For you have it in a codified form in the form of a leather-bound tome that contains not only the Sangheili code of honor, but that expands to contain the rules of the code of honor for any and all societies you will ever be a part of."
100 CP,Terminals,Halo Forerunner Saga v1.0,"What strange little devices these are. Slender cylinder pods the size of a fully grown forerunner, they open up to reveal a hardlight construct rather similar in appearance to that of a human eye. What do they do? They act as archival devices. Archives of you, Jumper. Those that access these terminals can view snippets of your past adventures, your past history. Whether this be restricted to just your time within this jump, or allowed to show even more fantastical worlds is up to you. At the start of each jump, you are able to scatter these terminals out into the world in hidden coves, and dark corners. There they will wait to be discovered, and tell their story."
