0 CP,Mercy ,Something Unlimited Jump,"She's a tough woman with a checkered past who is currently working as your personal bodyguard and chauffeur, as well as having some story involving you. In addition to her incredible fighting skills, she also has all the needed skills to act as a big corporation’s CEO. Furthermore, her true nature is that of an adrenaline junkie, as she loves the excitement brought by this crazy life of heists and explosions. She even got a tommy gun next to her bed due to her feeling naked when she doesn't have a gun on her."
100 CP,I’ve Been Dubbed Many Names By Many People,Loki ,"But it’s not as simple as a name. For you, titles that you come to be known by actually have some degree of power, slightly bolstering whatever qualities the title might be related to. If you were well known as The
Conqueror, for example, you would find your attempts at conquest noticeably more successful."
100 CP,⅓ of The Golden Trio-,Harry Potter Movie Series,"You may select one of the members of the main cast of the Harry Potter franchise from Ron, Harry or Hermione. 
"
100 CP,A Reyne of Terror,A Game of Thrones Jumpchain,"You are a very intimidating person. How this presents depends largely on what you are doing. If you're acting honorably, they will see you as someone truly noble. Alternatively, if you're acting with ill intent, they will see you as someone to be scared of. This comes with a willpower boost whenever you are doing something you believe necessary."
100 CP,Daedric Summon,TES: Daedra,"Many daedra interact with the mortal realm through a type of magic more commonly referred to as Conjuration, the art of summoning and binding entities from the realms of Oblivion. You now have a spell dedicated to summoning you that is known only to your Companions, though they can teach it to others, should they feel the need to. The greater your morphotype, though, the more skill and magicka it requires to summon you."
100 CP,Divine Sigil,Black and White ,"This symbol represents you, and anyone that sees it will immediately associate it with you. It’s very difficult to counterfeit and anyone that misuses it seems a little more suspicious to those they’re trying to fool. On the other hand, anyone invoking the symbol who is honestly working  on your behalf is more likely to be believed."
100 CP,Dragonblood,House of the Dragon,"A descendant of Old Valyria, you have the ability to claim one dragon and ride the beast. You can tolerate higher temperatures than normal and will be inhumanly beautiful. Common traits of this are light hair (white, platinum, silver or gold) and eyes of blue or purple. You also have a mastery of the Valyrian language and all its dialects.
"
100 CP,First Choice,A Game of Thrones Jumpchain,"When someone is considering`who to appoint for a position you desire, you will be the first name that comes to mind. Whilst this won’t stop them from choosing someone grossly more qualified and experienced, it will give you an edge if it’s a choice between you, and someone of a similiar or slightly greater competence."
100 CP,Great Manse,A Game of Thrones Jumpchain,"As a diplomat, you generally represent some powerful faction. As such, you have been provided with a great manse to show off your (and your faction’s) status. This lodging is almost decadently luxurious, coming with fine furnishings and an array of servants to look after it."
100 CP,Guest Rites,A Game of Thrones Jumpchain,"By taking this perk, those with whom you make promises or agreements in good faith are far more likely to hold to them. This is strongest in promises not to attack you, but even then, sufficiently motivated or honorless individuals may break them. To break agreements made with you would generally require someone to hate you with all their being, be single mindedly devoted to whatever cause motivates them, or in some other way find breaking the oath to be the lesser problem"
100 CP,I Hear You,Black and White ,"You will always know when your name is spoken or a prayer is made in your name. This only applies to your name specifically, so your divine senses won’t be pinged by the similar names of others. This does not, however, work on pseudonyms and things like referring to you as ‘you-know-who’ which some may come up with to avoid attracting your attention."
100 CP,Immortal Vestige,TES: Daedra,"Death works differently for the daedra compared to mortals. Their souls do not go to a chosen afterlife, are not returned to the Dreamsleeve to be reused in the next kalpa. When destroyed, either in Mundus or in Oblivion, its Vestige is banished to the Void, and attracted back to the plane of Oblivion where it originated,
where it then reforms itself using Chaotic Creatia. Your true nature prevents this, instead
resurrecting you once every ten years,"
100 CP,Luxurious Pelts,TES: Daedra,"No matter how civilized mortals may become, there will always be a desire for the furs of animals. From foxes to bears to mammoths to even werebeasts, there are dozens of fine furs from all manner of creatures within your Warehouse. What you do with them is up to you, though it should be noted that they will replenish themselves after a week."
100 CP,Old Blood,A Game of Thrones Jumpchain,"Within your veins pumps the blood of one of the Great Houses of Westeros, such as Stark or Lannister. As benefiting of your blood, people give you more attention than they normally would when you demand it and are far more likely to bend to your demands or orders than normal. This also gives you a bit of divine right to rule causing vassals to be far less likely to betray you, after all your family has ruled well for centuries."
100 CP,Political Marriage,House of the Dragon,A discrete clause in the Doctrine of Exceptionalism seems to apply to jumpers and their companions as you are not like other men. You can marry whomever you want no matter the familial relation or gender and all government institutions will consider it lawful. Any children you consider yours will also be without a doubt.
100 CP,Serana ,Skyrim: Dawnguard Jumpchain,"Immortal Vampire lady, doesn't like caves, or rain, or sunshine, or anything else really.
"
100 CP,Sworn Sword ,House of the Dragon,A personal bodyguard to always watch your back. They will never conspire against you and always be an above-average fighter
100 CP,The Better Half ,Dragon Age: Inquisition,"You belong to a family of significance and will be treated accordingly. The social standing of the group to which you belong will dictate just how far people will go for you, but at a minimum you will be respected and afforded privileges that are denied to common folk."
100 CP,Title of Land,A Game of Thrones Jumpchain,"A title of land equal to what someone of your station would expect. Regular warriors may have a small block for them and their family, a lord may have a castle, and the surrounding area, a lord paramount may have a massive castle, and an enormous area around as their personal domain, and a royal may have not just an enormous castle, but also an area near equal to the other kingdoms as their land. In future jumps, you can choose to have this be a warehouse attachment, or for it to seamlessly insert itself into the world without anyone but you noticing."
100 CP,Lurch ,The Addams Family,"He might be some form of flesh golem, no one is quite sure. What is sure is that this is a loyal butler, manservant, chauffeur, and friend that is effectively indestructible. Not much of a conversationalist though."
100 CP,Living Gates / Carpet / Pictures ,The Addams Family,"You gain a collection of semi-animate furnishings (tables, chairs, portraits, taxidermy animals, doors) sufficient to outfit a large gothic mansion. These are obviously completely loyal to you and will be as helpful as they can manage, given that they’re only about as intelligent as the average house pet. What kind of pet will obviously depend on your tastes. We recommend large carrion birds... vultures are nice. Badgers work too. These furnishings count as pets if that matters... they’re very protective of you and can sense ill-intentions directed towards you and yours."
100 CP,Family Hearse ,The Addams Family,"A very nice, stretch hearse, guaranteed to look stately (if a little shabby) in any funeral procession. This vehicle never needs to be refueled or maintained, never gets into accidents, can handle any terrain under any conditions, and will gain the special abilities of any fiat-backed ground vehicle that you possess, with any obvious modifications somehow hidden unti needed. It also always has a convenient coffin in the back."
100 CP,Voice of the Commander ,Warhammer Fantasy: Rise of Sigmar,"It takes a special breed of man to lead others in the fires of war, and you are one such example. There is something about you that makes
you stand out, and others hanging onto your words. Even in the heat of battle, your orders will be clearly heard by all those who fight under you, who will carry them out to the best of their abilities. They will trust you to lead them to victory, so be confident, and ensure that you can live up to their expectations."
100 CP,Cozy Home,The Legend of Zelda Series ,"Everyone needs a place to call home, where they can rest their laurels and relax after a hard day’s work. You now find yourself the owner of a decently sized home, with four bedrooms, two bathrooms, and a fully stocked kitchen. It is already furnished, and all yours to do with as you see fit."
100 CP,Noble Attire ,The Legend of Zelda Series ,"Should you desire to present yourself as nobility, then you need to look the part. Thankfully, this fine set of clothing is exactly what you need. Extremely comfortable and made from high quality materials, it accentuates your best features, making you seem slightly more beautiful than before."
100 CP,Slave Collars,Warhammer Fantasy Dark Elves Jumpchain,"A collection of ten black-iron bands. These collars bear a mild enchantment that beats down the will of whomever you place them upon, though a strong will can ignore such an enchantment. You may purchase as many of these as you like."
200 CP,Advisor to the Throne,A Game of Thrones Jumpchain,"It is a sad but common fact amongst those who seek to advise kings, that their leaders do not always take it very well. Whether it be Aerys burning those who bring him bad news or Cersei imprisoning those who speak against her, rulers often give gruesome fates to those who tell them things they don’t want to hear. Luckily, you will never share those unlucky souls’ fate, as, no matter your personal relationship with someone, their mental state or the particular news, you can be safe in the knowledge that they will both take it on board and won’t kill, harm, torture, censure or otherwise inconvenience you for doing so. This only works if you are honest, sincere and faithful in your attempts to help however, so lying to them about important information, inciting rebellion amongst their subjects or undermining their rule would still get you arrested or executed for treason."
200 CP,Blackfyre ,House of the Dragon,This weapon was wielded by Aegon II Targaryen.  It is lighter than the average sword but still every bit as deadly as the usual Valyrian Steel standards. Any who wield this sword can go on for longer periods and find negotiating as a whole less exhausting than without.
200 CP,Castle Jumper,Marvel Magic,"​What is the point of living if you don’t do it in style? Certainly, you know the importance of aesthetics even in the face of practicality... but that does not mean that something can’t be both stylish and practical. You are the proud owner of a large european castle. It’s practically straight out of a storybook, having stone walls, great towers -- hell, the thing even has a moat. However, despite its ancient appearance, it is fully updated to the modern times. Possessing everything from standard amenities such as running water and electricity to a state-of-the-art security system and laboratories. The way you live should make a statement, a fact that you seem to understand very well."
200 CP,Clay Figurines ,The Clash of the Titans,"This is a set of small clay statues. You get one for each of your companions, followers, and pets. These figurines reflect the current status of the individual they are made to resemble. You can use magic you possess through these figurines to affect the figure represented by them as if they were in your presence."
200 CP,Crystal Coffin,The Death Gate Cycle,"When they realized the problems they were facing, many Sartan chose to go into stasis, intending to wake up when the threats had passed and the situation in their new creation had stabilized. This crystal coffin will preserve a single human sized life form in stasis more or less indefinitely. You can set it to awaken its occupant on any time scale you choose. Note that time spent in stasis using this does not count toward your traditional ten years, or any modified jump duration. The Sartan discovered there were no guarantees what kind of world would be waiting for them when they woke up, but as a mercy, I will guarantee that no harm will come to you while you are in stasis."
200 CP,Gap Junction ,Dr Strange: Multiverse of Madness,The gap junction is effectively one of the most secure vaults in all of Marvel. This junction is a separate dimension sealed away from the rest of reality. The only way to access it is a unique lock created by the user. This version will be attuned to you and function as a warehouse attachment. No one will be capable of breaking into this vault and only those you allow can even find it.
200 CP,Insane Gatekeeper ,TES: Daedra,"I  don't know how you did it, and quite frankly I don't want to know. This massive flesh atronach was specially crafted to help protect the gates to the Shivering Isles, and now you are the master of one such creature. It's extremely durable, highly resistant to magic, and can take down an entire mercenary company on its lonesome with ease. It would be madness to try fighting against this thing."
200 CP,Looks Fit for Royalty,Aladdin,This is Disney and with Disney there is one rule: all the heroes and princesses must be attractive. Now you fit that mold and will be at least an 8/10. Thank you Disney eugenics. This trait will be passed on to your offspring.
200 CP,Mark of Belonging,Constantine ,"Not everything you need comes on a neat list. This is a small mark denoting you in some
specific, special way. So special that you may take whatever you place it on with you, and be assured of it working in future universes like any item bought with CP."
200 CP,Null Magic Prison ,The Death Gate Cycle,"The walls of this large room are engraved with glowing Patryn runes. Inside it, any magics or other extraordinary abilities cease to function beyond the extent required to keep their prisoner alive. If you can get someone inside, they will be unable to escape except through purely mundane means."
200 CP,Support of the Men,House of the Dragon,"Say what you will about Daemon Targaryen, but the man instils loyalty in his fighting men. Whether the Gold Cloaks or the Sea Snake’s soldiers, Daemon was beloved by the warriors he fought with. Now you enjoy a similar boost to the loyalty and morale of the soldiers you lead or serve alongside."
200 CP,Throne Room,The Hobbit Jumpchain,"Some situations call for a place where you can be intimidating. You now possess a throne room fit for a King. Every item in this room displays your immense wealth and  power, and the throne is a massive chair that is also surprisingly comfortable. Whether you’re interrogating dwarves or goblins, this room is perfect for showing off your power. It can be dropped into any property you own or it can be added as a warehouse attachment."
200 CP,Trebuchet,Dragon Age: Inquisition,A small model of a siege engine. Place the engine on the ground and a full sized trebuchet will appear in its place. Trebuchet will remain in place until dismissed at which time it will return to its model configuration. Trebuchet can be deployed and redeployed once a day.
200 CP,Wind Lance,The Hobbit Jumpchain,"When a regular sized bow just doesn't cut it for defense, a Wind Lance might be better suited for the job. This is a dwarf-crafted weapon similar to a ballista or giant crossbow. Its arrows are large and strong enough to take down even incredibly large and tough foes."
200 CP,Addams Manor,The Addams Family,"You have a beautiful Addams style manor and grounds, including a lovely swamp, desolate wasteland, and an extensive set of caves and underground vaults. This manor will provide all its own utilities and supplies, and will keep itself maintained in the proper Addams-style condition to make you feel right at home. You will never have to pay taxes or any other form of expense for this home, and it will never be damaged by anything but deliberate attack. Or, if you are some kind of freak, this can be a “normal” home, decorated in the latest fashion with the same advantages. But really? Pastels?"
200 CP,Runefangs,Warhammer Fantasy: Rise of Sigmar,"Crafted by the dwarf runelord Alaric the Mad for the burgeoning Empire of Man, these twelve runic swords would serve as the symbols of power for those who would eventually be known as Elector Counts. With potent runes carved into them, they are capable of carving through gromril and dragon scales as easily as normal flesh. Those who bear them are given a subtle air of authority."
200 CP,Raiding Horn,The Legend of Zelda Series ,"A decorated horn crafted from the remains of a lynel, its sound capable of being heard clearly even across an entire battlefield. With this, you are able to accurately directe your forces by just blowing into this horn, no matter the din of battle. They won’t even question it, only their new orders should they be foolish enough to go against your clear wisdom."
