100 CP,Psi Lab,XCOM 2 JumpChain,"A lab that you can use to train psionically gifted individuals how to use their powers. You cannot use this to bypass the psychic perk, but people in universe that join you can use these facilities to become more proficient. It takes about 3 months to fully train someone and you can train 2 at a time."
100 CP,Psionics Lab,XCOM Enemy Unknown JumpChain,"A dedicated lab for the study of psychic phenomena, and testing and training of psionic potential."
100 CP,Wraithbone Cache,Generic Warhammer 40K_ Fanfic ,Wraithbone is the primary construction material used by the Aeldari people and is the staple of their technology. It is made of crystallized warp essence that has been shaped by an Eldar pouring their thoughts and intent into it. This purchase grants you a large supply equal to that of a normal shipping container and will refill weekly if it has been emptied or used up.
100 CP,Spice Cache,Frank Hebert's Dune JumpChain.,"This is 10 decagrams of Spice (1/10th of a kilogram). It’s worth enough to live on for a decade in this universe. It is worth 5,000,000 Solaris or roughly 50,000,000 Dollars US. You get another 10 decagrams every day, and in other universes, you won’t have to convince people that it really is Melange. It is just as addictive and powerful in other universes as it is here. You also gain a plate of 18 freshly baked Spice Cakes, 24 pieces of Spice Candy, and enough Spice Coffee to make 36 cups every morning. Consuming Melange can slow the aging process drastically, enhance intelligence, reflexes, and general awareness. In large doses it can also counter poisoning. Prolonged use turns the eyes blue on blue and using it to excess generation after generation can lead to profound physical mutations and genetically enhanced psychic powers."
300 CP,Gollop Chamber,XCOM Enemy Unknown JumpChain,"The Ethereals themselves utilize a psychic network. This chamber allows you to access it, for those who want to try and skip to the end, and also serves broadly as a psychic enhancer."
400 CP,Infinity Circuit,Generic Warhammer 40K_ Fanfic ,"An Infinity Circuit is the psychoactive matrix at the heart of each Aeldari Craftworld. These matrices house the souls of the fallen Eldar and give their guidance to the living. Purchasing this will grant you an infinity circuit that contains the souls of many fallen Aeldari warriors. These will be willing to provide you with all of the knowledge they possess, and should you have wraith constructs be willing to take command of them to assist you in battle. This circuit can also protect any Eldar that are with you from Slaanesh as long as you bring their soul stones here."
600 CP,Laboratory,Warhammer 40.000 - Minor Xenos JumpChain,"This minor laboratory is perfectly set up to study psi-tech, both physical and biological, in a safe and consistent manner, is shielded from external supernatural phenomenon both natural and artificial, and cannot be broken into, damaged, or stolen from by any malicious power, regardless of their intelligence or power. It contains heavily encrypted notes, decrypting them would take the most brilliant mortal minds centuries of uninterrupted, dedicated effort, and the psychic protections mean that such a task cannot be brute forced, automated, or bypassed with precognition. Decryption must be performed manually by a sapient mind. However, the notes themselves are intriguing, some bear illustrations of bipedal silhouettes with pointed ears, some slender and some muscular, some with gaping maws and spiked tails, and one in particular bears a white arch."
600 CP,Psychic Choir,Star Wars vs Warhammer 40K Jumpchain V1.2,The psychic choirs are a tool used by many members of the Imperial Navy as well as other ships throughout their galaxy. These choirs protect the navigators and Astropaths allowed them to endure far more of the Warp then they could do so on their own. This choir will protect you from the backlash from any failed attempts or if you overload your power. Additionally the choir will greatly boost any psychic power or similar ability that you possess. This is particularly useful for naval warfare utilizing Navigators. A tactic employed by the Imperium occasionally is to use their psykers to mind control members of enemies' vessels causing them to collapse without firing a single shot. Lastly should you add other members to the choir the room will stabilize your powers ensuring that all of you function at peak efficiency.
600 CP,The Golden Throne and the Astronomicon,Generic Warhammer 40K_ Fanfic ,"This item is made up of two parts. First the Golden Throne which is a powerful relic from the Dark Age of Technology. It is an extremely powerful psychic amplifier allowing the user to exert power far beyond their normal capabilities. In addition it also is a powerful life support system. Allowing the Emperor to survive for over 10,000 years after his body should have perished. Second is the Astronomicon which is guided with the power of the Golden Throne. The Astronomicon is a powerful psychic beacon allowing the Imperium to safely travel through the warp. It allows for citizens of the Imperium to find their way through the daemon infested regions of the warp. Post jump this will still act as a beacon allowing for safe travel through the dangers of the universe and through other dimensions."
600 CP,The Black Library ,Generic Warhammer 40K_ Fanfic ,"The most obscure corner of the webway and perhaps the greatest source of knowledge within the 40K universe. It contains all of the Eldar vast knowledge including the forbidden knowledge of Chaos. Normally the library itself would protect against anyone who hasn’t tempered the chaos within themselves, but by purchasing it you gain complete access. Be warned much of this knowledge is forbidden for a reason. In addition this library will come with a Harlequin troupe who will serve the master of the library or in this case you. This group will be led by a Solitaire. Should any of them die they will be reborn within the library."
600 CP,Eye Of Ages,X-Men Evolution JumpChain,"This pyramid shaped vessel is a copy of the one that Apocalypse had in his old days. While a bit on the small side this pyramid is the most advanced object on the planet. It’s capable of flight, has an interface to amplify psychic abilities, instant teleportation to anywhere on the globe, and has the power to turn humans into mutants and vice versa. The thing that would make most scientist drool however is the database of technology included in the Eyes Of Ages. Inside this database is a treasure trove of advanced technology that would make the modern world look like the egyptian periods. Power Armor, gene enhancement for mutants and humans, and much more lie within the vessel ready for research and creation."
600 CP,X-Mansion,X-Men - The Animated Series v2.0,"You possess your own replica of Xavier’s mansion and surrounding grounds. This expansive facility contains underground vehicle hangars, laboratories, a copy of cerebro, and the necessary buildings to function as a school. It also possesses extensive security features in the form of both cameras and sometimes automated weaponry, and underground bunkers, though the effectiveness of these defenses is routinely in doubt as they consistently fail to prevent attacks or children from
sneaking out (though to be fair one of those children had the power to teleport them all). This does come with a copy of the danger room but it is limited to its canon capabilities before Forge upgraded it (no hard light holograms), and even if upgraded will still require your programming skill to make the scenarios."
800 CP,Martian Bio-Ship,Young Justice JumpChain,"The Martian Bio-Ship is a living organism capable of travel through space, as well as through water. It’s durable enough to withstand large explosions, though it lacks weapons of its own, and it’s capable of shapeshifting to add additional features to the ship as well as to camouflage itself. It is capable of assimilating technology into itself, including alien technology, and can be piloted using telepathy or through more manual means."
