0,,CP Cost,Name,Jumpchain,Description,PERKS,COVER,46
,,,,,"The World Champions are considered to be the ultimate warriors of their realms unmatched by any other. In fact it was stated that a World Champion could match six members of Ainz Ooal Gown simultaneously. Their strength is enhanced even further once they receive the recognition of the world. They are given incredible combat prowess, empowered within their respective worlds, and gain access to some unique skills. These skills include Dimension Gap, Dimensional Slash, and World Break. You may optionally choose one of the nine realms to gain a connection to. This will have some special effects on the realms and the beings within the Realm/Plane/World",,,
4,,Free,Job Class,Grand Foreigner,"YGGDRASIL had over 2,000 basic and advanced job classes available. This perk works by granting you access to the YGGDRASIL leveling system. As such you may use DnD and Pathfinder Classes as Guidelines for your build. This however, would ignore unique restrictions such as spell slots while retaining special class features. Your available Class Levels are equal to your Character Level. For example, most Servants were approximately level 50. This means that someone could choose between 5 and 10 different classes depending on the class in question.

You can also mix/combine classes into an advanced/secret class. Think along the lines of unlocking Spellsword by being a Knight and a Mage. Yes, you may use homebrewed content. But nothing too game breaking, mmkay? Also, this perk focuses on class purely rather than racial levels as well. Lastly, you may also freely give the others the ability to use this system as well. This will include other miscellaneous features such as the Inventory, the Stat Page, and messaging between users.",,,
5,,100,Saint Gatherer,Fate/Grand Order,"A unique substance to be found in this world, Saint Quartz are powerful multi-coloured crystals that can be attained by accomplishing certain sorts of actions. Completing quests or journeys, making daily significant progress towards your main goals to gain every second day, taking part in important events in the story of the world or forming very close and strong bonds with other people all have a chance or certainty of granting a Saint Quartz. Once obtained, there are three uses for these crystals. One can be used to fully restore your energy and fatigue, one can be used to revive you and a small number of allies from the brink of death to full health again or one can be used to chance the summoning system within the Grand Order system, so long as one has the support of Chaldea. This perk is free for Human Type Jumpers for the duration of the jump but may be kept for future jumps, or bought by Servant Types, for 100CP.",,,
6,,100,Enduring Mysteries,Generic Nasuverse,"Normally, all magic in the Nasuverse is dependent on a lack of understanding formerly known as Mystery. If something is understood, then it ceases to be a Mystery and can no longer be used in magic.

You no longer have that problem. As long as you use a Mystery before it's unraveled and understood, you'll always be able to use it. Almost as important, you’ll be able to teach others to use that Mystery as well.",,,
7,,200,The Power of Love,Fate - The Island of Sin,"There are few forces stronger than a yearning heart. You are able to take your own feelings of love—or, indeed, simply the strength of your desire for love—and convert the power of this emotion into magical energy. This magical energy can be used to supplement your own, or you can turn it to a more offensive use like Cnoc na Riabh, turning it directly into beams and projectiles of raw power to blast your enemies into oblivion.

You can also use it as a vitalizing agent, imbuing its power into others to energize and empower them—this is accordingly more powerful the more affection you feel for the beneficiary of its effects.",,,
8,,200,Of course Monsters drop stuff on Death,Fate/Revelation Online,"Here in SAO, killing an enemy will cause them to shatter into shards which will then disappear. This will also cause them to give experience, as well as dropping money and items for killing them. Well, now you get to take the ability to get drops from your enemies wherever you go! (Enemies shattering on death and disappearing are optional) Yes, you may now take this mechanic from SAO out into the real world, and other jumps. Although, the items that would normally be dropped and the money you get will be related to how difficult the opponent is. After all, you wouldn’t get a million dollars off of your average boar right? So, the quality and quantity of what you get is directly related to the strength and rarity of what you kill. You'll also get anything that your victim may have had on them that you would desire, so if you were killing an animal for meat, you would get it all along with the drops you would already get. For your drops (and loot), you may choose to have them simply appear on your victim’s remains (if they exist), have them sent to your warehouse, or have them deposited into any inventory or pocket dimension you may have. Naturally, everything will be perfectly processed without you needing to actually do any looting. Any of the options you have here can be changed at any time",,,
9,,200,Golden Rule,Grand Foreigner,"As Yggdrasil was a game every action granted the players a reward no matter how simple. When Ainz was transported to the new world his belief in this concept was taken as well. His view was enforced on the world similar to a passive Noble Phantasm. As a result every action will grant the user an appropriate reward even if there should be none. For example, Ainz found that every foe he killed dropped a Data Crystal and some other treasures even though the vast majority of them shouldn’t have left anything behind.

For another 200 CP you can upgrade this to Golden Rule EX. This unlocks the skills true potential allowing to acquire vast riches with ease. Merely by following your journey you will attain unlimited resources. This includes limitless wealth, legendary artifacts, lost knowledge, and valuable materials. Should you actually attempt to gather resources you will find these resources even more easily in greater quantities.",,,
10,,200,Magic Knight,Grand Foreigner,"Amongst the four vampires who serve Cainabel, Dracula is considered the most dangerous. This is due to his class as a Magic Knight. He is weaker than a mage or warrior, but he makes up for it with his synergy between power systems. Taking this perk grants you two special abilities. First, it grants you the Magic Knight class and increases your skill with it to match Dracula. Second, this perk allows you to synergize your abilities to create more classes similar to the Magic Knight. For example, you could combine Healer and Archer to create a long distance healing class.",,,
11,,200,Active Skills,Fate/Extella,"A new method of battle for the powerful Servants, Active Skills are an allowance of the Moon Cell that translates the special powers, spells and skills of a Servant into repeatedly usable, no cost abilities. A blast of light from a holy sword, a barrage of magical spells or a special martial arts technique- all able to be instantly executed and without normal energy costs. Only four Active Skills can be contained in one Servant at a time, requiring a period of rest from battle to change them out, but otherwise almost any ability can be made into this form. The limitation is that Active Skills have a cooldown timer before they can be used again, more powerful Active Skills compared to your base level of ability requiring longer times. 

Only three kinds of things are limited from being turned into an Active Skill. Your most powerful abilities, such as the complete release of a Noble Phantasm, and things with extremely high and unique costs, such as requiring the sacrifice of a Noble Phantasm or large portion of your own life to use. Finally, anything that would take more than a few seconds will be invalid for Active Skill use, like magical rituals.",,,
12,,200,Prodigy's Curse,Fate/Legends: Empires of Antiquity,"Artists are ever so jealous of each other. It can drive them to do some crazy things. That’s the story, isn’t it? That you went mad after your rival surpassed you and stabbed them to death. It’s what everyone says. Just a rumour? I doubt anyone will believe you when you might kill someone just by getting mad at them. Killing intent is very much a active force for you, a literal energy that you can shape and draw out as if it were mana. Gathering it into physical form, shaping it, even using it to power magical abilities. Killing intent and malice provide great power and corruptive ability to what it is imbued into and even when using just the raw red energy by itself, it can cause severe mental damage on those it touches or outright kill the unprepared, weak or those without magical resistance, the intent ravaging their minds and spirits. Particularly potent when mixed with magical energy and even more so when used with music-associated magic, turning normally weak musical incantations into weapons of extreme lethality. The killing intent must be kept tightly controlled however. Much like the stories that sometimes go around about your temper, letting this energy roam without a leash could result in hurting someone just because they annoyed you.",,,
