0,Perk Name,Cost,Source,Description
1,Cold Iron,200 CP,Original,"A magical metal with the unique property of slowly ""freezing"" the magic of a living creature in the area of contact. This makes it harder to use spells utilizing the affected body part and can even harm magical creatures that rely on magic to maintain their physiological functions. You receive a full shipping container of this material in ingots.

Recurring Supply (+100 CP): An additional container of Cold Iron is delivered to you each week, but only if you actually want or need it at that time."
2,Stakewood,100 CP,Original,"A specially treated wood that paralyzes vampires (partially or completely) when it pierces their flesh. It can also slow down or even prevent the turning process if inserted into the flesh of a freshly bitten person. It might has some effect on other types of undead. You receive a full shipping container of this material in various forms, configured to be as useful or desirable to you as possible at the moment of delivery.

Recurring Supply (+50 CP): An additional container of Stakewood is delivered to you each week, but only if you actually want or need it at that time."
3,Blessed Salt,100 CP,Original,"Alchemically processed salt that can act as a barrier against dark magical creatures when poured into lines, making it harder for them to cross the bounded space, or even preventing it entirely in some cases. You receive a full shipping container of this material, packaged in various sacks, boxes, and other vessels that you would find most suitable at the moment of delivery.

Recurring Supply (+50 CP): An additional container of Blessed Salt is delivered to you each week, but only if you actually want or need it at that time."
4,Spell-Arrester Copper,200 CP,Original,"A magical metal that slightly attracts spells flying nearby and ""grounds"" them. It works primarily on spells with a projectile form (such as hexes, charms, or jinxes) drawing their trajectory toward the metal like a lightning rod for magic. You receive a full shipping container of this material in ingots.

Recurring Supply (+100 CP): An additional container of Spell-Arrester Copper is delivered to you each week, but only if you actually want or need it at that time."
5,Mystical Neodymium,150 CP,Original,"A magical alloy that functions like a magnet, but for mystical energies with a clear positive/negative conceptual ""charge."" It possesses distinct positive and negative parts, which are attracted to or repelled by corresponding negative or positive magics in objects or the environment. It does not interact with neutral or near-neutral magic. Its behavior might become slightly unpredictable when exposed to mystical energies that are not part of a duality with clearly defined positive and negative aspects. It is even less predictable, if it's triality or quaternity, or something along the lines. You receive a full shipping container of this material in ingots.

Recurring Supply (+75 CP): An additional container of Mystical Neodymium is delivered to you each week, but only if you actually want or need it at that time."
6,Hungry Lead,150 CP,Original,"A magical metal that can accumulate and store magic when mystical energy in question is poured into it with intent, or when it passively absorbs ambient mystical charge from a saturated environment. The more magic stored inside, the heavier the metal becomes. It slowly loses magic over time, returning to its empty and lightest state. There is a limit to how much magic can be stored, as growing internal ""pressure"" causes leakage to accelerate. You receive a full shipping container of this material in ingots.

Recurring Supply (+75 CP): An additional container of Hungry Lead is delivered to you each week, but only if you actually want or need it at that time."
7,Scarlet Iron,200 CP,Original,"A magical metal created through the permanent alchemical transmutation of blood into iron. On contact, it causes blood incoagulability, and if used to cut a living creature, it induces severe bleeding. The metal can soak up and preserve blood like a sponge, releasing it slowly over time. It is particularly useful for blood-related magic. You receive a full shipping container of this material in ingots.

Recurring Supply (+100 CP): An additional full container of Scarlet Iron is delivered to you each week, but only if you actually want or need it at that time."
8,Ruinite,50 CP,Original,"A foul-looking solid magical substance created through the permanent alchemical transmutation of a rust mixture composed of various specific metals. It is ugly, brittle and reeks. On contact, Ruinite accelerates specific natural processes: erosion in rocks, corrosion in metals, and rotting in dead organic matter. It is highly carcinogenic and allergenic to living beings. You receive a full shipping container of this material in various tightly sealed vessels suitable for your current needs.

Recurring Supply (+25 CP): An additional full container of Ruinite is delivered to you each week, but only if you actually want or need it at that time."
9,Blightinite,250 CP,Original,"A magical metal created from alchemically processed cesium. It is darker in color and significantly less radioactive than its mundane counterpart. However, the first time a dark spell (curse, hex, or jinx) strikes it, the metal permanently remembers the effect, subtly shifting in shade and beginning to emit radiation conceptually ""colored"" by that dark magic.

This ambient radiation replicates a weakened version of the spell's effect on living things in its vicinity. For example, if struck by the Killing Curse, the metal would emit radiation that causes gradual spiritual withering and interferes with the connection between body and soul. You receive a full shipping container of this material in ingots inside tightly sealed enchanted boxes for safe storage.

Recurring Supply (+125 CP): An additional full container of Blightinite is delivered to you each week, but only if you actually want or need it at that time."
10,Pure Coal,150 CP,Original,"A magical substance created through the alchemical purification of vast amounts of ordinary coal. It is gray, almost bone-white in color, and burns for an extremely long time with flames that are far brighter, hotter, and distinctly blue. It produces almost no smoke or soot. The flames possess a supernatural purifying quality, making them effective for cleansing rituals, removing curses, or burning away corruption. You receive a full shipping container of this material sorted in boxes and sacks.

Recurring Supply (+75 CP): An additional full container of Pure Coal is delivered to you each week, but only if you actually want or need it at that time."
