0 CP,Barometer ,Age of Sail,"A marvel of the modern age, this device measures the air pressure. When the needle drops below the red line, you’re no more than a few hours out from a storm."
0 CP,Books on Sailing ,Age of Sail,"Twenty of the best books on how to sail, a mix of contemporary and modern. The Manual for Sailing, Sailing For Dummies, Sea Power, that sort of thing."
0 CP,Almanac ,Age of Sail,"A book of 21st Century quality maps and charts, modified to fit local conditions, no canals that don’t exist and so on. Be careful who sees them, because nobody has maps this good."
0 CP,Rations,Age of Sail,"Hardworking sailors would eat 3,000-6,500 calories a day, much of it expensive salted meat. Whatever else you may add, you get a basic minimum weekly ration of; 7 lbs. Biscuit, 4 lbs. Beef, 2 lbs. Pork, 2 pints peas, 2 pints oatmeal, 12 oz. cheese, 6 oz. each of sugar and butter, 7 gallons beer, and enough lime or lemon juice to ward off scurvy."
100 CP,Supply Crates ,The Pirates of Darkwater,"A set of a dozen sturdy wooden crates. Any foodstuffs or other perishables placed in the crates will enter a suspended state where time will not pass for them—they will never go bad or rotten, and pests such as insects or bacteria will not touch them. As a bonus, the crates start packed to the brim with a dizzying array of Merian foods, from the simple to the expensive and exotic, including minga melons, draja fruit, viperion eggs, puca-luca pie, baruka bread, janda cakes and candy clams."
100 CP,Warrant of Trade,Pirates of the Caribbean Jumpchain,"This Warrant is a very fancy bit of paper that is presented by the East India Company or the King. Or someone else important. It gives you the right to transport goods, even those normally considered illegal in your area (NO MATTER where that area may be). If you’ve got some legal skills, it could even be interpreted to allow you to be a lawful pirate (After all, you’re just transporting goods from their ship to yours!)"
100 CP,Plunder,Assassin's Creed Black Flag,"A ship is, to certain individuals, just a floating treasure chest. And so many valuable and useful materials can be found here. Namely, Wood, Metals, Cloth, Rum and Sugar. You now get a weekly shipment of each of these materials, be it for crafting purposes, personal enjoyment or selling. "
100 CP,Fancy Carriage,Cutthroat Island V1.0.," A horse-drawn carriage with plenty of embellishment to announce that the one riding
in this is high-class. The seats and bench are quite comfy, and the interior will never be stuffy or drafty."
100 CP,Ship Supplies,Cutthroat Island V1.0.,"Enough fresh water, preserved food, ammunition, ship parts, medical supplies and more
to outfit any one vessel you wish."
200 CP,Fancy Liquor ,The Pirates of Darkwater,"A small wooden crate containing a selection of 12 of the finest alcohols to be found in Mer, including wines, whiskies, rums and gins. As well as being excellent quality, you’ll find that a bottle from this chest is pretty much always the perfect gift—anyone you’d like to butter up with a bribe or just perk up with a present will react positively to receiving just one of these bottles (even if they don’t normally partake: it’s the thought that counts, after all!). The crate refills itself, replacing any missing bottles, once a month."
200 CP,Arsenal,The Pirates of Darkwater,"A well-appointed arsenal of common Merian weapons, including swords, daggers, spears, harpoons, bows, and so on—enough to outfit a crew of a hundred ruffians. This also includes dart pistols (a one-handed weapon that shoots a single 12-inch, three-pronged dart) and rifles (two-handed weapon that shoots two 18-inch, multi-pronged darts). "
200 CP,Slave Shipment,Pirates of the Caribbean Jumpchain,"An unethical and sick practice, but shockingly legal in many countries right now. A lot of people make good money from selling their fellow human beings. Distasteful, but if you want to join in the trade, take this. A few dozen broken slaves, guaranteed to never rebel,, unlike those of Maroon. The specifics like nationality are up to your tastes and should you sell, damage or kill one of them a new one will be provided within a month."
200 CP,Ship's Provisions,Pirates of the Caribbean 1.0,"Because pirates actually need to eat in these movies. This is a medium ship’s worth of supplies containing everything needed to keep a ship operational during extended voyages. This means dry food, water, and even some luxury items like coffee, tea, and sugar for you. This also includes items for ship maintenance and medical items, and the supplies can sustain a ship for three months. The supplies replenish every three months, automatically refilling any ship of your choosing. Post-jump, it adapts to whatever vessel you are using.
"
200 CP,Trade Goods,Pirates of the Caribbean 1.0,"A cargo hold's worth of valuable trade goods, enough to fill a vessel. You choose what type of goods this represents: exotic spices, weapons and ammunition, or any other trade goods appropriate to the era. The quality is excellent, and this is enough merchandise to make a substantial profit if sold wisely. Here’s the truly valuable part: this shipment replenishes every three months, and you can even purchase this multiple times for different types of goods. Post-jump, the goods adapt to be valuable to whatever setting you are entering.
"
