100 CP,Gyrinx,Warhammer 40k- Craftworld Eldar JumpChain.,"This graceful, cat-like creature is odd in many ways. Empathetic to a fault, and capable of forming a mighty mental bond with its owner, it can even improve the speed of its master's thoughts. In temperament, habit, and even (slightly) physicality, it will, as your bond grows, come to resemble you."
100 CP,Psychic Master,Fallout Mutants,"A beautiful woman who wouldn’t be too out of place on one of those Old World holovids, she is by far one of the most potent and versatile psykers around. Not only can she lift Super Mutants into the air with ease, but her telepathy allows her to read the minds of anyone nearby. Her most useful power, though, is her ability to teleport within line of sight, offering her unparalleled mobility."
100 CP,Net Runner ,Fallout Mutants,"A young woman who was once part of an Enclave experiment, one meant to artificially induce psyker abilities into people. She possesses a potent ability, that of technopathy, allowing her to mentally link to and manipulate technology. She dreams of one day travelling to the moon. Will you make her dream a reality?"
100 CP,Wyrdvane Psyker,Warhammer 40k- Imperial Guard JumpChain,"You’ve picked up a Wyrdvane Psyker, a psyker who has yet to fully master their powers, though they are trained and screened enough to minimise the risk of Perils of the Warp occurring. Under the gaze of a more experienced, controlled peer (such as yourself), they can link minds together and channel the power of the Warp in a relatively safe manner. This may be purchased multiple times, if you wish to create your own battle squad."
100 CP,Librarian Don Sideslide of the Blood Ravens ,Black Crusade Part 1 - Rise of the Void Walker.,"...lock the Reliquary. Don’t get the wrong idea, this loyal and strong Librarian is ever vigilant and loves to learn whatever he can in order to help his friends win battles. He even tries to do his best to teach those close to him, as he feels knowledge is what ensures that everyone is properly equipped to handle situations. He’ll fight tooth and nail for the right to spread knowledge. But things have a habit of going missing around Don. For reasons. Just play it safe and make a habit of locking up whatever you can around him."
100 CP,Sylandri Veilwalker,Warhammer 40.000 - Ynnari JumpChain,"A shadowseer of the Harlequins’ Masque of the Veiled Path troupe. Fond of secrecy and illusions, an
incredible friend to have, but also incredibly annoying with her refusal to ever explain herself, deal with the cleanup, or do shared chores."
100 CP,Yvraine,Warhammer 40.000 - Ynnari JumpChain,"A dancer from Biel-Tan, became a warlock, and a warrior, before becoming a pirate captain and winding up in an arena in Commoragh where she challenged Lelith Hesperax, lost, and then was killed and reborn at the hands of a priestess of Morag-Hei as the herald of Ynnead. She fled the Dark City to Biel-Tan to raise the Yncarne, then revived Guilliman to lead the Imperium. Yvraine is a powerful psyker, a polymath, and an especially graceful and skilled fighter."
100 CP, Sgt. Annette Durand ,XCOM Enemy Unknown JumpChain,"A psychic rescued from experimentation,"
200 CP,Salacious Seer,Warhammer 40k- Craftworld Eldar JumpChain.,"This Seer appears to have an unhealthy interest in the concept of “love.” While romance is not unknown among the Eldar, this individual's propensity to use their gifts in a pursuit known as “matchmaking” is something of an annoyance to the Craftworld at large. Still, consider also that they seem to see a future together with you – regardless of any prior arrangements. The Craftworld's hope that you might be able to rein them in may well be unfounded..."
200 CP,Lathriel & Melinel,Warhammer 40.000 - Ynnari JumpChain,"Twin brother and sister from fallen Biel-Tan. Melinel is a gifted Autarch, having walked all the paths of
the warrior, his sister Lathriel is a capable Farseer. Come as a package deal."
200 CP,Mind Meld,Star Trek Online JumpChain,"A Vulcan technique that you seem to have gotten a hold of, somehow. Touch a person’s face, and concentrate, and you can merge your minds briefly. You’ll be able to help them with any mental trauma that they may have, and they’ll leave a mental image of themselves in your head. If your mind is ever attacked by another psychic, they won’t be able to be subverted to the attacker’s will, and they’ll help defend your mind. If they’re not consenting to the ordeal, you’ll face a bit of blowback, so be careful with that."
