0,,Cost,Name,Jumpchain,Description,PERKS,COVER,107
,,,,,,,,
,,50,Mute Reverse Detector,Fate/Saber Wars,"The dream of all shitposters everywhere. The Mute Reverse Detector displays the location of everyone that hates you, along with the strength of that hate. It works even from across the galaxy, though it only shows general planet regions for any hate directed at you from off your current world. You’ll always know when someone who really has it in for you is near and no one bothered by you can hide that bother from you.",,,
,,50,Marked Woman,Fate/Saber Wars,"Those bounty posters kinda clash with the decor of this space station, right? But how else do you know when someone has a price on their head? Are you going to not put up a classic western poster? Wherever you are, there’ll be a whole wall of posters not far away that detail not just any wanted criminals in the local area with a price on their heads but also your own wanted poster, so you can keep track of the crime sheet you’ve racked up.",,,
,,50,Round Table,Fate/Legends: Gardens of Avalon,"A simple but sturdy wooden table. It’s very large, enough to seat fourteen people in large, comfortable chairs around the circular table and have plenty of room to spare. A similar, though not exact, copy of the one Arturia will come to sit at with her own knights. The table is decorated with carvings depicting the adventures of yourself in the centre and, in front of each assigned seat, the adventures of one of your companions that is currently sitting at or claiming the seat as their own. Those who sit at the table find that it is a simple matter to speak as equals with others there, biases and differences in power or status or age or gender or anything else ceasing to affect.",,,
,,50,Sheath,Fate/Legends: The Land of The Rising Sun,"Physical vessels like these are most commonly created for the use of Divine Spirits, allowing them to more easily travel through the human realm. But this particular body appears usable by just about anyone, spirit or no. It’s quite difficult to detect the true nature of the one hiding within it, in case you want to pretend to be just a normal human. By default, the body here is that of a young red haired man with golden eyes. While inside the vessel, you find a minor but notable improvement to any magic relating to ‘swords’ that you make use of. You can change the appearance of the vessel if desired, though not the magic involved.",,,
,,50,Grey Knight,Fate/Legends: God Save the Queen,"Dost thou call ancestry back to great King Arthur? Or are you just another admirer obsessively chasing that lost legend, enough to conduct strange rituals to get closer to them? The explanations are many but the end result is the body you now possess, as either a doll or as in literal possession of the body. In the visage of Arturia, this vessel was created, some believe to attempt to call her spirit or powers into it for service in modern times. While that hasn’t worked out here, the vessel acts as an exceptional container for willing spirits, able to hold a host of any power without penalty to body or spirit within. It does have a tendency to impart certain traits of the King of Knights however, which may range from a growing fondness for honourable behaviour, a restrained expression of emotions or even a bewildering and endless love for burgers. While only a cosmetic effect, the items held by a host in this body can be restyled to fit into the aesthetics of the ancient Knight King if desired. No import.",,,
,,100,Fake I.D.,Generic Nasuverse,"A card that takes the form of any identification you need to show to another person. It won’t exist in any computer systems or archives of information, but it will otherwise be perfectly and utterly identical to the real thing.",,,
,,100,Mundane Toolkit,Generic Nasuverse,"It's a toolbox containing all sorts of useful tools. Like hammers, screwdrivers, welders, and more!

The tools self-repair and reappear back in the toolkit if you lose them or if they're stolen.

No, they don't come back if you sell them.

You may add mundane tools to the toolkit.",,,
,,100,The Titular DMMO-RPG,Grand Foreigner ,"Just like it says. This item allows you to receive the DMMO-RPG game YGGDRASIL. No, this version won’t let you get the Player Character powers and/or items. Instead it simply is meant to hold the endless virtual world crafted by a team of brilliant and sadistic developers. There however, is another special option if you aren’t satisfied. By paying an additional 500 CP (600 CP total) you can bring YGGDRASIL with you and spread it into new worlds.

In any setting that is at least close to Modern Earth (2010-2020) technology you can spread the technology to access YGGDRASIL out. You may decide how long the game runs and since you own YGGDRASIL you may change the cosmological and mythological themes (Greece, Japan, China) of the Game. You can even add content. Anyone who is in the Game when it ‘shuts’ down is isekai’d into a World/Setting of your choice. DxD? Sure KonoSuba? Okay. Re:Zero? Yes... Warhammer 40K/Fantasy? Holy, do you have a grudge or something, but yes to that one too.",,,
,,100,Magic Toolkit,Generic Nasuverse,"This grants all the common magical tools a magus would need in order to create any mystic codes they have the knowledge to craft.

This will also grant specific tools according to what Magecrafts you buy for this Jump.",,,
,,100,Projection Device,Fate/Kaleid Liner Prisma Illya ,"You have gained a peculiar device, a small hand held thing. When activated it will create an illusionary world for the people within its radius that can be used to create visual diagrams or locations of your choice. Useful for visually explaining how a world might end.",,,
,,100,Stalker,Kara no Kyokai,"You’ll always have a record of the wonderful times you spend with your special friends with this tough little recorder camera. Even if some of the videos would be things the police would very much want to see. The camera never seems to run out of space, taking clear and well-shot photos and videos regardless of your own skill level or little things like light levels or being soaked in blood. Holding it makes you pretty stealthy too, at least helping people’s eyes pass over you and not having a flash or shutter sound.",,,
,,100,Safety Bag,Fate/Kaleid Liner Prisma Illya ,Most of the people in this series rely on objects to empower them: the class cards or the kaleidosticks for example. The problem with this is that such items can be taken or lost. Fortunately you have a bag or storage device with peculiar properties that will help with this problem. The bag is larger on the inside with storage space equivalent to a ten meter cubed room and is of a size that is easy to carry. The other interesting property it has is that you and only you can take or put things in it.,,,
,,100,Magic Tracking Gear,Fate/Zero,"A specialised set of tools for finding trace amounts of magical energy in the environment and then tracking them, much higher quality than the one’s Waver made makeshift used of. By using these tools and a few minutes time to test the air, dirt or water around you, you’ll be able to find even tiny traces of magical energy as well as the direction in which it originated. You could certainly use this to track down mages over repeated uses to narrow down their locations.",,,
,,100,Suppression Stone,The Holy Man of The Church Creek,"The Suppression Stone is a small and unassuming black gem. As long as this stone is securely kept on your person, it acts as a potent suppressor of your power fluctuations, rendering you undetectable to others regardless of the vastness of your strength. No matter how mighty your abilities may be, this stone ensures that your true potential remains hidden from prying eyes. Its influence extends beyond the physical realm, shielding your presence from the perceptive abilities of even the most astute adversaries. If you wish you may shatter the stone at will. This will allow your strength to erupt, shocking those around you.",,,
,,100,Right Hand of Glory,Generic Nasuverse,"Holy Relic mystic codes made from the right arm of a sinner who was hanged. Although they’re difficult to make, they’ve become rather common. They have the simple ability to make people fall asleep.",,,
,,100,Colonel Olcott,Fate/Legends: Baba Yaga,"A researcher needs a proper assistant, don’t they? Worry not because you will never want for another right-hand man or maid with these miniature automata. Starting out at half a dozen in number but easy to replicate for you, they can fulfill whatever task you need of them, be it cleaning after you or sorting your things. They are however not suitable for combat.",,,
,,100,Soul Lamps,Grand Foreigner,Often it is difficult to learn the fate of a lost ally. To deal with this issue items known as Soul Lamps were created. They resemble small lamps with fires of various colors. They can be bound to an individual and show whether or not they are alive. Should their user be slain then the fire within the lamps will go out. By purchasing this you receive one lamp for yourself and a dozen lamps that can be given to allies. Alongside this you will receive the instructions needed on how to produce more of them and bind them properly to new users,,,
,,100,Death Bag,Fate/Legends: Oasis of Fantasy ,"To anyone else, this small leather bag would be a item of great wonder for all it contained within. To you, it’s just the tools of the trade. This sack, about the size of a pumpkin, is easy to carry, weighs very little and carries a massive variety of tools for your dark work. A seemingly limitless supply of small black blades known as dirks, a wide variety of poisons for different uses, drugs to improve your condition or introduce a variety of useful mental and physical states in others, tools to assist in traversing all manner of terrain, devices to obscure your form and tracks you lead, minor charms against spirits and the elements and even tools to extract information and pain from any targets you might need alive. Anything in here will quickly replenish after being used, though putting more things in this bag that contains so much already won’t have them restore themselves too.",,,
,,100,Book of the False Attendent,Fate/Stay Night,"A red, hard cover book has found its way into your possession. This book contains two things of use to you. The first and most notable is a single extra Command Seal is held within the book, connected to you or any you wish to have. This Command Seal regenerates once per month but cannot be used to maintain the Servant bond if it's all you have left. The second use is the ability to store several basic spells as well as a limited but constant amount of energy to supply them with. These spells include basic Reinforcement, a basic blast of dark energy and a basic healing spell.",,,
,,100,Mystic Focus,Fate/Zero,"One of the first tools you ever received in your training in the arts of magecraft, this implement has served you well time and again. Whether it takes the form of a wand, staff, rod or some other classic tool, it helps to focus your magic in general and improve your control even further in your own specific specialisation, as chosen earlier. This foci will never be out of reach for you, at most requiring you to reach behind your back or into a hat to pull it out, good as new. It’s very sturdy though, so don’t be afraid to use it to give something a good smack in an emergency. This can be imported into.",,,
,,100,Gigai,Vasto of White,"A Gigai is a temporary body used by Shinigami to interact with the living world. The Gigai is a specially made artificial body that allows a Shinigami to retain their powers while also appearing as a normal human. It is an ideal tool for reconnaissance, infiltration, and espionage. This particular Gigai is designed with advanced stealth technology, making it nearly undetectable by spiritual senses. It also features an adaptive camouflage system, allowing it to blend seamlessly into its surroundings. Despite its advanced features, this Gigai is still susceptible to damage from physical attacks, and prolonged use may cause the user to experience fatigue. However, it remains a valuable asset for any Shinigami who needs to operate in the living world without attracting attention.",,,
