0,Perk Name,Cost,Source,Description
1,Builder's Might,1000 CP,Vanilla Minecraft,"You have access to powers inspired by a player character from the Minecraft game. You abilities can summarized as:

>Force - You belong to a race of Builders capable of channeling a unique Force to empower their actions and intended functions of thier tools. This energy makes tools more efficient, weapons more dangerous, and has many other applications - some obvious, others requiring discovery and practice to master.
>Inventory - Builders possess a personal pocket dimension for storing items and materials. Storage capacity depends on volume, mass, and material diversity. Objects inside are frozen in time, but creatures with complex enough minds or strong willed can resist being stored quote easily.
>Crafting - Builders can manipulate materials stored in their inventory, either subtly or by projecting their work externally - allowing collaboration and easier visualization. When combined with Force, they can even reshape items outside their inventory. By studying an object, they gain its blueprint, enabling them to replicate it if they have the necessary materials, skills, and tools.
>Building - Builders can construct structures that defy conventional architecture, such as floating islands, by subtly altering the mass of matter in exotic way. These effects can be disrupted by sufficient force or degrade slowly over time due to wear and tear.
>Peak Body - A Builder's Force constantly preserves their body, granting biological immortality, rapid healing, and even regeneration of lost limbs over time. Severe injuries may drain bodily resources, increasing hunger and thirst. They are also significantly tougher, stronger, and more resilient than an average human, with their body striving to return to its peak state when resources are available and being able to quickly replenish energy and materials via eating.
>Awareness - Builders have heightened awareness of their own bodies, enhancing agility, dexterity, and speed, and allowing them to learn or relearn skills quickly. They instinctively know if they are ill or poisoned and, with enough experience, can identify the cause.
>Respawn - By sleeping in a safe place with a calm mind and intent, you can set a spawn point. Upon death, you may respawn there once every 24 hours, though you temporarily weaken and lose all items. Respawn only works if the location remains intact, your soul is whole, and no heavy dimensional barriers interfere."
2,Crating Book,100 CP,Vanilla Minecraft,"You have access to a mental compendium containing blueprints for all craftable items from the Minecraft game (inspired by it). This compendium does not grant you skill or knowledge of the intricate inner workings of what you build, nor does it include variations of the same blueprint - it provides only a list of specific items you know how to craft. For each item, it offers step-by-step instructions, images and important parameters to keep in mind. It does not grant you the skill or ability to use your creations, nor does it provide access to brewing, enchanting, or other supernatural capabilities. "
3,Vanilla Brewing,200 CP,Vanilla Minecraft,"This perk grants you the ability to utilize magic for Minecraft-style brewing, along with a natural talent for the craft and a scholarly intuition for its underlying principles. You gain a comprehensive understanding of the general theory behind the brewing process and learn how to apply potions in both conventional and creative ways. While this perk does not provide you with any specific recipes, it allows you to freely experiment, test new brews, and modify existing blueprints in your possession far beyond the limitations of the original game. Mastery of this perk is required to use a brewing stand effectively."
4,Vanilla  Enchanting ,300 CP,Vanilla Minecraft,"This perk grants you the ability to utilize magic for the Minecraft-style art of enchantment, along with a natural talent for the craft and a scholarly intuition for its underlying principles. You gain a comprehensive understanding of the general theory behind the enchanting process and learn how to apply enchanted items in both conventional and creative ways. While this perk does not provide you with any specific enchantment recipes, it allows you to freely experiment, test applications on different items, and modify existing blueprints in your possession far beyond the limitations of the original game. Mastery of this perk is required to use an enchanting table effectively."
5,Jack of Basic Trades,50 CP,Vanilla Minecraft,"You possess basic skills and practical knowledge across a wide variety of disciplines, including farming, animal husbandry, riding, mining, cartography, fishing, and more. Essentially, anything mundane an average player can accomplish in the vamilla Minecraft game, you can now attempt at a basic, functional level. Chopping down a tree, constructing a simple shelter, or hunting wild game for food are well within your reach. While you are capable enough to get by and handle everyday tasks, you remain an amateur in all these fields - competent, but unrefined. Still, having a broad foundation is far better than starting with nothing at all."
6,Villager Trades ,100 CP,Vanilla Minecraft,"You gain an average level of skill in haggling and the principles of primitive commerce, allowing you to barter effectively in markets that deal in goods rather than currency. Additionally, upon acquiring this perk, you receive above-average level skill and practical knowledge in one villager profession of your choice from the list below. You may pay an additional 100 CP (or wait for this perk to be rolled again) to gain expertise in another profession, repeating the process until you have mastered them all.

>Villager Professions: Armorer, Butcher, Cartographer, Cleric, Farmer, Fisherman, Fletcher, Leatherworker, Librarian, Mason, Shepherd, Toolsmith, Weaponsmith."
7,Structural Know-how,150 CP,Vanilla Minecraft,"You are a skilled architect and builder, possessing both the practical expertise and the theoretical knowledge required to construct any naturally generated Minecraft structure - from humble villages and abandoned mineshafts to woodland mansions and strongholds. You carry complete mental blueprints of every build, allowing you to recreate them exactly or draw inspiration from their designs. "
8,Gate Making,600 CP,Vanilla Minecraft,"You possess the skills, basic theoretical knowledge, and practical capability to construct functional portals leading to the Nether and the End, even if the world you currently inhabit does not naturally connect to these dimensions. By gathering the proper materials and following the correct construction methods, you can create stable gateways to both realms. However, your expertise is limited to these two specific portal types - you cannot build custom variations, modify their destinations, or create gateways to other dimensions without additional perks or abilities."
9,Technically Infinite Dimensions,600 CP,Vanilla Minecraft,"This perk grants you the ability to modify existing Nether portals to access a vast and unpredictable variety of random dimensions, inspired by the Minecraft April Fools snapshot 20w14∞. By applying wild magic principles to a standard portal frame, you can destabilize its destination, opening gateways to strange new realms. You never know what awaits on the other side before stepping through - it could be wondrous, dangerous, or simply bizarre. The beauty of applied wild magic!"
10,Vanilla Golems,250 CP,Vanilla Minecraft,"You possess a supernatural talent, theoretical background knowledge, and practical skill in the construction of golems. Your expertise currently includes complete blueprints for all golem types present in the vanilla game - snow, iron and copper. Golems you create are inherently aligned with you and will follow your orders to the best of their ability, though their intelligence is limited to their primary function, making them susceptible to trickery or distraction. When not given direct commands, they default to their basic innate programming - such as patrolling, protecting an area, or simply remaining idle until needed."
