0,,CP Cost,Name,Jumpchain,Description,PERKS,COVER,39
,,,,,,,,
,,Free,Temporal Resolvement,Grand Foreigner,"When the members of Chaldea go through the Singularities they tend to change events even when trying to avoid it. For example, during the North American Myth War nuclear weapons were used by Edison hundreds of years before they were originally created. Alaya worked to hide this by pretending they were meteor strikes and removing any residual evidence. This perk performs a similar function for any time travel related adventures you go on.

So if you alter the past then the world will be able to safely justify these changes preserving history even in the event of extreme changes. For example, if you went back in time and became a renowned general the same side would likely still have won, but you might be listed in the history books under the identity you used. You will receive this perk for Free to ensure that you don’t accidentally destroy history during your stay. Lastly, if you wish you may disable the continuity effect allowing your changes to make drastic alterations though they will still occur safely.",,,
,,100,Walk Without Death,Fate/Grand Master,"Most magi will tell you that magic isn’t a toy and needs to be taken seriously, but it seems an awful lot less dangerous than it’s hyped up to be, at least when you’re using it. Any magical abilities you might have are safety-proofed against friendly fire, collateral damage, and any risks of backfiring. You could unleash your most powerful spells or a noble phantasm even with your squishy human master directly in the line of fire with no fear of harming him whether directly or through any collateral damage you may cause. Even when you use your powers directly on a person you don’t want to harm, they never misfire except in harmlessly lewd ways, such as blowing your Master’s clothes off or swapping their gender for a few days. You’re able to toggle off this perk’s effects if you need to harm a loved one or yourself for some unfathomable reason.",,,
,,100,Reaching for the Stars,Fate/Revelation Online,"It can be tough as a Mid Liner. You try and try to be a Front Liner, you explore the floors, grind your way up to get and meet the Front Liner’s tier, and improve your magecraft, but it never seems to be enough. Maybe it's just the head start they had, or your own issues, but no matter what you do, you can't seem to catch up. Well, if you're going to try and reach the top, you may as well have some help getting there. Now, whenever you want to reach a level that you are in no way at, your rate of growth triples until you reach the bare minimum of that level. However, there are some caveats to this. First, you have to have personally experienced or observed the abilities of the level you are trying to reach with your own senses, if only for an instant. Secondly, you can only have one goal at a time, and this only helps you in the areas you are aware that you are lacking in compared to the level you are trying to reach. Therefore, trying to match the Sixth Ranger would help in fighting or swordplay abilities, but not, in say, fire magecraft. Lastly, there does have to be a big difference. A rival or someone slightly better than you doesn't apply for this. Luckily, this does apply to groups, so a target like “The Front Line” will likely help in everything.",,,
,,100,You keep up with Me,Fate/Revelation Online,"As a Front Liner, it can be hard to keep up with the rate of advancement that the people around you have. Well, now you won't have to worry about that as much. As long as you're attempting to keep up with another person or group on or near your level, your rate of growth will double until you have surpassed their current level. This includes more than just levels in the game, and includes things like skill and abilities. Do note that they do need to be at least close to your current level. This is meant for rivalry-esk situations, not trying to catch up with people far ahead of you.",,,
,,200,Unorthodox Uses,Generic Nasuverse,You have a knack for using things in ways they weren’t designed for (but excel at) and for exploiting weaknesses in systems using something they weren’t designed to counter. Like how Shirou uses his magecraft to improve his cooking. Or how Kiritsugu used thermal vision to find mages with active magic circuits.,,,
,,200,An Argument for Arrogance,Lord El-Melloi II Case Files,"Select one Magic Crest in your possession. It is now the ultimate justification for magical elitism, and has been upgraded into a form that enhances the affinities and talent of its bearer in a manner and to an extent corresponding to the mysteries inscribed upon it, including later additions. It is not a particularly good ratio, and will never make you a Tradition Carrier, but it will allow later bearers to learn and use the corresponding spells and principles more quickly, easily, and precisely. Requires a Magic Crest, from this jump or another.",,,
,,200,Combat (Great-ly) Evolved,Fate/Apocrypha,"So, combat here seems a bit...grander than some of the other Holy Grail Wars. Reinforcing seems to have gone from enhancing tables and pipes to blowing up rocks, throwing magical knives seems to have turned into magical guided missiles. And those beam clashes? Maybe everyone here is stronger? Or there’s a bigger budget? This perk doesn’t necessarily make you stronger or give you new abilities, but you can do significantly more with the skills and equipment you do have. You could certainly be a lot flashier than before.",,,
,,200,Born For It,Fate/Legends: Oasis of Fantasy,"The place among the kings of legend is now almost assured to be yours. Few rulers of humanity have the natural talent for the job of being a lord that you do. Your sheer talent, skill and level of knowledge in all matters related to being a ruler, from the management of your people and resources, to the leading of armies in wartime, to the handling of nobles and other powerful factions within your kingdom, is incredibly high.

Any kingdom under your reign, barring exceptional circumstances, would be assured to prosper and become quite well known in history, though with just this it won’t become a Babylon or a Rome. However, you will find that as your personal power and wealth increases, so too will both your skills as a ruler and the popularity you have with those you rule over as you grow, though this popularity can be harmed depending on your actions.",,,
,,200,Essential Humanity,Lord El-Melloi II Case Files,"Unlike Le Chien, you don’t need to worry about being driven mad by your own magecraft. Some unique trait of yours allows you to happily dodge the negative, personal side effects of your own powers, including being twisted, corrupted, and irradiated by them. You’ll still die if you overspend your lifeforce, badly botch a spell, or actively sacrifice your existence, but at least you can do beast magecraft without issue.",,,
