100 CP,Mystical Mount ,Justice League Unlimited Jumpchain,"I don’t know where you got it, but somehow you’ve acquired a fantastic creature willing to ferry you around and aid you in battle. This thing could be a magic Pegasus, a giant squid, or an eldritch beast from another dimension, but it may only be about twice the size of a normal horse, as durable as an armored car, and as strong as an elephant. Regardless of it’s appearance or origin this monster will faithfully serve your every command and can be comfortably ridden across long distances. You’ll also receive a replenishing supply of food specifically meant to feed your new friend. If you already have a mount or rideable pet you prefer then you may import it into this option to use instead, either granting the existing creature the properties of this option or making the new animal an alternate form of the imported one. Can be purchased multiple times.
"
100 CP,Kamar Taj Robes,"MCU: Age of Ultron Jump
","These ropes are given to the students of Kamar Taj. You may or may not be a student depending on your purchases on this jump, however, you somehow are in possession of them. These robes are enchanted to passively improve the learning abilities of the wearer (roughly 5%)."
100 CP,Magic Collar,Something Unlimited,"This is one of the minor magical items developed using the materials that she left in Cadmus. At first glance, you received a simple, black dog collar, however, it has basic enhancements that grant it a few ... interesting features. Firstly, the collar will automatically wrap around the neck of whoever is trying to wear it and it’ll perfectly fit around their neck, no matter how big they are. Furthermore, as you’re marked as the collar’s owner, you can summon an invisible leash at will to “guide” the one that is wearing it. It also teleports back to your hand once you get away from it if you want to."
100 CP,Tala,Something Unlimited,"She was the Project Cadmus, Division Head responsible for magical and mystical projects, until she was betrayed by Faust and released by Grodd, but, once you defeated him, she became completely loyal to you, to the point of even calling you master. While Tala is a gifted and powerful sorceress, her greatest weapon is her knowledge of sorcery that allow her to create several different magic items and potions, but, unfortunately, a lot of her materials is still at Cadmus, so you’ll need to recover them before she’s able to actually create something useful. Lastly, she’s also good at giving massages."
100 CP,Nevermore,World Of Lewd Superheroes,"Magical powers can come from a lot of places but being part-demon is one of the more common sources given the proliferation of succubi and incubi in the mortal realm. This dark heroine gained her phenomenal magical powers by being the daughter of a powerful demon lord, and to say she has serious daddy issues is something of an understatement. Despite being half-succubus she’s obsessed with self-control and has become highly repressed by trying to reject her demonic heritage, but this is far easier said than done and her spells occasionally backfire on her in lewd ways, like tying herself up in heavy bondage. However with the right mentor to help her get over her hangups she could become a powerful force for good (or evil)."
100 CP,Mystic Arts Lore ,MCU: Age of Ultron Jump,"You have knowledge of most Mystic Lore, allowing you to recognize most demons, gods, magic items, rituals, and various other things related to the mystic arts."
100 CP,Parlor Tricks ,OOC Doctor Doom Supplement,"Some basic parlor tricks you picked up from your mother, father, or a mentor. Bolts of magic, simple shields, and illusions that can trick the common and dull. These aren’t anything beyond what can be best described as basic, but they do have one thing that makes them worthy of your attention. They cost no energy to use."
100 CP,Seven League Boots ,Marvel Magic Jumpchain,"​Legends that speak of these enchanted boots say that hey allow the wearer to take seven leagues with each stride, allowing them to cross great distances unfathomably quickly. These boots, though sharing the name and being enchanted, do something a little different. Instead of increasing the length of the wearer’s stride, they simply allow them to walk upon anything, be it air, water, or walls."
100 CP,Spellbooks,Marvel Magic Jumpchain,"These musty old tomes contain enough occult knowledge and basic spells to start one down the path of the Mystic Arts. Just the basics, mind you. But you will do well to never forget your basics, no matter how wise or powerful you may become. And perhaps an apprentice of your own may have use for these, some day?"
1000   CP,Greatest Magician of the Age,DC Occult,"​A normal mortal mage is constrained by the limits of their mortal body and soul. The only way to increase their power past a certain point is to become something more or to wield powerful artifacts. For you, however, this is not the case. Not only do you start with much greater power than most, but there is no true ceiling to your growth. You will, for a time, grow in power at a meteoric rate, and then slow. But you will never reach a point where your magic cannot grow further."
200 CP,Control Amulet ,Invincible - Jumpchain,"You have a mystical control amulet. This amulet gives you control over any shape-shifting abilities you have but can not consciously control or are restricted in their use. With this amulet a Werewolf could turn into their wolf-form in broad daylight. This amulet also allows you to cancel out other beings’ attempts to change your form.
"
200 CP,Even The Mad Titan Believed It ,Loki Jumpchain,"You can cast projections of yourself that are utterly indistinguishable from the real thing, even to the most observant of beings or those who would know you can use such capabilities. You can create illusionary disguises that are just as convincing. The only way to tell them apart from the real thing is their lack of solid form, but curiously enough nobody will figure out this property unless you deliberately make your illusion interact with something that has physical form."
200 CP,Sling Ring,"MCU: Age of Ultron Jump
","A small two-finger ring imbued with the power to open and sustain dimensional portals between any two points within the universe, and even create mirror dimensions. Only usable by those well versed in the mystic arts."
