100 CP,That Moment,Blade,"You have IT. The undefinable combination of looks, timing, and charisma to make just walking into a room a badass moment everybody’s got to stare at. You’re extremely imposing and intimidating when you want to be, enough to halt vampires in a feeding frenzy or even stop cops in the process of shooting you. Now, what you do with them once you have their attention... that’s a whole ‘nother thing."
100 CP,Ear based beeper and communicator ,Invincible - Jumpchain,"You have a new ear based tech piece. This beeper has infinite charge and can be used to communicate with any other communication device in existence, cell phones, radios, etc… are all fair game. This communication device is untraceable and if you wish will automatically alert you to crime or disasters globally that would warrant your attention."
100 CP,Durable Super Suit ,Invincible - Jumpchain,"You have a beautifully designed super suit tailor made for you so that it fits perfectly. This suit is extraordinarily strong and will
even hold up during super powered combat without ever disintegrating. While it is durable, this suit does not increase your defenses: it simply survives through combat.
"
100 CP,We Can Do More,Invincible - Jumpchain,"You can do more than simply use your powers to fight others, much more. Now you have innate skill in using your powers in ways that are not focused around fighting but around healing, helping an rebuilding the world around you. Someone with matter manipulation would know the best ways to go about revitalizing old farmland and creating needed supplies for starving villages. A person with super strength could be of immense help with disaster relief or prevention. Regardless of what you can do, you have mastered the use of your power outside of a fight."
100 CP,Phasing,X-Men Evolution Jumpchain V 1.02,You have the ability to indefinitely phase through matter organic and inorganic alike at will and can solidify your body in an instant. This power can be granted to any object or person so long as you touch the object such as a train phasing it through another one.
100 CP,Gadgets ,Justice League Unlimited Jumpchain,"Lockpicks, explosives, throwing weapons, communicators, night vision goggles, a grappling hook, and pretty much anything else you could need to start a career as a vigilante like Batman or Huntress. If you wish you can personalize these gadgets to fit your theme if you have one."
100 CP,Size Shifting ,Justice League Unlimited Jumpchain,"You can either grow up to the size of a football stadium or shrink down to the atomic scale, or both if you purchase this perk twice. Changing size won't negatively affect your mass and density which means you can still hit as hard as you normally would while shrunk and if you grow to the size of a small building your punches will have about that same amount of weight added to the force of their hits. Any clothing or equipment you’re wearing will change size with you"
100 CP,Sonic Scream,Justice League Unlimited Jumpchain,Blast people away and wreck both vehicles and buildings with defining yells. Your super powerful sonic screams can be easily controlled allowing you to use this power for both lethal and non-lethal attacks. Keep in mind that while this ability is powerful you'll be limited by the amount of air in your lungs and holding a scream for too long could potentially cause you to pass out.
100 CP,Super Breath ,Justice League Unlimited Jumpchain,"Your breath is powerful enough to blow people away with gale force winds or quickly freeze them into solid blocks of ice. Amazingly you won't exhaust yourself or damage your lungs after using thing power, but you may have to pause a few moments to catch you breath."
100 CP,X-Ray Vision,Justice League Unlimited Jumpchain,"See through walls and other solid objects. Your x-ray vision can be used on living beings without harming them and you'll be able to look through anything that's not lined with lead. Also certain Individuals may be able to block your x-ray vision with magic or super-tech, but they would have to know exactly how your powers work in order to do this.
"
100 CP,Body Armor ,Harley Quinn Jumpchain,"You have a polymer body armor that is made from ‘indestructible’ microfiber. It is not exactly indestructible, but this body armor is quite durable, and can tank small gun fire with relative ease."
100 CP,Crime Finder,World Of Lewd Superheroes,"Constant vigilance is needed if you want to stop crimes before they happen, or at least before the crooks make a clean getaway. Integrated into your costume or a handheld gadget is something to help with that, a sophisticated surveillance system which patches into local electronics like police dispatch systems and security cameras and monitors for signs of criminal activity. Anything that raises a red flag pops up on the device’s radar and if you respond promptly you’re sure to arrive in time before the perps leave the scene. However it does have a strange glitch of also reporting and logging any incidents of lewd behavior within its range, and responding to these reports will often lead you to wet, willing, and very attractive partners."
200 CP,Trained to Face a Dangerous World,Rogue-Like: Evolution Jump V1.0.1,"You really nailed all those Danger Room exercises and battle simulations. As a result of your combat training here, you became pretty skilled in wielding your mutant (and other biological) powers in battle in an effective way, no matter how improbable it could be. Additionally, you also learned the basic survival techniques thanks to those jungle simulation exercises leadered by Wolverine and hand-to-hand combat thanks to your training with Cyclops. This perk also comes with an optional basic toned body if you want to."
200 CP,You’re Just Full of Surprises,Blade,"You’re tough. Really tough. Actually, you should probably get that looked at, it’s not healthy; well, okay, it probably is. In this case, you’re tough enough to totally ignore torture. No matter how hard they try to beat the truth out of you, you have the ability to keep going and keep your secrets. You can either keep your mind on distracting your interrogator with a flood of pithy comebacks, or just keep glaring. And then, when they really get started, you can just glare harder."
200 CP,Struck By Lightning,Blade,"Sometimes, no matter how many guns and swords you have, the fight will get down to fists, teeth, and claws. Fortunately for you, years of training and natural talent with martial arts have left you well-equipped even without equipment. With your badass skills in hand-to-hand combat, you can take on a vampire as a normal human and survive with style. And if you’re already a vampire or daywalker, the fight will be over in the blink of an eye."
200 CP,"Man of Steel, Woman of Kleenex",Invincible - Jumpchain,"*CRACK*, you broke something again, this super strength is definitely taking some getting used to. At least it was. For some reason when you woke up this morning it seems like something is working perfectly in your brain and now your powers are modulated to whatever you desire. If you had super-strength enough to destroy planets, now you can juggle Faberge Eggs without fear of breaking. You might be able to manipulate fire on par with stars but now you find you can use it so finely that you could light the head of a match on fire. Use your star shattering telekinesis to manipulate an atom, why not? It doesn’t matter what you do but now you have perfect conscious control and modulation of any and all powers or abilities that you possess: even in things that may be considered unconscious actions, you may  consciously control how fast your heart beats, your core temperature or the strength of rapid muscular contractions. That said this doesn’t let you do things with your powers that you couldn’t normally. If your “star shattering telekinesis”, for example, couldn’t normally control or affect things on an atomic scale this perk wouldn’t change that. This is just control and refinement when using your powers in ways they can already be used, it doesn’t actually expand what your powers are capable of.
"
