100 CP,Folding Glider ,The Pirates of Darkwater,"This one-man hang glider is made of sturdy bamboo and linen. Its ingenious design allows it to be folded up into a backpack-like package or set back in only a few seconds. It also has a minor enchantment on it that allows it to catch the wind better than would otherwise be expected, letting you gain height and speed more easily."
0 CP,Spyglass ,The Pirates of Darkwater,"A large, ornate spyglass with an adjustable focus that provides clear, sharp images up to 30x magnification, significantly better than any other found in this world."
200 CP,By Hook or Crook ,Peter Pan,"If either of your hands is ever cut off, you may instantly and bloodlessly replace it with any small tool or weapon (even a magical one) of your choice. Whatever you choose, it is further enhanced with moderate water magic that you can unleash on foes. If the tool-hand is cut off again, you can instantly will the tool back to your stump and reconnect it."
200 CP,Magic Compass,Pirates of the Caribbean Jumpchain,"This magical compass has been imbued with your soul. Not in a bad way, just enough to create a link. The needle always points to whatever you most desire, or the means to get to that which you desire. It can be hard to tell. Anyways, at least you’ll always know where your next step is, so long as you know what you want. If you don’t know what you really desire, the compass doesn’t either."
200 CP,Blackbeard’s Bandolier,Pirates of the Caribbean Jumpchain,"This magical bandolier is excellent for storing firearms. It has convenient holsters for 8 different flintlock pistols. Though they’re each only single-shot, they fire despite the weather, and a new one will appear in any holster 1 minute after you’ve fired the last. If you’re fast enough on the draw, you can keep up a withering barrage of ill-aimed fire"
200 CP,Siren’s Net,Pirates of the Caribbean Jumpchain,"A net woven from the hair of mermaids, this net is attractive to fish. All you have to do is touch a corner of it to the ocean’s surface, and fish from miles around will appear from nowhere. You can try to attract a specific type if you want, and actually fishing with the net is sure to make you wealthy beyond dreams of avarice. Or you can just start a shark feeding frenzy out of nowhere. "
200 CP,Wolski‘s Glass,Pirates of the Caribbean Jumpchain,"This spyglass is impressive. It might be a small thing you can stick in a pocket, or a huge pole that needs a stand to balance on, but it has the same magical qualities. First, it’s really incredibly durable; you can use it as a club without worrying about breaking the lenses. It’s also able to see through things it shouldn’t; mists and darkness hide nothing from its eye, and even magical illusions give up their secrets. "
100 CP,Bottle of Rum,Pirates of the Caribbean Jumpchain,"This bottle of rum is perhaps the greatest miracle known to mankind. It is always full of rum, grog, or any other alcoholic beverage at least 70 proof. If, for some ungodly reason, you live in a world without rum, it’ll just remain full of clean and clear water until you leave that hellhole. Don’t let anyone else know of your treasure, or you’ll have to fight off mobs of sailors from around the world. "
100 CP,Nice Sword,Pirates of the Caribbean Jumpchain,"You have a very nice sword. Like, it’s very pretty and well balanced. It’ll stand up to a lot more abuse than your standard blade, and you can even distract people in combat with its shininess. Though you’ll probably lose it a lot, it eventually finds its way back to you. Unfortunately, at that point it’s usually being used by someone attempting to stab you. "
100 CP,Jar of Dirt:,Pirates of the Caribbean Jumpchain,"This is a jar that contains dirt. And that’s it. You promise. Actually, you can put anything into it and it’ll be unfindable by anyone else (well, anyone who bothers to look; it’s just a jar of dirt). Alternatively, you can easily convince people that this simple jar contains the most important secret item ever (or at least a lot of money), if you want to use it as a distraction or “leverage” tool. "
50 CP,Nice Hat,Pirates of the Caribbean Jumpchain,"What would a pirate be without his hat? What would any sailor, as a matter of fact, do without his most gorgeous head covering? This hat is ostentatious, impressive, and is undefinably YOU. It adds to your presence in any speech, and can be swished about as you like for emphasis. It probably has feathers. Also, somehow it just keeps finding its way back to you…. It is a VERY fancy hat"
50 CP,Musket,Pirates of the Caribbean Jumpchain,"You’ve been issued a musket and pistol. Though it’s always tough to keep your powder dry while out at sea, the opportunity to shoot down pirates like the dirty dogs they are cannot be missed (Unless you’ve shirked on your drill). Also, you have a large supply of gunpowder and a number of bullets. And a bayonet, ramrod, and all the other gear you need. "
50 CP,Uniform,Pirates of the Caribbean Jumpchain,"This fanciful outfit looks very nice, though it’s missing a hat. Probably includes multiple layers such as jackets, undershirts, and sashes for men, and petticoats and shifts for women (If there were ever any women aboard a ship). However, it somehow doesn’t impede your acrobatics or fighting in the slightest. Though it can get torn and damaged, any patches somehow just make it seem daring, not ratty. "
200 CP,Sea Map ,Assassin's Creed Black Flag,"You don’t want to get lost at sea, do you? This map of the Caribbean Sea tells you exactly where you are and what kind of locations you are surrounded by. It even displays any enemy ships once looked at. The map will update in future worlds to wherever it is you travel."
300 CP,Treasure Map ,Assassin's Creed Black Flag,Just a hint of where to look. That is enough for one with drive and curiosity to find a price of great wealth. You can summon a Botle with a Treasure Map to give you a location of exactly what you seek. It will show you which land to find it on while also marking the spot with an X. You can summon a new map once a year.
