0 CP,Repair Tools ,Halo Infinite V1.0.,"A kit to repair, upgrade and customize your vehicles. Contains every tool you need for the task at hand, so long as it involves working on your vehicles."
0 CP,Mongoose ,Halo Infinite V1.0.,"Capable of carrying two people, this unarmored and unarmed scouting vehicle is very mobile."
0 CP,Slipspace Drive ,Halo - UNSC.,"The Shaw-Fujikawa Translight Engine finally allowed Humanity access to faster- than-light travel in the form of Slipstream Space, and thus opened their path to the stars themselves. This device works by creating ruptures in between normal space and Slipspace while surrounding the ship in a quantum field to protect them from the dangers of the alternate dimension. The engine itself does not propel the vessel through Slipspace however; it relies on the engines to do so. The more powerful the traditional propulsion of the ship, the faster it goes. However, normal models tend to be erratic and jumps can take from several weeks to months of travel time depending on the distance, with exit destinations becoming off by a matter of hundreds of thousands of kilometers. A dangerous gambit, but it’s better than nothing."
100 CP,Wheelman,Halo 3: ODST Gauntlet,"You can’t walk everywhere, Trooper. Every grunt in the UNSC can drive a Hog or a truck, but you’ve clocked enough simulator time to make you an expert at operating a surprisingly wide variety of vehicles. From main battle tanks like the Scorpion to VTOLs like the Hornet and Pelican, you can reliably get from Point A to Point B and blast bad guys while doing it. And should you ever find yourself at the controls of a Covenant craft or other unfamiliar type of transport, you’ll pick up enough on the fly to keep yourself from being killed."
100 CP,Floating chair,Halo - The Covenant,"Your kind is often known as frail and weak, and while such sentiments are heresy and carry the punishment of death, there is an irritating truth to them. Your kind fare poorly in combat, and tire easily after traveling for long distances. To that end, these devices have been created for you and your kin. This chair floats through the air, and can easily convey you to any location. It has computer and communication systems for convenience."
100 CP,Mining Ship ,Halo Forerunner Saga v1.0,"This is a working vessel, rather than a warship. As the name suggests, this ship is used by the Miner rate to collect ores and minerals. To this end, the ship is outfitted with a range of tools such as cutters, grapplers, churners, and more. When mining, the ship would create a field on the earth that would pulverise the surface in whirlwind like forces. From there, it would be sifted and the desired elements collected. The mining ships come with scanners that look for useful minerals. Some forerunners consider these ships ugly. The ships themselves can range in size massively. The one you are getting is several kilometers in size."
100 CP,Wasp ,Halo Infinite V1.0.,"A VTOL aircraft with twin 7.62 M199 heavy machine guns, twin 50mm M400 missile launchers. Notably, this one is an older model and does possess energy shielding. This has room for the pilot, but no passengers."
100 CP,Warthog ,Halo Infinite V1.0.,"Carries a driver, a passenger and a gunner. Sports a M46 Vulcan rotary machine gun on the back to discourage would-be attackers. Tougher than the Mongoose, but still not something you want to get into heavy fighting with."
100 CP,Jump Pack,Halo 3: ODST Gauntlet,"[Did you train with the Bullfrogs on Reach, or did you just scavenge that thing off of a Jiralhanae Jumper? Somehow, you’ve come into possession of a personal propulsion unit. Whether this is a human-made Series 8 Jetpack or the rocket thrusters used by the Brutes, this backpack allows you brief bursts of aerial mobility. Quickly reposition or explore vertical battlefields. Either option allows for up to 10 seconds of sustained thrust before needing an additional 10 seconds to recharge."
150 CP,Banshee ,Halo Infinite V1.0.,"Carrying two plasma cannons, a fuel rod cannon and a will to destroy all lesser aircraft, the Banshee has been a mainstay of dogfights for good reason. Carries one pilot."
200 CP,Ghost,Halo - The Covenant,"A light, sleek one person scouting vehicle with 2 vicious plasma autocannons on the front. Similar to a motorbike in how it leaves the canopy exposed, this vehicle floats just above the ground, like most covenant vehicles, and has a broad front to allow for optimal ramming ability. Can turbo boost at 100 mph indefinitely at the expense of using its guns. Somewhat vulnerable due to its exposed plasma tank and blind spot, but far faster than any other
covenant ground vehicle."
200 CP,Spectre,Halo - The Covenant,"The covenant answer to the human warthog, this 9 ton vehicle supports one driver, one passenger, and one gunner. The driver has an enclosed compartment in the front, the gunner's plasma turret is somewhat exposed in its rear location, though it has a 360 degree field of fire and a large vertical inclination. The passengers sit on the exposed ridges in the side of the vehicle and use their small arms to support the vehicle. Can boost indefinitely at 80 mph, but this removes the vehicle's ability to strafe, one of its advantages over human vehicles."
200 CP,Escape pod,Halo - The Covenant,"This isn't just one item in and of itself, it is the guarantee to find an item as this wherever you go. If, at any point, you should find yourself on a ship under heavy fire, and you make the decision that you've watched enough to know where this is going, and if all other means of escape fail, you will be able to make your way to an escape pod before you die from the ship-to-ship combat. This escape pod will have the engines needed to get clear of the exploding ship, and for minor maneuvering. It will have room enough for 8 people, and a heat shield for atmospheric reentry. However, it has
absolutely no weapons or armor, let alone FTL."
200 CP,Prowler,Halo - The Covenant,"This monstrosity has... an unexpectedly good design, for something made by the Jiralhanae. It is powered by two underslung antigravitational 12-ton runners, one on each side of the vehicle. These provide unparalleled stability and the ability for the vehicle to alter its orientation in midair, which allows for the Prowler to be taken off jumps that would be somewhere between stupid and suicidal in a Spectre. The driver sits in rear, with the bulk of the vehicle safeguarding him to the front- though he sits in an exposed cockpit, leaving him vulnerable to the sides. The plasma turret is located at the top and center of the vehicle; centrehowever, the gunner sits, rather than stands, in the turret compartment. This allows greater safety, as only his head and shoulders are exposed at the centre of the vehicle. The two runners on the side have enough room to allow for two pcentre of the vehicle;assengers each, who can greatly augment the prowler's weaponry with their own."
200 CP,Chopper,Halo - The Covenant,"This vehicle was designed by the Huragok Lighter than some, who designed it off of a human plow as a peace offering. The Jiralhanae had other ideas when they modified it extensively, making it into the beast it is today. It is a heavily-armored, one-man assault vehicle, kept aloft by a repulsor array on its rear seating and propelled by a massive pair of wheels in the front. The Chopper is designed for a variety of roles, from reconnaissance to anti-armor assaults. Its heavily-armouredpowerful 35mm autocannons can take down most light ground vehicles with ease, and the large blades on the front can instantly destroy any lightly armored vehicle by ramming into it while boosting. It is capable of short bursts of increased speed up to 75 mph, thanks to a pair of booster vents located on either side of the wheel."
200 CP,Upgrade Seed,Halo Forerunner Saga v1.0,"This is not technically a ship, though it is made specifically for ships. The Forerunners were not the only spacefaring race in the galaxy, though they were the most advanced still remaining for sure. They were also a very old race, and so many of their ships would become outdated with time. To this end, they created the Upgrade Seed. Similar in idea to the design seed, what this seed did was upgrade and retrofit other ships with the latest in Forerunner technology. Hulls would become strengthened with hardlight bonds, slipspace drives would be upgraded to become equal to forerunner drives, and systems like weaponry, stealth, and navigation would be uplifted to the level of forerunner technology. At the end, the ship would become a hybrid of that species’ and forerunner technology. The upgrade could take place in space but it was preferable for it to occur in the atmosphere."
200 CP,Wraith,Halo Infinite V1.0.,"A tank commonly equipped with both a plasma mortar and a plasma repeater anti-aircraft turret, this baby can seat both a driver and a gunner."
200 CP,Scorpion,Halo Infinite V1.0.,"“Firing main cannon.” Forget all of the rest, THIS is the vehicle you want. What it lacks in speed, it makes up for with durability and firepower. This tank wields a M512 90mm smooth bore high velocity cannon and a coaxial M231 medium machine gun, and is protected by layers of ceramic titanium armor. It can be driven by two unaugmented drivers or  just one if they have a neural interface. There is room in the back for four passengers."
200 CP,AV-14 Hornet,Halo - UNSC.,"A lightly armored turbofan/turbojet VTOL aircraft, it’s been reliably been in service ever since before the days of the Insurrection as the UNSC’s primary aircraft in assault, search, and reconnaissance missions along with serving close air support roles. As an atmospheric aircraft however, it cannot fly into space or be deployed from space. It does however, come with two GUA-23/AW/Linkless Feed Autocannons that fire .50 BMG shells along with two Guided-Munitions Launch Systems that can fire one missile each upon target lock-on. While its skids can also be used to carry two soldiers each into battle as a quick troop transport, its light armor means that it is somewhat discouraged. "
200 CP,Gladius-class Heavy Corvette,Halo - UNSC.,"While this ship is more meant for patrols and security roles rather than an actual ship of war, the Gladius-class serves its function well. Its armaments are somewhat smaller than most ships as a result, carrying only one small Magnetic Accelerator Cannon and two Archer missile pods with six Rampart point-defense cannons, but it does come with an extensive sensor suite to scan for anomalies and actively track targets for other ships to find and utterly obliterate. Seeing as it’s two hundred and forty-three meters in length however, it would be wise to simply retreat from any Covenant space presence."
