0 CP,"“Who’s a pretty little fluffy-duffy? You are, you are...”",Charmed JumpChain,"Are you a cat person or a dog person, Jumper? Whichever it is, you now have a modest-sized furry mammal to give you furry companionship. This little fellow is an excellent Cat/Dog, obedient and reliable, hunting down vermin and lifting your spirits. However, as great as that is, this is no mere Mortal Mammal; this is a Familiar. Behind those animalistic eyes lies intelligence far beyond a normal animal, and while still just a pet, it can be confidently given complex orders and instructions to perform. And as a familiar, it will also try its best to help you in the small ways available to it. Some familiars can take human appearance or even betray their owners and become Warlocks, neither is an issue for your familiar,"
100 CP,Library ,Buffy the Vampire Slayer & Angel JumpChain (SB Edition),"You have an extensive library of books focused on demonology and the occult, as well as records of prophecies and some on magic and spellcasting. The library as a whole is superbly organised, and you will have no trouble finding what you need in it."
100 CP,Mansion,Buffy - Generic Buffy Fanfiction 1.2,"The most humble of jumper homes, a mansion! fitted with gargoyles and all the comforts of a modern home. It will have it's own self-sustaining power source, water source, heat, air conditioning, cable, and high speed untraceable internet, as well as a replenishing stock of any food you could ever want, be it steak, candy, or blood. The Mansion is self-cleaning, self-repairing, though it will understand intentional changes. It can change its aesthetic to match different settings, while it would still maintain access to modern amenities as a Roman Manor. This Mansion will also keep things hidden from the public, so unless someone is specifically looking for you or what you're doing, they won't notice weird flashing lights or loud monster fights or just throwing a party for all your friends. This mansion is legally yours in all jumps, and will never attract scrutiny from anyone, and can alternatively be a warehouse attachment with a small plot of land."
100 CP,Slayer,Generic Supernatural Fanfiction Jumpchain,"One of the many vampire slayers activated by Willow’s spell, this young woman has nothing left to keep her in this world, but you knew her before she woke up with superstrength, and she’s happy to follow you anywhere she can start anew."
100 CP,Lee-Lee ,Generic Supernatural Fanfiction Jumpchain,A werewolf-turned-hunter who used to be involved with some pretty stupid people. She’s happy to join you just for the chance to never see another of one particular vampire species again.
100 CP,Call Center Idjit:,Supernatural JumpChain,"Someone who handles your cover stories when infiltrating locations with fake I.D.; the person on the other end of the phone who can quickly adapt to various roles as needed. They can manage impersonating your superior with the Federal Marshal, F.B.I., C.D.C., Police Department, or Health Department easily depending on which cover story you may be using and have a 100% track record for nailing every performance. Should anyone try verifying the fake identities you or other companions may be using with the number of your superior on your business cards."
100 CP,Fence,Libriomancer Jumpchain.,"You have an agent or website of some sort, through which you can sell any item you own and receive a fair sum in return. Whatever it is, it’s untraceable and the fewer questions you ask about it the better."
100 CP,Library Of Dreams,The Sandman,"Perhaps Dream favors you quite a bit, as now you’re allowed to visit the Library of Dreams, by merely sleeping. In this library is every story that has ever been dreamed, not just those that were actually written down and published but also the ones that were never finished or written or even told to others. It might not be particularly useful in a practical sense, but you’ll never run out of stories to read"
100 CP,Remote Cabin ,The Evil Dead,"(100 CP)- This small house is located in a
mountainous, forested place, isolated from civilization. Not a bad
place to stay, but perhaps it’d be better as a place to lure your prey..."
100 CP,Wednesday Addams,Wednesday ,"Sarcastic, morbid and completely honest, Wednesday lives for danger and unraveling mysteries. Earning her trust is no easy feat, especially with her wit, but once given, her loyalty is unshakable."
100 CP,Trailer ,DmC; Devil May Cry (The Reboot) Jump,A simple trailer that you can live in. Not very glamorous but functional.
200 CP,Detective Agency ,Buffy the Vampire Slayer & Angel JumpChain (SB Edition),"You have a detective agency of your own. This includes office space, a small apartment, and the necessary licenses to operate such a business."
200 CP,Local Club,Buffy - Generic Buffy Fanfiction 1.2,"Much like the Bronze, this local club will always be popular no matter when or where it is. It will earn you profits upwards of a base of 200,000 USD annually (adjusted for inflation), as well as just being a great place to blow off steam. Despite the music blasting, you'll easily hear people talking to you. Nobody can get alcohol poisoning or overdose on drugs here, and it will always be packed with 10/10 people who are attracted to you. Comes with a private VIP lounge, an unlimited supply of booze, drugs, music... whatever you need to blow off steam."
200 CP,Angel in a Trench Coat ,Generic Supernatural Fanfiction Jumpchain,"An angel of the Lord, sent down from Heaven to assist you as you travel the multiverse. They’re often perplexed by humanity, but are quite dedicated to their God-given task."
200 CP,Hunting Lodge ,Generic Supernatural Fanfiction Jumpchain,"A warded hunting lodge, with caches of lore and banes. You can expect a tidy profit from this place, but the real benefit is that supernatural hunters know it’s a good place to meet and lay low. Owning this will ensure that you have friends in that community; if some later world has monsters but no hunters or hedge magic, this lodge can ensure there suddenly always has been. Naturally, the latter allows the former to prepare certain weapons so they can crowbar a Thesulac or salt and burn Deadman away, among other things."
200 CP,Mutagenic Alchemist,The Witcher_ Nightmare of the Wolf Jumpchain,"A mage of some skill, proficient in the creation of witchers. They have a replenishing supply of Elder Blood, and they’re not afraid to use it. Just... maybe find some way to refine the process? There’s a reason most of the boys who go through the Trial of the Grasses die, and don’t even get me started on the girls."
200 CP,Jumper’s Pub ,Dresden Files - SB 1.2,"Basically a copy of McAnally’s pub. Arranged and furnished in sets of thirteen - 13 pillars with intricate fairy tale scenes carved in them, 13 tables, 13 stools at the bar, 13 ceiling fans, etc. Comes staffed with a couple of followers. A bartender to serve the customers, and a piano player to provide ambiance as there are no electronics included. Both are men of few words. The bar is continually stocked with food and drink. Simple but high quality and delicious food like steak sandwiches. Home brewed ale good enough that it might just ruin all other beers for you, as well as a private stash of ale that’s even better. Most importantly, this pub is universally recognized and respected as Neutral Territory. So long as you, the owner, don’t violate the neutrality then neither will anyone else short of beings like Outsiders and other such omnicidal eldritch monstrosities. It has a regular clientele of the local supernatural element, or the closest local equivalent, it will occasionally be used as a neutral meeting ground for negotiations. This all continues in future jumps."
200 CP,Personal Assistant,Gargoyles JumpChain,"Stone-faced and serious, your loyal assistant is there whenever you need him or her. Need to organize a meeting with a clan of monsters? Assistant can handle it. Need to practice your Kung Fu? Assistant can handle it. Need someone to test your latest immortality potion on? Assistant can handle it. May or may not secretly be a member of the Third Race"
200 CP,Gargbeast,Gargoyles JumpChain,"You have a dog! Sure, it has leathery skin that's as tough as chain mail and looks like a dragon banged a bulldog, but otherwise it's just like a regular dog. You choose the gender and general temperament."
200 CP,Top-Floor Apartment,Gargoyles JumpChain,"A penthouse or large apartment in Manhattan, it's good for late night meetings. For some reason, rent is paid up for the next ten years."
200 CP,Lair,Jackie Chan Adventures_ SB Version,"Shendu has a palace in China. Daolon Wong has a castle in Bhutan and a mansion in San Francisco. Now you have a comparable base of operations for yourself. With all the room you could need and with luxurious furnishings, you can perform your villainy in style and comfort from here. You either have fully paid utilities or a magical substitute for them and if it’s at all relevant any and all papers proving you as the legal owner of the property."
200 CP,Corner Deli,Sorcerer's Apprentice JumpChain,"It's not the most auspicious place, but it so happens that this little deli is where one of the last Morganians works, flipping burgers. Talking to the man working here will allow you to connect with the magical underworld – if there is one – and his fairly large spread of contacts. Depending on what circles you walk in, there's a chance he can get outright volunteers to serve as your lackeys."
