0,,CP Cost,Name,Jumpchain,Description,PERKS,COVER,62
,,,,,,,,
1,,100,Interesting Wanderer,Fate/Myth,"You are known to wander and walk about, and as you do you’ll find yourself stumbling into and onto new and interesting things, from new people to new food to even a Gold Coin or two.",,,
2,,100,I Know My Purpose,Fate/Zero,"Given that you are yourself and not someone else, it’s perhaps understandable that you can’t always look objectively at your own mental problems. For some, this is out of shame, for others it is self- hatred or rage. You’re able to see your own issues clearly and quickly. You won’t be any better at fixing your own problems nor will this help with you pushing this knowledge away once you find it, but you’ll never be unable to identify what you need help with or subconsciously bury your own issues.",,,
3,,100,Father's Love,Fate/Zero,"Why did they do that? Why are they acting this way? As much as a parent might want to, sometimes they simply cannot understand their own child. Differing generations and age, gulfs in experience, mental issues or a simple clash of personalities. No matter what differences lie between you, you’ll never be left incapable of understanding your own children. You may not love them, you may even come to ignore or despise them for this knowledge, but you will always understand who they are and why that is.",,,
4,,100,Reliable Scumbag,In Flight,"No matter what kind of trash you are, or that you can’t hold a job, or that the only reason you ever visit is because you’re low on food, you’re still a friend. As long as you have some sort of common background with someone you will be able to call them a friend, even if they don’t particularly like you. You can depend on them to feed you or provide you with the occasional part time job if times are hard, although any conversation that you have with them will quickly turn into a volley of insults. There are limits to how far goodwill and this perk can take you but as long as you help them out when they ask you to (and don’t outright attack them), you’ll find that your friends and allies have a much higher tolerance for your mooching off of them. You lazy bum.",,,
5,,100,At least I'm Sane,Fate/Revelation Online,"As far as the life of a test subject goes, some may call it a form of hell. Unstable and inconsistent rules, a body that can be altered on a whim, and you will probably be attacked all the time without a proper way to defend yourself to make sure the system can work as intended under stress. Still, beneath it all, you’re still you. This perk will make it so, no matter what suffering you might experience, your identity and sanity will remain intact. You can endure any hardship and make it out on the other side as yourself.",,,
6,,100,"Mind of Steel, Heart of Gold",Fate/Zero,"As time goes on and you experiences the worst the world has to offer, it’d be understandable if your heart became harder and harder. With all the evils of mankind one could witness, it’s no wonder they try to protect themselves by closing off to other people. You’ll never lose your ability to empathise this way though, no matter what awful things you see. In fact, your ability to feel the emotions of others and comfort them will only grow over the course of your life, as you see more awful things. You have seen the worst side of humanity and it has driven you to be better, not to become a mindless robot.",,,
7,,100,"Even Tonight, The Moon is Beautiful",Tsukihime,"Everyone dies eventually. Maybe it’ll be of old age in a bed, maybe it’ll be from anemia, maybe it will be because you got your head torn off by an angry vampire. And that’s alright. You’ll find that while your self-preservation instincts are intact and as sharp as ever, as is your will to live, you will find that fear of your own mortality holds no power over you. While you may still fear pain or other things you naturally would, you will find you won’t freeze up in shock or frantically run away like a scared animal when staring down imminent doom...you will remain composed and be able to take a chance to escape, should the chance exist. You also have an odd talent to be able to appreciate mundane sights and sounds, like a full moon or a soft breeze, even in stressful situations like a fight to the death or panicking over the idea you may have murdered someone.",,,
8,,100,Keep Your Chin Held High,Fate/Zero,"The child of a Magus family is rarely one that will live a peaceful, idyllic life. To be a Magus is to walk alongside death and even a Magus who never gets in a single fight is likely to see all manner of gruesome scenes and deaths, of animals or humans. Despite your upbringing as the child of a magical family, you are not weakened or scarred by the experience. Instead, the trauma only strengthened your resolve, a trait you still carry to this day. Whenever you work past an issue or trauma that you have experienced, your will and mental fortitude will grow that little bit more. You may still be broken but so long as you can put the pieces back together eventually, you will find yourself with a will of ever stronger steel.",,,
9,,100,Daily Grind,Fate/Revelation Online,"As a Rear Liner, your day today life is pretty boring. Every day you go out and do basically the same thing over and over again, with little variation in between. Normally, it would be very hard for someone to go through this without consequences or giving up due to the sheer monotony of their life. However, you don't have to worry about this any more. You will never be affected by boredom or bad habits due to repeated tasks or a normal routine. Of course, this applies to more than just going out and doing your normal Rear Liner routine of killing weak monsters and foraging for drops, but any sort of monotonous activity or routine will apply to this. Of course, being monotonous is entirely subjective, so even going out and killing monsters can fall under this if you do it to the point where that becomes monotonous to you, so this ability is pretty versatile",,,
10,,100,Pure Heart,Tsukihime,"How could a creature such as you, designed to be a weapon and a living extension of the will of Gaia and Crimson Moon, be so pure of heart? No matter how old you become or what trauma you experience, you are able to look at life with just as much childish curiosity and wonder as when were young. You are able to earnestly smile at the new day and appreciate small but new things in life, and experience old ones with just as much joy as you did the first time, able to appreciate every moment as you live through it. This carefree innocence is also surprisingly endearing to others, letting you make friends just by virtue of the wide-eyed curiosity you hold. Hopefully, they don't mistake this purity for naivety or stupidity though...because that would be a grave mistake.",,,
11,,100,Another Age,Fate/Grand Order: SkyrimAnon,"Dragons, vampires, dragon-vampire hybrids, demon gods, warriors from the future come to save the world from a demon from the past while summoning heroes and monsters from all over history, there's no end to the strangeness you may come across in this world. But weirdness is just normal for you. You're a being of legend, after all, and the world of myth can be very bizarre at the best of times. You're not exactly fazed by even the most nonsensical information, and can somehow find the logic in crazy events even if others would be unable to find any logic at all. As a side benefit, you're able to communicate with crazy people, like Berserker Servants, quite well. Can they only communicate in angry screaming or grunts? No problem, you'll be able to hold a conversation. Do they speak total nonsense that has no basis in reality? It might take some effort, but it won't be long until you can communicate your intentions to them and decode what they're trying to say. Given the sheer variety of heroes and monsters, this is likely to be very useful to you in the future.",,,
