100 CP,Fire from the Stars,World Of Lewd Superheroes,"When war came to their homeworld these two alien princesses fled and came to Earth in search of refuge from their enemies. Luckily, they found you shortly after landing and latched on to you to be their guide on this strange new world. Though twins, their personalities are almost polar opposites: the younger is sunny and optimistic, perhaps even naive, while the elder has a more cynical and even ruthless disposition and could easily be lured into villainy. Despite their differences they’re as close as sisters can be, maybe even as close as lovers, though I’ll let you discover that for yourself. Both girls possess the Alien powerset and their powers recharge from both sexual activity and ultraviolet light, so they’re quite fond of skimpy outfits and naked sunbathing between battles. They’re also highly empathic and responsive to emotions, yours especially thanks to the close bond they’ve formed with you. Both"
100 CP,Kryptonite Fragment,Justice League Unlimited Jumpchain,"A large rock of kryptonite, enough to either be carried around or used to create a kryptonite tipped personal weapon. While Kryptonite is mainly only useful for fighting Kryptonians it can also be used as a near-limitless power source for certain machines. This rock also has some special properties that prevent it from causing cancer or anything like that in both you and others. Can be purchased multiple times. "
100 CP,Galatea,Something Unlimted ,"She wasn’t supposed to exist yet and, depending on your actions, she might not even be created at all, but, if you want to, you can pay a special price to get her as your Companion right now. Galatea is Supergirl’s clone that you created using professor Emil Hamilton’s samples of the original Galatea, having all of Kara’s powers as a Kryptonian in addition to having a more mature physique than Supergirl that is noticeable due to her bigger ... muscles. Furthermore, she’s completely loyal and horny towards her daddy, you, as this trait is reinforced by being literally built into her genetic code and mental layout. This version of Galatea also has fake memories of fighting the Justice League and being critically injured after disobeying your orders so she has a strong thirst for revenge against the heroes as well as being unwilling to disobey you again despite being quite the hot head."
100 CP,"Asgardian Armory
",MCU - Volume 1,"When you have a collection of rare items, dangerous artifacts, or powerful weapons you want to show off... look no further. Gilded in gold and stone, this Warehouse Attachment has plenty of pedestals to place items of your choice up for display to prove your superiority or power over others. As a bonus, this place will continue to grow more resplendent and better reflect the items you place in here and the power you wielded to get them while holding plaques that give tales of their procurement. For an additional +200CP, items you place in here can be summoned to your person upon mentally commanding it while the Armory itself is protected and maintained by three Destroyer Units that are designed in a
manner of your choosing."
100 CP,Arcane Asgardian,Loki Jumpchain,"While others might rely on a mighty hammer or swords, you can cope without such tools thanks to possessing some degree of talent with magic. You’re not any sort of supreme sorcerer, more of a magician, this being more of the capability to use this talent rather than any sort of mastery or extensive knowledge. You know how to do basic illusion projection, duplication casting, minor conjuration, pull small objects towards you and unleash some relatively weak blasts of energy."
100 CP,Environmental Adaptation,Teen Titans Jumpchain,"Extreme heat, freezing cold and harmful radiation has no affect on you. This won't save you from being flash frozen or cooked by a volcano."
100 CP,Self-Sustenance,Teen Titans Jumpchain,You can hold your breath for hours and survive in the vacuum of space without equipment.
100 CP,Omnilinguistic Assimilation,Teen Titans Jumpchain,You can learn any human or alien language through lip-to-lip contact. Girls will likely have an easier time using this power than boys.
100 CP,Starbolts,Teen Titans Jumpchain,"You can create plasma shields, throw explosive energy bolts and fire laser beams from your eyes. You can also emit an explosion of energy from your body, but this will completely drain you and leave you weak for several hours."
100 CP,Enhanced Hearing,Superman The Animated Series - Jumpchain,A woman screams across the city but no one can hear her. Or so her attackers would like to think. You heard her and you’re already on your way. Your sense of hearing is so acute that you can understand conversations from miles away if you concentrate. If you ever get tired of hearing everything all at once you can selectively block out sounds and ignore the usual day to day stuff while still picking up the important parts.
100 CP,Flight,Superman The Animated Series - Jumpchain,The power of aerial locomotion. You can fly under your own power at a little over 500 kilometers an hour. You also produce a weak force field that will protect yourself and anyone you carry from the rigors of high speed flight. This speed is increased tenfold when you leave the gravitation field of a planet.
1000 CP,New God Physiology ,Superman The Animated Series - Jumpchain,"You possess the body of a New God, one of the natives of the planets New Genesis and Apokolips. The New Gods never age and live outside of normal space and time. All New Gods and have superhuman abilities of various kinds and to differing degrees, including superhuman strength, stamina, reflexes and speed. Those will make you anywhere between 2-5 times as powerful as a normal human in their respective aspects"
1000 CP,Kryptonian Database,Superman - Red Son,"How? How did you get this? You’ve somehow gotten your hands on the entire database of Krypton. All their scientific knowledge, philosophy, music, and history. Everything. With the right intellect and time, you can in time understand all of this and propel mankind to whole new heights, or just keep it to yourself, who are you to decide mankind’s future?"
