100 CP,Die in the Dark,Age of Sigmar: Daughters of Khaine,"Though Chaos has laid siege to it time and again, not once has it managed to claim Ulgu. This owes as much to the Daughters of Khaine’s insidious ruthlessness as it does to the dark god Malerion’s conservation of his forces. All your powers over darkness and illusion are more damaging, resilient and overall effective against malign forces such as the beings of Chaos-quelling their evil might with the hollowing void at Ulgu’s heart. Moreover, under the cover of darkness, such beings have a much harder time than they should keeping track of your position. Even esoteric features such as your soul’s signature or minutiae like your scent and tracks seem to simply disappear into formless shadow."
100 CP,Always Strike First,Warhammer Fantasy - Dark Elves JumpChain,"The Druchii have adopted a highly aggressive style of war: hit hard, hit fast. A lesson you have taken close to heart. In personal combat against an equivalent or lesser foe, you will always have the opportunity to get the first strike in through sheer reflex. In an ambush, such a blow could be the difference between life and death. 
"
100 CP,In Demand,Warhammer Fantasy - Dark Elves JumpChain,"If there’s one thing you can always count on with magic, it’s that those without the ability really,  really want those with the ability on their side. Certainly, you will never hear tell of a poor  Sorceress. As such, you will find it simplicity itself to find a post where your magical abilities will be valued deeply. 
"
100 CP,Slave Collars,Warhammer Fantasy - Dark Elves JumpChain,"A collection of ten black-iron bands. These collars bear a mild enchantment that beats down the  will of whomever you place them upon, though a strong will can ignore such an enchantment.  
"
100 CP,Luckstone,Warhammer Fantasy - Dark Elves JumpChain,"No self-respecting warrior would leave their life in the hands of chance, but at the same time, it would be foolish not to try and stack the odds in your favour. This small stone, able to fit in the palm of your hand, has a gentle yet potent enchantment upon it. Once per battle, it will turn aside a blow that would otherwise wound you, losing its magic till your next. A small protection, to be sure, but just as sure to be worth it in a pinch.
"
100 CP,Cold One,Warhammer Fantasy - Dark Elves JumpChain,"One of the most common mounts among the Druchii, the Cold One is a reptilian, bipedal beast well adapted to the bitter cold of Naggaroth, and well broken by the Dark Elves in the turning into mounts. They are fairly stupid, but strong, and quite hardy against bolt and blade. Should you purchase a second Cold One, you can receive a chariot for them to pull for free. 
"
100 CP,Elven Archery,Warhammer Fantasy: High Elves Jumpchain,"Surprisingly, absolutely no one, the Asur are fantastic archers. All of their civilian militia start as
archers, meaning that every elf in Ulthuan that isn’t a mage knows a bow like they know the
back of their own hands. Fittingly, you can strike targets with extreme accuracy, both close and
far, intuitively knowing just how much of an arc you need to give you the best chances of
landing your shot."
100 CP,Tempered by Wisdom:,Warhammer Fantasy: High Elves Jumpchain,"Poor is the mage that lets their heart rule their head. While you may certainly still have strong
emotions, this Perk will better aid you in managing them so you don’t end up doing something
disastrously stupid. The Asur have a tragically poor track record on that front already."
100 CP,Healing Potions,Warhammer Fantasy: High Elves Jumpchain,"For all his great power, the mage Teclis is still a very, very sick elf. So sick, and so weak because of his sickness is he that the archmage requires multiple potions like these just to function day to day. You might not be afflicted like him, but a bit of on-the-spot healing should never be turned away. This small case contains 6 ‘healing potions,’ which will each deal with one ‘mortal wound’ apiece. The potions restock daily, but do not stockpile."
100 CP,Hair Products,Warhammer Fantasy: High Elves Jumpchain,"If you were not aware, the Asur have a minor obsession with long hair. It’s why all of their heroes are depicted in art with great, streaming manes flowing behind them. Of course, long hair is a hassle. It gets knotted, takes so much product to keep silky, it gets tangled... Well, worry no more. This collection of assorted, semi-magical, self-replenishing oils, lotions, and such will keep that elven mane gleaming."
100 CP,Great Eagle,Warhammer Fantasy: High Elves Jumpchain,"Again, nothing overly fancy. It’s an eagle as you may know, just much, much larger. Its talons,
though basic, can easily puncture most mundane armor. And the bird is strong enough to carry
you and perhaps an entire horse."
100 CP,Forest Stalker ,Warhammer Fantasy: Wood Elves,"There is silence in the forest. And then the air fills with arrows, and the bodies of unsuspecting soldiers with unseen blades. Such are the uncanny ways of the Asrai’s fighting traditions in which you have trained in, eschewing the disciplined ranks of the Asur or Druchii in exchange for using the environment to their advantage as well as stealthy ambushes like any other natural predator. You are acrobatic enough to easily balance amidst any branch that can support your weight (and some many would assume could not) while fighting, and your keen aim could put a thrown knife through a man’s unarmoured spine at short range."
100 CP,Wanderer of Mystic Groves ,Warhammer Fantasy: Wood Elves,"Fleet of foot and swift of hand even compared to other elves, the Asrai are accustomed to fast travel over vast expanses of the otherwise forbidding woods. As such, you too have a raw acrobatics and athleticism native to those skilled at finding their way over gnarled roots and reaching encroaching armies before they’re even seen. Moreover your sense of navigation is uncanny, able to find your way even through the mysteriously time-dilated portions of Athel Loren’s woods or the wending ways of the living forest with a bit of luck."
100 CP,Hear the Leaves ,Warhammer Fantasy: Wood Elves,"Beyond simple spellcraft, the root of Asrai magic lines in communing with the branches around it’s practitioner. Like any decent Spellsinger, you are therefore adept at joining your mind with the flora around you. It is a strange sort of consciousness to navigate even for an elf, but the tradition is long-practiced and you have grasped it as well as any who pursue the Spellsinger’s calling to. It may be difficult to describe what having a conversation with a forest is like to the uninitiated, but the information it provides on encroaching outsiders is invaluable."
100 CP,Calaingor’s Stave ,Warhammer Fantasy: Wood Elves,"Carved from an undying bough, the vibrant life force of Athel Loren yet thrums in this staff. By connecting you to the hearts and minds of nearby trees, even an unskilled elf can channel magic to rouse nearby woodlands to life. Urging trees to move or assail those within their mist is possible, for the staff grants you knowledge of the dead tongue of ancient days. Just remember that without proper Treeman bodies, trees aren’t very fast or clever when it comes to adapting to problems more complex than attacking the nearest invader."
100 CP,Moonstone of the Hidden Ways ,Warhammer Fantasy: Wood Elves,"Gifted by Adanhu to the elves, this ancient moonstone can unseal many of the hidden Worldroot passages otherwise inaccessible. It’s bearer can thus seemingly teleport allies around a battlefield, crossing impossible distances without a trace so long as that travel happens within a forest. Some old magic must have settle heavily into this particular one, since with more magical energy channelled into it this stone can be used to open magically sealed passages of all kinds. It fares best of all for ones based on natural forces like the Worldroots, but can be attempted on any like an inexhaustible lockpick."
100 CP,Queen of the Arena,Age of Sigmar: Daughters of Khaine,"Gladiatorial combat is at the heart of the Draichi Ganeth’s culture, serving as both a means of proving worth and honing their natural skills. You are now a supremely talented duellist, with just the right amount of physiological talent and killer instinct to rapidly learn and adapt to a single opponent. You put on quite a show too, able to incorporate flashy moves with no loss in the effectiveness of your killing arts."
100 CP,Inspiring Carnage ,Age of Sigmar: Daughters of Khaine,"The post-battle rites of the Kraith have been known to alienate allies, and yet the sect persists by bending it’s horrific feats to the betterment of the community. You’ll find local authorities of all kinds are more amenable and open to your offers to commit brutal violence on their behalf or for their entertainment, even if they otherwise have little good reason to like you. With how many lands are plagued with monsters and how quickly turnover among gladiatorial warriors can be, you won’t soon run out of chances to prove your worth throughout the Realms."
100 CP,One With Shadows,Age of Sigmar: Daughters of Khaine,"Born in Ulgu and fit to thrive in this harsh land, you have a particularly close bond to the Realm’s principles of shadowy deception. All feats of stealth and evasiveness are instinctively easy for you to master, and should you acquire any illusion or darkness-based magics, you’ll find them intuitive to grasp. Even in corrosive regions such as the Umbral Veil, filled with environmental hazards based on darkness, you could endure tenfold longer than your sister aelves."
100 CP,The Circling Flock ,Age of Sigmar: Daughters of Khaine,"Harpy-like Scathborn deployed as aerial harriers, the Khinerai frequently follow the forces of Khelt Nar and lend their aid from on high. Even if there are no such beings wherever you go, you’ll find that you have a deep affinity for aerial predators or scavengers of the natural world around their size and sapience or lesser. Throwing a few gobbets of gore to them after battle may see them watch over you from on high, and with a simple signal you may sic them on your foes."
100 CP,Amulet of Dark Fire,Age of Sigmar: Daughters of Khaine,"Rather similar to the trinket of a certain Khainite priestess from an older world, this amulet bathes the wearer in magic-burning flames that harm no flesh. Curses spark and ignite, bolts of mystic energy are blunted by spontaneous ignition and blades conjured from pure magical energy may be shattered before impact. Yet beware, even these defences can be overwhelmed by powerful and refined casting-and of course physical damage completely bypasses it."
100 CP,The Mirror Glaive ,Age of Sigmar: Daughters of Khaine,"Polished realmglass makes up the blade of this brilliant glaive, as functional as it is decorative. In skilled hands, it can absorb and reflect the energy of enemy sorceries. Stab at a binding circle with the blade, wrap its energies around the haft and blast a bolt into a surprised wizard. While merely an adequate weapon otherwise, the glaive is a terror to all cautious casters."
200 CP,Devotional Discipline,Age of Sigmar: Daughters of Khaine,"In sheer intensity and ferocity, the aelves of Hag Nar outmatch other Khainite sects. In you, it is particularly fierce, your faith in Khaine (or at least, the purity of bloodshed he represents) securing your mind against malign forces to a great degree. Even should you take wounds in battle, the ferocity of your fiery faith can hold further damage at bay better than most mundane salves. Those converted to your faith will find similar miracles of bodily preservation taking them, gradually attaining your degree of protection as their faith deepens."
200 CP,Murderous Prowess,Warhammer Fantasy - Dark Elves JumpChain,"To say that you have been trained or molded to be a ruthlessly efficient killer is coming up short,  for while you have, that’s just scratching the surface of how much killing you’ve done, how hard  you’ve honed yourself to near-intuitive pursuit of that smallest chink in your foe’s armor, to go  straight for the vein that will make your enemy bleed out the fastest. "
