 600 CP,Moon Staff of Lileath,Warhammer Fantasy: High Elf,"Ha, looking to supplant Teclis in the goddess’s favor? This staff is king among its kind when it comes to ‘casting focus,’ dramatically augmenting your magical capacity and almost nullifying the possibility of miscasting. More so, given Lileath’s position as daughter of Isha the staff particularly functions well as a conduit for the winds of Life, filling you with an overflowing vitality that renders you very difficult to kill... Also, the staff is crowned with a full likeness of the goddess herself, and the likeness is naked."
100 CP,Sidhe Staff,BBC Merlin Jump By: Kuriboh_Knight97,"A staff, made of wood, with a blue gem in its headpiece. Inscribed with words concerning life and death. Can be used as a focus for spells to make them more powerful, and used on its own can release blasts of magic powerful enough to kill a man in a single shot.
"
100 CP,The Darkness To Your Light ,BBC Merlin Jump By: Kuriboh_Knight97,"Morgana. Ward and unknowingly to her daughter of the King, really wants to help everyone (especially those with magic) but is easily corrupted.
"
100 CP,The Orb of Ramjarin ,BTVS,An ancient conjuring orb with the power of priests of Ramjarin. It can be used as part of a ritual to make a spiritual creature physical enough to kill. Such as Thesulac Demons.
100 CP,Mystical Sensitivity ,DC Occult,"​Your experience with magic has left you acutely aware of traces of magical energy.  You can tell what kind of spells were cast days after the fact by the residual energy they left behind, discern the potency and nature of enchantments, and track down anything that leaves behind a magical trail. "
100 CP,Quiet Casting ,Elder Scrolls ," The illusion spell is often used by those who much rather prefer the subtle approach, something that isn't all that easy when magic necessitates loud flashes of magical energy. You, however, are different. When you want a spell to be quiet, it stays quiet. No sounds, no flash, no noticing you've gone invisible."
100 CP,Mage Apprentice,Elder Scrolls: Oblivion,"As a fresh student accepted into The Arcane University, they don’t have any other prospects lined up if their education goes badly. Mostly they busy themselves with attending lectures, strolling around campus, and doing their best to study the arcane arts. Currently, they know a decent bit about Destruction magic, have some weak summon spells, and through errors in casting those spells have come to understand the value of their singular strong self-healing spell. What they have in intelligence they lack in force of personality. This student seems hesitant to speak much at all, even if they are excellent at following instructions. Perhaps they view you as a respected professor and are afraid to embarrass themselves.  "
100 CP, Greater Daedra,Elder Scrolls: Oblivion,"With the weakened barriers between dimensions, unique opportunity arises to recruit permanent daedric teammates. A chance encounter has given you an ally who sees advantages in feigning being bound to your service.  Permanent residency away from their home plane suits them. This can be any of the intelligent daedra such as: dremora, dark seducers, golden saints, spider daedra, xivilai, and daedroth. As a rule, they show strong disdain for mortals through scathing commentary about their inferiority. To listen to them, you would think their loyalty lies with one of the Daedric Princes. When you pay attention it’s quite clear their criticism about your mortal failings masks other feelings. "
100 CP,Soul Gems,Elder Scrolls: Oblivion,"Soul Gems: Essential tools for enchanting, these morpholiths have unique qualities that allow them to be used to store the energy of living beings. These gems come in all kinds of sizes that correspond to the size of the soul they’re able to trap.  This collection of a dozen soul gems has some of every capacity ready for you purposes. There are petty ones, common ones,  grand ones… some of them are already pre-filled! If nothing else, they can make for lovely jewellery. Of course, the higher souls of mortals can’t be trapped in any of these. This collection contains no black soul gems. This supply refreshes irregularly, giving you new unfilled gems. Once in a while, you’ll get an egg or tomato instead of a soul gem, but it’s not a common enough problem to cause a problem. Gems like these also have use in animating undead or other artificial constructs, but this is beyond the purview of most mages. 
"
100 CP,Vanishing Cabinets,Harry Potter ,"​This is a set of linked cupboard-like items, decorated with strange, funny-looking symbols.  But its abilities go beyond its looks! These cabinets are a linked set, capable of transporting whatever is placed in one to the other, without any disruptions, side-effects or possibility of failure.   It doesn’t matter what measures are in place to prevent it, it isn’t relevant how far apart the items are, so long as both are on the same planet.  Enter one, step out of the other.  Or move goods.  Comes with blueprints on how to make more. "
