0 CP,Actual Teaching Skills ,Hogwarts Professor Jump,"Naturally if you're going to be a Professor for the next 10 Years you'll need to actually know how to teach people. So now unlike some (Severus Snape) an uneducated Muggle wouldn't be able to teach your class better than you can. (""Instructions on the board you have 30 minutes begin."" Like hell he's a teacher; pull the other leg, it has bells on it.)
"
0 CP,Fairy Stories ,Chronicles of Narnia Jump,"An ornate bookshelf containing signed first editions of the collected works of C.S. Lewis- including,
of course, each book of The Chronicles of Narnia."
0 CP,GRRM’s Books ,ASOIAF - The Small Council,"A copy of every book written by George R.R. Martin about the universe of A Song of Ice and Fire, including A World of Ice and Fire and Fire and Blood. You can summon and dismiss these as you desire and they may take on whatever appearance you desire. "
0 CP,Tri-Wizard Rule Book ,The Tri-Wizard Gauntlet ,This magical tome contains all the rules relevant to the Triwizard Tournament. It details both the letter and spirit of the rules in the language and wording that you can best understand. The book is also able to automatically flip to and highlight any section relevant to you when you need to find a rule or are planning something that will in some way break the rules.
0 CP,School Supplies,Warhammer Fantasy - Imperial Colleges of Magic,"Seeing as the Colleges of Magic are, in fact, colleges, you may find yourself doing quite a lot of writing. Not to worry, for you now have in your possession an unending supply of writing utensils! Parchment, blank scrolls, pens and quills, inkwells of any quality you would need, and even wax for when you need to seal your writings! Never again will you find yourself short on material for note- taking."
0CP,Tolkien’s Works,The Hobbit Jumpchain,"Middle Earth is a world of rich history, and now you have every single word Tolkien has ever written on the subject from the Silmarillion to the Unfinished Tales."
100 CP,Adventurer’s Journals,The Elder Scrolls IV - Oblivion (By YJ_Anon),"These small travelling journals are truly something special. On the first few pages of the first journal you’ll find a detailed overview of your skills, attributes, and other aspects of your person including the state of your health and magicka and how famous (or infamous) you are. The next few pages after that detail the items carried on your person and their overall state of repair. After that is a list of your current on-going tasks as well as any pertinent information you have pertaining to them. The other journal similarly details your exploits, though in the past tense- think of it as an ongoing memoir of your adventures, written from your perspective. Such stories might be worth selling if you could find a publisher, and if not the journal would still serve as a memento of your adventures. The first journal automatically updates, and the second journal will create a blank copy of itself when it is entirely filled out."
100 CP,Books ,Aladdin,"It may not seem like much, but books can teach people a lot. You gain a complete collection of mathematical, historical, and other classic literature from this world."
100 CP,Cunning Linguist,Slytherin,"Many forbidden tomes of the Dark Arts are written in languages other than English. This could be slightly problematic if you’re trying to learn about the book’s contents but can’t read the language it’s written in. How very fortunate then that you’ve got quite a mind for languages. Not only do you now know three new languages of your choice, but you also pick up other languages twice as fast as before."
100 CP,Dragonstone,TES: Dovah,"An ancient stone tablet held within Bleak Falls Barrow, this is a detailed map for dragon burial sites. Though you may think it to be useless in future worlds, the engravings will change, leading you to at least one draconic burial site no matter what kind of world you are in. Whatever uses do you have for the remains of a
dragon?"
100 CP,Famous Writer,TES III Morrowind,"Who could’ve thought that Curio’s The Lusty Argonian Maid books would’ve gotten so popular? Despite not being high literature and consisting mostly of sexual fantasies, the book and its multiple sequels spread throughout Tamriel and will never truly fade away. Just like Curio’s legacy, stories you write explode in popularity regardless of their content, somehow amassing fans among all the peoples of Tamriel. The effect seems even more pronounced when the stories carry no particular agenda to them, or attempt to teach a lesson, making such stories last forevermore in the worlds you publish them in. Curious, isn’t it?"
100 CP,Favored Library,Libriomancer Jumpchain,"Attached to your warehouse you gain a small but well stocked library filled with all of your favorite books with a small sitting area and comfortable lighting. They are mint condition with authors signatures and first editions available to you if so desired. Furthermore, any book you bring in here will be stored labeled and sorted onto the appropriate bookshelf for easy retrieval. While the library will expand to accept more books it will not take in duplicates and any items left in the library will be shunted back to the warehouse after an hour."
100 CP,Gifted Learner ,Drow of the Underdark," While Warlocks and Sorcerers have their place among the Dark Elves’ arcanists, wizards are the most common and well respected and to be a good wizard means putting in the work. Any training or studying you undergo has its speed and effectiveness increased five times over. Furthermore, you’ll find you have an easy time properly comprehending new information, internalizing it, and synergizing and synthesizing it with what you already know."
100 CP,Head Boy,Buffy and Angel (SB Edition),"You are well-educated on the supernatural side of the world. You can identify demons, including their strengths and weaknesses, know the history behind various stories and legends, and know who the major players are. The source of this knowledge is up to you, you could have trained at the Watcher’s Academy or be from a family of mages or just have stumbled onto the truth and been really thorough with your research."
