0 CP,Oculus Fighter,Mass Effect: Beacon’s Effect Series Jumpchain,"The Oculus Fighter is a small, agile spacecraft used by the Reapers for reconnaissance
and interception. With a length of only 20 meters, the Oculus is one of the smallest
Reaper ships, but it is no less deadly. It is equipped with advanced sensor systems and
communications arrays, allowing it to track enemy ships and relay information back to
Reaper command. The Oculus is armed with a pair of mass accelerator cannons and can be fitted with additional weapons, such as missiles or drones, depending on the mission requirements. Its maneuverability and speed make it a difficult target to hit, and it is often used to harry and distract enemy ships while larger Reaper vessels move into position."
100 CP,Air Car ,Mass Effect - Legendary Edition,"One of the finest on the market, this is the kind of car you'd find in the garages of the rich and powerful. It's easy to drive, can reach altitudes of 50 miles, has four luxurious seats, bulletproof windows, a trunk large enough to hold a body, and many more amenities that you'd expect a vehicle like this to. Best part is, you never have to worry about fuel or recharging again."
100 CP,Research & Development Center ,Mass Effect: Andromeda JumpChain,"The R&D center is integral to the Initiative’s colonization efforts in the Heleus cluster. There is one in every settlement. As you increase the amount of information you discover, the more you will be able to progress and discover in the Research section. And Development allows a user to build any object that you have the blueprints/plans for and resources to make it. If you have a ship, you can choose to integrate this into the ship. While the R&D centre is initially limited to making things that are man portable, with the appropriate upgrades, that may change. After all, Remnant Vaults have such interesting technology..."
200 CP,Kodiak Shuttle ,Mass Effect - Legendary Edition,"Often called the ""Combat Cockroach"" by the Human Alliance, the government that made and primarily uses it, this is a durable personnel carrier capable of planetary flight and limited FTL. It can carry up to 14 people, including the pilots and a VI, and can withstand hard vacuums, high pressure, and temperatures from near-absolute zero to over 900 degrees Celsius."
200 CP,M35 Mako,Mass Effect - Legendary Edition,"This vehicle was designed by the Human Alliance for their frigates, made for rapid deployment, and can be deployed on virtually any world. It's armor is tough enough to withstand high drops, extreme heat and cold and rough terrain, with the suspension and propulsion system allowing the vehicle to adapt to various terrain. It's not unarmed either, as it is in possession of a 155mm mass accelerator and a mounted machine gun, it's perfect for both travel and combat."
200 CP,Shuttle,Mass Effect: Andromeda JumpChain,"Your choice of a Nexus, Angaran, or Kett Shuttle. All of these have FTL capability, can carry a squad’s worth of people, and has a moderate amount of resistance to environmental issues such as radiation or deadly winds. If it gets hit by lightning though, it’s basically a goner, unless you put some upgrades in. If the Shuttle is destroyed, it will respawn in 48 hours either in your warehouse or on a landing pad, whichever is more convenient. "
200 CP,Mantis Gunship ,Mass Effect - Jumpchain,"With this baby, you could hold off a small army from taking an important city. At least until you run out of ammo! Well, not like that’s a problem for you Jumper. This baby is vacuum capable, if only in an extremely limited sense, equipped with kinetic barriers, thick armor, micro rocket pods, an autocannon, and advanced in atmosphere flight capabilities, this beauty is lethal. You’d even be a threat against most civilian ships, such is the power of your heaviest weapons!"
200 CP,Atlas Mech,Mass Effect - Legendary Edition,"When there are giant monsters, when one man isn't enough, when all else fails, there will always be giant fighting robots. Okay, that might be an exaggeration, but this machine designed by the human terrorist organization Cerberus is an impressive piece of tech. It combines the deadly armor and firepower of a YMIR mech with the tactical superiority of a trained pilot. Equipped with a powerful rocket launcher and a high-power mass accelerator cannon, powerful kinetic shields and a polycrystalline composite hull, it's sure to be a terror on any battlefield."
200 CP,Weapons Locker,Mass Effect - Legendary Edition,"When there is a problem, the answer you're looking for can often be found in the form of a gun. And if that doesn't work, use more guns. You now have a shipment filled with all sorts of handheld weapons found in this Cycle of the galaxy, enough to arm an entire battalion of troops. If any of them are broken, then you'll find a brand new replacement waiting in your Warehouse. Never let it be said that you don't have enough firepower."
200 CP,Armor Locker ,Mass Effect - Legendary Edition,"Armor is a very important part of a battle, and has been since our ancestors first adorned fur covers. This shipment is absolutely filled with all sorts of armor for all sorts of modern races, from Volus to Krogan, along with kinetic shields to match, enough to outfit an entire battalion. If any of these are broken or destroyed, you'll find a brand new replacement waiting in your Warehouse or on your ship."
200 CP,YMIR Mech,Mass Effect: Beacon’s Effect Series Jumpchain,"The YMIR Mech is a massive and powerful combat robot, capable of taking on entire
squads of enemy soldiers and emerging victorious. Its heavy armor and shielding make
it nearly impervious to small arms fire, while its twin heavy machine guns can shred
through infantry and light vehicles with ease. In addition to its powerful armaments, the
YMIR Mech also has the ability to enter a compact state for easy transportation. This
makes it an excellent choice for mercenary companies or other organizations that need
to move large amounts of heavy firepower quickly. With this purchase, you will gain
access to three fully operational YMIR Mechs, as well as the blueprints and technology
necessary to manufacture more."
800 CP,Azazil,Mass Effect - Legendary Edition,"The Reapers are ancient beings, driven by a misguided mission. They are horrifying opponents, but potentially a powerful ally. This Reaper is not held back by the same code that controls it's brethren, and has decided to use it's newfound freedom to help you. How fortunate. Azazil has all of the abilities that you'd expect on a standard Reaper, but is interestingly not capable of Indoctrination. It isn't really concerned about regaining this ability, or doing much of anything, really. It might be a bit lazy."
400 CP,The Destiny Ascension,Mass Effect - Legendary Edition,"This massive Asari dreadnought is the flagship of the Citadel Fleet, and there will be many questions on how you own one of your own. It's easily four times the size of the largest human spaceship, and has a functioning crew numbering 10,000. It's rumoured that it has enough firepower to match the rest of the Asari fleet, and you'd believe it, as its weapons can punch through a Reaper's defences with a few shots. Its defences are also impressive, as while it's not as good as a Reaper, it's still the apex of what the Citadel Races can achieve."
