100 CP,Of Oaths and Vows ,ASOIAF - Small Council Jumpchain,"In a world where oaths hold ironclad weight, you somehow stand exempt. Oaths, vows, and the bonds that demand loyalty and sacrifice simply don’t cling to you in the same way as they do for others. The life-long service of the Night’s Watch becomes voluntary, the Kingsguard’s oath of celibacy becomes a mere formality, and the restrictions of the Silent Sisters are waived as needed—all without consequence or any resentment from others. People around you naturally accept that you can step outside the bounds of duty, understanding, if not entirely rationalizing, that the typical rules simply don’t apply.
"
100 CP,Sworn Shield ,ASOIAF - Small Council Jumpchain,"You have a Sworn Shield, a true paragon of loyalty, discipline, and martial prowess, rivaling the most legendary warriors of Westeros. 
"
100 CP,A Proficient Warrior,Game Of Thrones - Version 1.201,"You are the equal of any knight in swordfighting, jousting and riding, as well as capable of caring for your armour and weapons without the aid of a squire. You have a weapon you are slightly more skilled in, than your average knight, whether that is a greatsword, a warhammer or something different."
100 CP,Always Armoured,Game Of Thrones - Version 1.201,"For whatever reason, it’s a fairly common practice in Westeros for nobles and important characters to fight without all their armour - rule of cool maybe? Nonetheless, now you can too! As long as you are wearing some kind of armour, you will be protected by the concept of armour to the same extent that what you are already wearing would protect you. Finally, you too can run around the battlefield without a helmet like all the other morons - and as a bonus, you won’t die doing so!"
100 CP,Weapons and Armour,Game Of Thrones - Version 1.201,"Weapons and armour suitable for your station, profession and location. If you are a Stormslander knight, then you get heavy plate armour and your specialty weapon. If you are a diplomat from Dorne, you probably have leather armour and a poisoned dagger. This gear respawns in the warehouse a day after if lost or destroyed. This gear is generally about average for what your social position would expect."
100 CP,Gold Cloak,House of the Dragon Jumpchain,This set consists of black armour and a gold cloak. Despite its more ceremonious appearance it is as tough as steel and can resist any glancing blow from the weapons here (aside from Valyrian steel and supernatural threats like Dragons). Any breakages will be repaired within two weeks. It has the special aura of a patrolling officer.
100 CP,The Battlefield ,Hedge Knight,"Due to it being the crossroads of Westeros, it is very common for the different kingdoms to have their battles in the Riverlands. Now it is easier for you to figure out where battles will take place and even figure out how to use the surroundings against enemies. Environmental kills will be much easier."
100 CP,Giant Falcon,A Song of Ice and Fire: The Epoch of Legends,"The Winged Knight, sometimes conflated with Ser Artys Arryn, was a legendary hero that was certainly a character. He received his title due to the massive falcon that he rode. This may have been some ancient dragon, but where’s the fun in that? You have a giant falcon at your beck and call, able to carry a grown man, and fly at tremendous speeds. Unlike normal birds, it’s bones are not hollow either, and can thus take a serious beating before it takes any real damage."
100 CP,The Knight,A Song of Ice and Fire: The Epoch of Legends,"You are now accompanied by the knight, an archetypical hero, even in this era before knights allegedly existed. They are the perfect embodiment of chivalry, willing to help those in need, and fight any evil or injustice. They can also tell good jokes, as all men are fools, and all men are knights, so far as women are concerned."
200 CP,Through All the Seven Hells,ASOIAF - Small Council Jumpchain,"You embody an ideal of heroism that can stir even the most hardened of hearts. In you, people see the possibility of a brighter future and recognize the dreams told in the stories of great heroes long past. Those around you become far more likely to hold to their oaths, fight bravely, and resist the temptations of dishonor. In your presence, even those who have lost everything can finally have hope for the days to come and feel motivated to fight for that hope.  You believe the dream that you inspire, and that belief lends you a unique resilience: as long as you keep fighting, you are always able to hold onto hope, always finding some chance at victory, no matter how grim the odds.
"
200 CP,Mythical Weapon,ASOIAF - Small Council Jumpchain,"You gain a weapon of your choice; it can be a sword, bow, spear, axe, dagger, or something more unique. You may select Valyrian steel or metal of a fallen star as the material, imbuing it with the power and prestige of legendary arms like the greatsword Dawn of House Dayne. If you choose a bow, it may be crafted from materials like Dragonbone or the fabled Goldenheart wood of the Summer Islands. You’ll also receive a replenishing quiver of Valyrian steel or starmetal arrows, which vanish once they’ve served their purpose and are out of sight, ensuring they can’t be used by anyone but you.
"
200 CP,Master of Arms,Game Of Thrones - Version 1.201,"You are a skilled teacher, capable of imparting a mastery of five weapon types and a martial philosophy over the course of a few years."
200 CP,Armour of the Laughing Tree,Game Of Thrones - Version 1.201,"Despite its name, the Armour of the Laughing Tree is not necessarily an armour. Instead, it is an upgrade you can apply to any piece of clothing or armour you wear. When activated, the wearer will be near-impossible to unmask or capture, whilst people’s memories seem to gloss over any attempts to connect the unmasked and masked forms."
200 CP,Bold,A Song of Ice and Fire Jumpchain,You are brave without recklessness. You can keep your cool in even the most heated situations and you will not balk at a dangerous challenge.
200 CP,"Starforged Sword",A Song of Ice and Fire Jumpchain,A sword made out of the remnants of a fallen star. Milky white and intensely shiny. Around as sharp and light as Valyrian Steel. Gives a strong impression of chivalry and honour. You may also import any melee weapon you own to take on the appearance and strengths of the sword.
200 CP,Poisonous,Hedge Knight,The weaponry you use can be instantly coated in deadly poisons. This is done by pouring the catalysts onto the blade. The effect will stay on the blade for twenty-four hours before fading. These poisons don’t harm you and you can switch them out for a cure without any ingredients.
200 CP,Stormy Berserker,Hedge Knight,During a fight you can choose to enter a heightened state of reaction where your sense of pain lowers and you seem to have more energy. Once the adrenaline fades your injuries will catch up with you and you will have twenty four hours to get medical attention. 
200 CP,Squire ,Hedge Knight,"A nine-year-old child has begged and pleaded to become your squire. Possibly a bastard noble orphan as seen in their reading skills, it is difficult to figure out what house they come from due to the broad brim hat that keeps their face in shadow and their shaved head. In time they will grow up and under your tutelage become a powerful fighter, basing their honour on you.
"
200 CP,Warrior’s Son ,Hedge Knight,"A mystery knight wearing a rainbow cloak, possibly a remnant from the Faith Militant. Either way they are an unofficial holy man and follow the Faith of the Seven in a way that does not go against you; figuring out an interpretation that fits the idea of many worlds. They seem to channel their faith which increases their damage and defense against magical enemies."
