0 CP,M9 Fragmentation Grenade,Halo - UNSC,"When you can’t shoot them, blow them up. Coming with a hard metal casing that’s meant to break apart upon the explosion, this grenade has a safety feature in that it must hit a hard surface after it has been primed before it can detonate, ensuring that it does not explode in the user’s hand. It can also come with a ‘spoon’ so that it must leave the user’s hand before it explodes as well. Either way, a small button on the ‘handle’ is the method of priming these grenades."
0 CP,M7 Sub-Machine Gun,Halo - UNSC,"It may get a reputation as something of a bullet hose, but when you’re in close-quarters combat you’re going to want something that can tear apart enemies like they were wet tissue paper. A curious design choice saw this weapon use caseless 5×23mm ammunition in a sixty-round magazine, meaning that it uses a combustible adhesive to seal the bullet, propellant, and primer all together. This makes it a very good choice for dual-wielding and reduces friction inside the barrel that could cause it to malfunction. You may also use this option to obtain the M7S variant, which comes with a sound suppressor and a SLS/V 5B smart-linked scope."
0 CP,BR55HB Battle Rifle ,Halo - UNSC,"Sure, you have things for close range, but what about long-range? There will be enemies who don’t quite feel like getting up close to you, after all, and you need to ensure that they feel just as welcome as the ones in front. Firing off 9.5×40mm M634 Experimental High-Powered Semi- Armor-Piercing rounds from a thirty-six round magazine, it also comes with a x2 scope on the top while possessing both a three-round burst firing mechanism to deliver three hits in rapid succession. The Heavy Barrel likewise increases the range and accuracy of the weapon to ensure anyone in medium range is not going to be happy."
0 CP,Weapon Upgrade Kit ,Halo Infinite V1.0.,"A kit to repair, upgrade and customize any of your weapons. Contains every tool you need for the task at hand, so long as it involves working on your weapon."
0 CP,M6C Magnum ,Halo - UNSC,"Something of a standard issue to the UNSC Marine forces, the M6C is a semi- automatic, recoil-operated, magazine-fed handgun that fires 12.7×40mm (.50 calibre) Semi-Armour-Piercing, High-Penetration rounds. While it does considerable amounts of damage towards flesh-based infantry, Covenant energy shielding might pose a problem, and so this weapon is often relegated to a defensive role."
100 CP,Brute shot,Halo - The Covenant,"The rest of the Covenant has no concept of good weapons design, structuring their guns in an artisan's contours. This wasted effort does them no good on a battlefield, which is why your kind made this weapon in the name of simplicity, brutality, and perfection- the hallmarks of the Jiralhanae. This belt-fed grenade launcher fires automatically at its targets, with its rounds detonating on impact. The butt of the gun is a wicked, circular blade that can easily set head apart from body. Now go forth, and show them the true meaning of power."
100 CP,Shield and beam gun,Halo - The Covenant,"Most infantry is given standard gear- nothing too weak, nothing too strong. Maybe an energy shield if they're lucky. Not you and your kind, however. The armor and weaponry you're given puts you and yours in a league of your own. The shield is capable of sustaining several shots from a main battle tank so long as it totally absorbs them, and the Beam gun is capable of destroying said tanks after 10 seconds of continuous fire, which is nothing compared to how it levels infantry."
100 CP,Needler ,Halo Infinite V1.0.,"Shoots a volley of target- seeking crystal shards at the target. When twelve shards attach to the target, they supercombine and explode. Shards do not stick into vehicles or structures. Holds 26 rounds."
100 CP,Plasma Pistol,Halo Infinite V1.0.,"Close range, semiautomatic pistol which fires plasma bolts that do extra damage against shields. Holding down the trigger will build up a charged shot that destroys enemy shields in one hit. Can fire 115 shots before needing a recharge, though charged shots will decrease count faster."
100 CP,M40 Assault Rifle,Halo Infinite V1.0.,A versatile fully automatic rifle that excels at close to medium range engagements. Holds 36 rounds of 7.62mm ammunition.
100 CP,Shoot & Scoot,Halo 3: ODST Gauntlet,"Like the paratroopers they are descended from, ODSTs are primarily used as light infantry. That means deploying fast, raiding deep, and softening up targets before your main force arrives. Maneuver warfare like this demands exceptional mobility. Thankfully, you can keep up with the best. You can fire on the move just as accurately as if you were standing still. If you stripped off all your gear, you could run up and over a mountain in 15 minutes flat. Even with a full combat load you can jump six feet vertically and easily dart from cover to cover. After all, when you don’t have fancy armor or energy shields to protect you, the best defense against a plasma bolt is not getting hit in the first place!"
100 CP,Close Quarters Combat:,"Halo_ Reach, a Halo 3- ODST Gauntlet Supplement ",You’re a monster in close quarters combat and inspire fear and outright terror in any enemies who watch.
100 CP,M319 Grenade Launcher,Halo - UNSC.,"Sometimes you need to throw a grenade pretty far, but find that your own arm isn’t up to snuff. Or maybe you’re saving energy. Who knows? But technology has you covered, and provides this single-shot break-action grenade launcher that has been so effective that it’s been in use for more than three centuries. Using ammunition of 40mm grenades, it has two modes of firing. The
first one is standard, firing off a grenade that detonates two seconds upon impacting a surface to discourage crowds gathering up. The second one is more useful, firing off a grenade that will only detonate when the wielder of the weapon hits a second trigger, allowing the user to set up traps or allow momentum to carry the grenade to its destination. Curiously, when detonated manually it releases a small electromagnetic pulse as well. Very useful against Covenant forces."
100 CP,Swordmaster ,Halo Termination Jump,"With this perk you will become one of the best close combat fighters and close quarters combat specialists in the Halo Universe. You know every kind of trick, every acceptable and underhanded method that can bring you victory even against superior foes. Fighting against numerous opponents will be much easier for you as you will instinctively know how to use them against themselves, making them hinder any kind of teamwork. From now on you will never lose in close combat against opponents who do not have decades of close combat experience and even those who are more skilled than you are can be held back or even damaged by your attacks. You also know how to create advanced close combat weapons like energy blades and gravity hammers."
200 CP,M41 SPNKR Launcher,Halo - UNSC,"It wouldn’t be a military without some kind of heavy ordnance, and Misriah Armory once again delivers with supreme effectiveness. In service for decades as far back as the Insurrection, this weapon features twin barrels and fires ordnance of M19 109mm high-explosive shaped charge missiles with both a smart scope to possess longer range and an optional targeting system to lock onto vehicles. Once the first missile is fired, the barrels simply rotate and allow the second missile to be fired before the need for reloading arrives. Wielding this, you’re going to make some noise."
200 CP,M6 Spartan Laser,Halo - UNSC,"Fight fire with fire. Sure, that sounds good when you say it, but then you have to wonder how Humanity can do what when they’re up against aliens with plasma technology. The answer is lasers. Originally meant to be a supplement to MJOLNIR as Project GUNGNIR, it was scaled back due to the ludicrous cost of producing it. The weapon works by painting a red targeting laser on the target, accompanied by a growing, audible whine as the weapon cycled up. So long as it does not charge for three seconds this process can be aborted and save battery, but upon firing a powerful microsecond-long pulse of energy bursts out which is capable of burning through thick plates of metallic laminates or hard steel. Targets within two meters of the strike seem to be damaged and light vehicles suffer damage due to this weapon, so perhaps the cost is worth it."
200 CP,ARC-920 Railgun,Halo - UNSC,"What is with all these weapons that aren’t supposed to exist yet? Once again you may have a prototype, for this weapon doesn’t see development until after the Human-Covenant War has concluded. This weapon is a compact-channel linear accelerator that requires a small charging time before firing off 16×65mm high-explosive tungsten-ferric rounds with such speed that the weapon is actually enveloped by plasma. The explosive yield combined with the kinetic impact ensures that it is one of the most effective weapons the UNSC has available."
200 CP,Gravity hammer,Halo - The Covenant,"The haughty Sangheili are constantly preaching about their Energy swords, and just how ""honorable"" they are- as if honor was worth an Unggoy's shit. The only thing that matters upon the field of battle is final victory- and this will deliver it where their trinkets cannot. It is a weapon to make the cowering humans know fear, pain, and death. It is a mighty hammer, 7 feet long with a powerful gravity engine at the end. When the enemy is struck with this weapon, a mighty shockwave is released that throws all who are in close proximity dozens of feet away at very high velocities."
200 CP,Plasma grenades,Halo - The Covenant,"Now, don't go using them all in one place- oh, who am I kidding. You want to use them all in one place! And who am I to stop you? These high explosive grenades are fun! They stick to any enemy or vehicle you throw them at, and the best part is that they don't stick to the useless walls, so the hot plasma death isn't wasted. This comes in a literally bottomless crate that cannot be moved out of your warehouse, so you'll need to take just a few at a time. Or take a lot. Enjoy yourself!"
200 CP,Sentinel Beam ,Halo Infinite V1.0.,The directed energy weapon primarily carried by Sentinel Aggressors is capable of piercing through multiple targets. This one can be retrofitted to fit within a Monitor shell if you wish. Holds 250 units of power.
200 CP,Mangler,Halo Infinite V1.0.,A heavy hitting revolver that shoots high velocity spikes. Holds 8 rounds.
200 CP,Heatwave ,Halo Infinite V1.0.,"Semi-automatic hardlight shotgun that shoots six projectiles from one shot. These move side-by-side in a line. By switching to the alternate firing mode, those six projectiles will now be in a diamond shape. Can hold 8 shots at a time."
200 CP,Pulse Carbine,Halo Infinite V1.0.,Fires bursts of plasma that are most effective at short to medium range. Projectiles will slightly track targets under the reticle when fired. Can fire 125 shots before needing a recharge.
200 CP,Frontline Leader,Halo Wars Jump V1.0.,"It doesn’t matter where you are, you are now able to understand your situation, lay out plans, and organize troops as if you were in an HQ building. As you are fighting a battle, you are now able to get a relatively accurate idea of the strategic situation and you also have a cool enough head to relay orders and make battle plans while shooting and being shot at. Relaying these battle plans and
your ideas will be up to you, but I'm sure you’ll manage."
200 CP,Sniper Rifle System 99,Halo - UNSC.,"When you need to reach out and touch someone, you need some pretty heavy duty equipment. You need something that could pierce energy shielding and still keep going to help someone floss their brain. You need this sniper rifle firing 14.5×114mm APFSDS rounds in a semi- automatic fashion, from a standard four-round magazine with an effective range of over eighteen hundred meters. Having entered service during the Insurrection, this rifle became worth more than its weight in platinum with its effectiveness during the Human-Covenant war. Purchasing"
200 CP,You are Terminated,Halo Termination Jump,"You know that everyone has weaknesses and because of this, no matter how well protected or how strong and durable your target is, you will be able to find a way to overcome any defenses and defeat them. With this perk it is possible to defeat seemingly invulnerable opponents and even immortals will be slowly weakened by your repeated attacks and eventually you will be able to land the finishing blow. You will have to put in a lot of work and cause a lot of damage, but eventually anyone who stands against you will fall before your strikes. You can also guide others pointing their attacks toward weak points, which you always find by observing your target for a short time, on your target to quicken the opponent’s demise and shorten the time needed to make them fall before you."
400 CP,Nova-II Thermonuclear Device,Halo Termination Jump,This is a thermonuclear weapon of mass destruction capable of destroying a planet or eradicating a large fleet of warships within its blast radius of thousands of kilometers and some of the effects will reach far beyond this range and may cause damage and disturbances. Do not use it close to planets you don’t want to ruin. Much stronger and more destructive than the original one made by the UNSC in the canon Halo Universe. You got one such bomb (or a missile if you want it in a self propelled form) and should you use it up you will be given another one a week later.
