CP Cost,Name,Jumpdoc,Chapter,Description
Free,Cultivation,A Will Eternal,Source,"The cultivation path of this world is based on Will itself. This becomes most apparent in the
higher levels of cultivation. There are two sources of cultivation. The first is spiritual energy,
which, while abundant in the Eternal Domain, is much sparser in the Heavenspan world.
This is what is used by the river sects in the Heavenspan world, and by the cultivators in the
Saint-Emperor’s domain. The other is Soul Vitality, absorbed from the souls of the dead,
primarily used by the cultivators of the Wildlands and Vile-Emperor’s domain. By taking in
this energy, you will slowly grow more powerful, and your lifespan will increase each time
you advance a stage. Separate from both of those, is body cultivation. This focuses on
raising the strength of the fleshy body and vital energy of the cultivator. You will start at the
level of qi condensation."
Free,Estabilished Cultivation,Against the Gods,Source,"You are proficient in the Profound Arts, the cultivation style of this
world. You start at the second level of the Elementary Profound Realm. Your profound veins are
above average, but nothing particularly special. Roll a 1d20+10. That’s the number of Profound
Entrances you have open. You have slightly above average talent with one element, and start with
knowing one low level Profound Art each for attacking, defending and movement.
You may cultivate up to any level you want, with no restrictions. All of your power, along with any
changes made to your veins or body are carried over with full effect in all future worlds. Once you
reach Sovereign 10, you can grow Profound Veins in others with an injection of your own Profound
Energy, giving them the ability to cultivate."
Free,Mantra Generation,Asura's Wrath,Source,"A being with a soul (you do have a soul, right?) can generate Mantra by prayer or feeling emotion.
This mantra can be utilized by devices powered by Mantra Technology, or the Demigods of Shinkoku Trastrium."
Free,Red Soul Realm,Tales Of Demons and Gods,Source,"The “worst” Soul Realm as ranked by Glory City. Nie Li said that the rank doesn’t really matter much, as long as you have a suitable cultivation technique. Techniques present in Glory City are insufficient to help Red Soul Realm cultivators reach a high enough rank."
Free,Soul Realm Cultivation,Tales Of Demons and Gods,Source,"Everyone has a soul. You have been taught how to grow your soul realm’s power through concentration and training. Cultivating your Soul Realm allows you to train your soul, making it more powerful and larger.
Post-Jump, you need no kind of external energy to enable you to cultivate the TDGverse cultivation system."
Free,Born in the Mist,Fog Hill of FIve Elements,Source,"Being part of the family of the five elements you have been blessed with the skills and heritage
to be able to wield one of the five elements fire, water, earth, wood and metal these five elements
make up your choice, choose one, it will become the element you wield and the branch of the
family you belong to. An element is not just anything, it is an ability of considerable power that
will fill both your spirit and your body with that element and empower it to heights rarely seen,
ultimately, this will not grant you a divine manifestation, but it will put you on the path to obtain it.

Congratulations, you are part of the five element family recognised and admired by the people around you, beyond just being recognised as a rich kid there is an aura around you that calls out and shows your presence to others, or specifically which clan you belong to, Having a fiery and flamboyant presence in case you are part of the fire family branch or a calm presence that makes patients quickly calm down and reassure them of your benign presence, equally this will happen with the elemental family branch you join, keep in mind one thing Jumper, this will not give you an authoritative voice or a prominent presence, it will only give you an easy recognition with your elemental family."
Free,Cosmo,Saint Seiya: The Original Series,Source,"Cosmo is an ancient energy that sleeps within human beings, that traces its
origin back to the Big Bang that created the universe in an ancient time before time. One who is
aware of their Cosmo can ‘burn’ it, recreating the Big Bang in an extremely miniature scale
within their own bodies, to perform superhuman feats or unleash great destructive power within
a single, contained point. Someone who has awakened to and trained their Cosmo can burn it
to do things such as moving faster than the speed of sound, pulverize boulders, as well as
withstand bodily punishment along those same lines. This is the level you start at.

It should be noted that while these Senses create very strong thresholds you must overcome
through training and effort, it is possible to briefly push past your current limits through emotion
and willpower, as well as extensively honing your Cosmo abilities through combat and knowledge."
Free,Cosmo (Lost Canvas),Saint Seiya: Lost Canvas,Source,"The Big Bang gave birth to everything, every bit of energy and every grain of matter, everywhere in the universe. As a being made of it, it is legitimate to think of yourself as a little universe, able to recreate this miracle on your own scale… That is the philosophy behind Cosmo : ""little universe"", something inside you that, when ""burned"", recreates that energy and allows extraordinary things to happen. You have a beginner cosmo, alike to that of a Bronze Saint. Burning your cosmo alone or with your armor will see you do things like move at Mach 1, pulverise boulders barehanded, or punch 100 times in a second. It is only the beginning however, for there is no end for those who cultivate this gift… "
Free,9th Sense Spark,Saint Seiya: Lost Canvas,Source,"My my… and they said Ashmita was the man the closest to the Gods. Your soul and cosmo, through luck or contemplation, resonated with the Ichor and made it your own, a glimpse of what lies beyond : the 9th sense, Godhood, the ""supreme virtue"". You gain a soft “immortality” by agelessness, and can choose one theme or domain, like “fire” or “stars” or even “dreams”. Within this domain , using your cosmo will not only magnify your power tremendously, but whereas the 7th sense bruteforce results, the 9th allows you to outright ignore normal limitations of physics and reality, putting that saved energy to better use and casually bringing forth litteral impossibles to life.

Right now, with a Gold or God cloth, your domain’s power could equal minor Gods like Morpheus, or even intermediate ones like Hypnos and Thanatos with great efforts, although in every other aspect you are still as “weak” as a mortal, and giants like the 12 Olympians are still way above you with just this. It will take time, far more than this jump has to offer, to completely open yourself to the true 9th, offering wonders like planetary reach, true immortality, or physics breaking outside of your Domain. But time is something you have plenty of…

Requires ""8th Sense"" and ""Ichor"" to Purchase"
Free,Cosmo,Saint Seiya: Omega,Source,"Cosmo, an ancient energy slumbering within every human being, traces its origins to the primordial explosion that birthed the universe in a time before time itself. Patiently awaiting ignition, this potent force lies dormant, ready to be kindled into a miraculous power. Those who unlock access to their Cosmo possess the ability to ignite and harness it, unleashing superhuman feats and tapping into supernatural abilities.

With a beginner's Cosmo akin to that of a Bronze Saint, one can begin their journey of mastery over this formidable energy. Through training and discipline, individuals can learn to ignite their Cosmo, unleashing its power to achieve extraordinary feats. From moving faster than the speed of sound to pulverizing boulders with sheer force, the possibilities are as vast as the cosmos itself. Moreover, those attuned to their Cosmo can endure bodily punishment beyond ordinary limits, standing resilient against formidable adversaries and emerging unscathed from the fiercest of battles."
