0,Perk Name,Cost,Source,Description
1,Red Science,100 CP,Vanilla Factorio,"You gain the foundational knowledge required to begin your journey into Factorio-style automation. This perk provides you with basic theoretical understanding and practical skills: enough to craft your first burner miners, stone furnaces, and assemble simple automation setups.

However, this is only the beginning. True mastery comes through application. By building machines, designing production lines, and proactively automating processes, you will gradually expand your knowledge and capabilities. Each new innovation unlocks further possibilities, allowing you to progress through increasingly complex technologies until you have mastered the full breadth of Factorio's automation content."
2,Green Science,100 CP,Vanilla Factorio,"You gain the foundational knowledge required to begin your journey into Factorio-style logistics and belt-based automation. This perk provides you with basic understanding of transport belts, inserters, and simple material distribution.

True mastery comes through application. By building logistics networks, optimizing supply chains, and proactively designing distribution systems, you will gradually expand your capabilities. Each innovation unlocks further possibilities until you have mastered the full breadth of Factorio's logistics content."
3,Gray Science,150 CP,Vanilla Factorio,"You gain the foundational knowledge required to begin your journey into Factorio-style military production. This perk provides you with basic understanding of turrets, ammunition, and defensive structures.

However, true mastery requires conflict. By building military devices, defending against threats, and actively engaging in battles, you will rapidly expand your capabilities. Actual combat using your creations provides the best returns: each skirmish teaching you how to improve your military technology until you have mastered the full breadth of Factorio's weaponry."
4,Blue Science,150 CP,Vanilla Factorio,"You gain the foundational knowledge required to begin your journey into Factorio-style chemical science and fluid handling. This perk provides you with basic understanding of oil processing, chemical plants, and fluid management.

True mastery comes through application. By building refineries, managing complex fluid networks, and proactively utilizing chemical science, you will gradually expand your capabilities. Each innovation unlocks further possibilities until you have mastered the full breadth of Factorio's chemical production."
5,Purple Science,200 CP,Vanilla Factorio,"You gain the foundational knowledge required to begin your journey into Factorio-style production optimization. This perk provides you with basic understanding of advanced circuits, electric furnaces, and productivity modules.

True mastery comes through large-scale application. By building production lines, manufacturing a variety of advanced items, and proactively optimizing your processes, you will gradually expand your capabilities. Each innovation unlocks further possibilities until you have mastered the full breadth of Factorio's production science."
6,Yellow Science,200 CP,Vanilla Factorio,"You gain the foundational knowledge required to begin your journey into Factorio-style high technology and utility science. This perk provides you with basic understanding of processing units, low-density structures, and rocket control units.

True mastery comes through advanced application. By building complex devices, manufacturing cutting-edge items, and proactively utilizing high-tech knowledge, you will gradually expand your capabilities. Each innovation unlocks further possibilities until you have mastered the full breadth of Factorio's advanced technology."
7,White Science,250 CP,Vanilla Factorio,"You gain the foundational knowledge required to begin your journey into Factorio-style space technology. This perk provides you with basic understanding of rocket construction, satellite payloads, and the principles needed to reach beyond your home world.

True mastery requires exploration. By building space-bound devices, launching rockets, and proactively traveling through space using knowledge from this perk, you will rapidly expand your capabilities. Actual space exploration and travel provide the best returns: each new frontier teaching you how to improve your space-faring technology until you have mastered the full breadth of Factorio's celestial ambitions."
8,Space Age,600 CP,Vanilla Factorio,"You gain a complete mental compendium of theoretical scientific knowledge and blueprints for every craftable item from the Space Age expansion for Factorio. This includes the technologies required for interplanetary logistics, asteroid processing, advanced platform construction, and the unique resources and production chains found on new worlds.

Simply possessing this knowledge is only the beginning. Applying these blueprints and theories in practice will help you gain expertise in the usage and creation of these technologies at an incredibly rapid rate: allowing your actual skills and practical understanding to advance in leaps and bounds with each new build."
9,Biters and Other Pests ,400 CP,Vanilla Factorio,"You possess a complete mental compendium of research on the various hostile lifeforms found throughout Factorio: from the humble biter to the devastating behemoth worms, including all variants introduced in the Space Age expansion. You understand their biology, behavior patterns, hive dynamics, and evolution triggers in intimate detail.

Beyond theoretical knowledge, you have developed exceptional tactical skills for engaging and exploiting these creatures. You know how to manipulate their aggression, draw them into killzones, and neutralize even the largest swarms with minimal resources. More importantly, you possess a natural talent for researching alien hostile life and developing effective countermeasures (whether chemical, biological, or mechanical) against such evolutionary threats."
10,Shield Projector,50 CP,Modded Factorio,"You gain the ability to construct a device that projects an energy shield in an arc: a defensive wall that requires only power to sustain itself. This blueprint and its accompanying basic scientific principles are inspired by the Shield Projector mod for Factorio.

The device can be built relatively easily, though it will function as tinkertech: reliable in your hands but difficult for others to replicate or maintain. This perk provides only the fundamental theory and a single specific blueprint - no deeper understanding of energy shielding beyond this particular application."
