0,,CP Cost,Name,Jumpchain,Description,PERKS,COVER,59
,,,,,,,,
1,,100,Devil Core Mine,The Holy Man of Church Creek ,"Devil Core is a special metal unique to the Underworld. This expansive mine stretches across the vast expanse of a colossal mountain, teeming with the coveted Devil Core ore. This unique metal holds extraordinary properties that make it highly adept at channeling and conducting a Devil's magical power. This makes the material excellent for crafting high quality weapons and armor. Within the depths of this sprawling mine, a dedicated workforce of skilled miners and workers will be at your disposal.

These capable individuals are well-versed in the art of extracting and refining Devil Core ore, ensuring a constant and abundant supply of this precious material. Their expertise and unwavering dedication will guarantee a steady stream of Devil Core, allowing you to create a constant stream of exceptional weapons and armor. The rich reserves of the mine will replenish themselves over time, guaranteeing an unending supply of this precious material. No matter how extensively the mine is worked, its abundant nature ensures that you will never run out of Devil Core ore, granting you unlimited access to this extraordinary resource.",,,
2,,100,Mountain Heaven,Fate/Legends: The Land of The Rising Sun,"Who would ever have expected a hot springs resort to appear so deep in the misty forests? It hardly seems like a profitable location but any traveler would be glad to happen upon this secluded respite. Moreso once they meet you, the lovely innkeeper and landlord of this small compound. This is a traditional resort that is summoned at your whim, large and very comfortable. Despite the earlier age, it remains stocked with high quality supplies and many conveniences of the modern era, not that anyone notices the anachronisms. There’s enough rooms to host a few dozen guests at a time. The luxurious hot springs are the star attraction, many large natural baths that no one appears to mind are all mixed bathing. 

Despite the size and possibility of keeping upwards of fifty people happy at once in their stay, you find it takes no time or effort at all. While here, you can act as a superb innkeeper, of almost supernatural skill when it comes to satisfying all customers and their desires. People do tend to follow your rules here as well, provided they’re mostly reasonable and not too out there for an inn. You might get away with a few bizarre rules passed off as customs that no guest will think twice about following but don’t try anything harmful. 

For an additional 100CP, a mysterious tower can be added behind the Inn. This is a battle arena, one of seemingly endless floors. The higher one goes, the more dangerous the enemies are. Defeat in this tower does not result in death, the defeated appearing in one of the hot spring baths to heal. Every entrant to the tower must start from the bottom, though clearing ten floors of enemies will let that entrant start ten floors higher if desired.",,,
3,,100,Roadside Diner,Fate/Saber Wars,"A cozy roadside diner, the sort any space-way traveller is glad to see. A well furnished kitchen and comfortable rooms to stay in, it’ll make either a tidy profit or a nice home to live in. Whatever end of the Galaxy it’s located on, rowdy sorts tend to make their way to it. The damage they cause can be annoying but you’ll always be meeting interesting new people with all kinds of fantastic problems. 

For an additional price, this can be upgraded to a whole space station of your own. Like the famous one star Green Hell restaurant, this station is a much more involved experience. Your little diner/inn is more like an entire mansion or small village, with extensive facilities for just about any holiday someone could want. The rest of the station is filled with extensive biomes filled with wild ingredients, from dangerous animals to deliciously exotic plants. They might have to hunt them down themselves but any visitor is sure to enjoy eating a meal they had a hand in preparing. The space station will come with a few hundred staff attached already, skilled hospitality workers if you don’t mind that they’re all youkai of one sort or another.",,,
4,,100,Ahnenerbe,Kara no Kyokai: Ammy Edition,"Oh, how nice. A door has appeared in your warehouse, leading to a place known as Ahnenerbe, a quaint little coffee shop run by a severe Japanese man known only as 'George’, though his deep voice seems familiar somehow. The coffee is served a little too hot most of the time, but it's good quality, and the desserts and snacks served there are quite good. I've been told the pies George makes are really good too. 

...Oh yeah, I almost forgot to mention its actually unique properties, namely, the fact that it serves as an intersection point between the various timelines of the greater Nasuverse, with characters from Tsukihime, Fate, and even Kara no Kyoukai itself can all be found here chatting and enjoying each others’ company. What's more is that as you travel, it will begin to overlap with the various other jumps you visit, and characters from those jumps will begin to show up from time to time as well. 

Fighting isn’t allowed here, and George settles conflicts so don’t worry about any remaining villains trying to mess with you, though they might leave with the place trashed still. The cafe appears wherever it wants to be in the jump, sometimes at multiple locations at once, though a door is always open in your Warehouse, and keep in mind you can’t use it to travel between jumps with impunity; you’ll just end up back at where you entered Ahnenerbe at. Until post-Spark at least.",,,
5,,200,Lordship,Fate/Legends: Garden of Avalon,"No longer are you among the common knights, wandering in search of a liege to live under. Now you’re a bit more important. You’re a lord of the land, possessing your own fortress castle and a large area of land around it, along with the towns and serfs that populate them. You do pay tax to your lord but have a great deal of wealth and men of your own now. In future worlds, you’ll retain a similar title and territory, though it may take on different forms depending where you are.",,,
6,,200,El Dorado,Fate/Legends: Strange New World,"At last, we find out where the lost city of El Dorado was. In your backyard. At least a good portion of it. These several massive temples and surrounding buildings are entirely made of gold, filled with golden treasures and furnished with golden furnishings. Even the water fountains are liquid gold. There are no magical treasures to be found, beyond whatever keeps all this gold in such good condition and so plentiful, but it makes for quite the perfect roost for any dragon-like being. And if you’re so crass, there’s a very, very large amount of money to made from selling bits of this stuff off. Not that anyone but you will get the chance, given the hefty supernatural wards that prevent others from reaching this place or finding it at all without heavy duty magic of their own.",,,
7,,200,The Holy Sword Initiative,The Holy Man of The Church Creek,"The Holy Sword Initiative was a special project designed to create artificial Holy Sword wielders. This will come with a large facility to house all of the users, equipment, and other supplies. This facility will come fully staffed with researchers, teachers, and of course participants. Each of these participants are young children with incredible potential. Many of them can become skilled exorcists, but a small number of them will be truly talented individuals who can become powerhouses within your forces. This version also will be done far more humanely unless you actually want to be a monster. Lastly, whenever your students finish new groups will be brought into replace them.",,,
8,,200,Lord's Home,Fate/Legends: Land of Shadows,"A proper lord now, aren’t you just? You’re still far from claiming the title of a king but now no one will doubt your place, as you’ve received a fairly significant noble title in your kingdom, such as that of an important lord or duke, and also a very large and well fortified fortress from which to rule your new territory. It’s tough enough that it could stand a siege from the Red Branch Knights themselves for at least a few days, even with their magical powers, and the castle has a close connection with the nature spirits of the land, not only ensuring any druid magic is significantly stronger than normal but sometimes even bringing those spirits out of nature to assist you directly. Be it in battle or everyday life. Both title and castle, along with the surrounding territory and towns, will follow you to future worlds.",,,
9,,200,Queenly Academy,Fate/Saber Wars,"Famed across the galaxy, if only for how eclectic it is, your new academy is a star in a sea of humdrum schools. It’s quite the bizarre place, beyond just being staffed entirely by various Servants and a robotic headmaster. The school attracts a certain kind of student and teaches them to be a certain kind of person, along with the usual education expected of a prestigious school. What certain kind? Whatever you want. It might be drawing in rich heiresses only and training them all to be violent, unruly young ladies with twintails and a love for wrestling. It could be an academy that only those seeking vengeance apply to, churning out an unbelievable number of dark crusaders of the night. You might even seek that holiest of holies, the Saber School where the truly worthy may approach and be taught to become a Saber. 

Students gather from all over the galaxy and it makes a tidy sum for you as owner-slash-head of the school board. You can change the lesson plans freely and it looks like no outsiders ever really comment on how strange the teaching material is here.",,,
