0 CP,Your Own Notebook,Wednesday 1.1.,A notebook that never runs out of pages. Comes in the colors of your personality.
0 CP,Focus,Sorcerer's Apprentice JumpChain,"Magically made, focuses are objects that project the electrical energy of your nervous system into the physical world for you. Without a focus – which generally takes the form of a fairly ostentatious piece of jewellery such as a large ring, a necklace, cane and so on – a sorcerer is completely unable to cast. More focuses can be made by a sorcerer, but not without a focus themselves, so keep backups just in case."
0 CP,School Supplies,Warhammer Fantasy - The Imperial Colleges of Magic,"Seeing as the Colleges of Magic are, in fact, colleges, you may find yourself doing quite a lot of writing. Not to worry, for you now have in your possession an unending supply of writing utensils! Parchment, blank scrolls, pens and quills, inkwells of any quality you would need, and even wax for when you need to seal your writings! Never again will you find yourself short on material for note-taking."
100  CP,High Quality Pen,Generic Teacher JumpChain,"A stylish black and silver pen. With this, you can write ten times faster, and in any font and colour you choose. Paperwork becomes a breeze with this. It can also write on any surface, in a vacuum, and underwater. Pretty neat, for a pen."
100 CP,Frizzle’s Fashion Collection ,Magic School Bus JumpChain,"A closet full of dresses (or suits) for a fashionable teacher that wants to coordinate their wardrobe with their lessons. These clothes are guaranteed to fit you perfectly, and can have virtually any design imaginable printed on them, to best fit your lesson plans. New outfits will appear as needed."
100 CP,Library Annex,Hogwarts Legacy,"A room filled with bookshelves. Initially, the shelves are filled with a random assortment of books copied from the Hogwarts library. Whenever you hold and at least skim through a book, a copy will appear on the shelves of this library for you."
100 CP,Pensieve,Hogwarts Legacy,"A special enchanted device that can allow memories to be replayed in impossible detail. The basin comes with a plinth to sit on, which has a hidden storage compartment with a hundred specially prepared vials, each of which can securely hold a memory for later viewing. Also comes with an enchanted eyedropper that can allow anyone, even Muggles, to safely extract a memory for viewing."
100 CP,Blue-and-Bronze Robes,Ravenclaw 1.0,"A beautiful set of dress robes, Sapphire blue with bronze trimmings. Comes with self-cleaning, self-repairing, and self-ironing charms already applied. It even has the ability to change its overall style, appearance, and materials to whatever suits you most."
100 CP,Flask,The Faculty Jump,"This flask contains some kind of alcohol. You can even fill it with one of your own, though any special properties other than being alcoholic will be lost. Once you drink what comes out of the flask it will begin to refill itself with whatever alcohol was put into it last, taking about an hour to fully refill itself. This might just make highschool bearable."
100 CP,Gramophone,Wednesday 1.1.,"This is an antique gramophone of the Addams. When the needle starts playing, the air is filled with serene melodies that relaxes anyone who hears it in body and mind. Listeners find their breathing easier and their thoughts serene."
100 CP,Library,Buffy the Vampire Slayer & Angel JumpChain (SB Edition).,"You have an extensive library of books focused on demonology and the occult, as well as records of prophecies and some on magic and spellcasting. This library will update in later Jumps to include knowledge from that setting. The library as a whole is superbly organized, you will have no trouble finding what you need in it."
100 CP,Efficient Lesson Plans,Generic Magic Academy v3,This stack of papers includes a useful lesson plan that is tailored to any classes you are expected to teach. By following this you are guaranteed that any student that puts in a decent effort will have a solid foundation in whatever knowledge you have tried to teach them.
100 CP,Globe,Generic Teacher JumpChain,"A small globe showing whatever planet you’re currently on. In real time. If you could zoom in far enough, you would be able to see yourself standing there, looking at a mini globe. Any changes you make to the globe don’t affect the real world, but any changes to the world will affect the globe. Great for Geography, but could conceivably tie in to many other subjects too."
100 CP,Lesson Plans ,Generic Super Academy JumpChain,"As a teacher you need to teach a class. This is a perfect and full lesson plan for whatever class or classes you want to teach. With tests, quizzes and homework assignment included. By following this lesson plan, you can guarantee that all of your students will pass as long as they put in a minimal amount of effort. You can change this yearly in response to assignment changes, but you will need to actually be teaching a class to use this. If you're not a teacher, these serve as perfect study guides to any class you are attending."
100 CP,Book Bag,"TES V Skyrim (By SkyrimAnon)
","Roaming the lands of Skyrim in search of mistreated books sounds like a good idea, but how are you going to transport the books? You can’t always use a wagon with a chest to carry all of it, there are too many books in remote places. Thankfully, you have this bag. Any books you place in it will be perfectly preserved, regardless of the conditions the bag is put through. You won’t have to worry about rain or snow ruining your books as you’re carrying them to a library."
100 CP,Sensei Armour,Skylanders Imaginators JumpChain,"A set of black and gold armour, unofficially serving as the uniform for the Senseis. The armour provides a decent amount of protection, yet offers complete freedom of movement. Should your armour be lost or destroyed, a replacement set will appear after 24 hours."
100 CP,Tea Leaves ,Harry Potter Movie Series Jump,"An unlimited pot of fine quality tea leaves that are both delicious and perfect for Tessomancy, the magical art of reading tea leaves to predict events in the future. Though the results you get from this method of seeing the future may be vague, they will always be accurate."
100 CP,Dourglass,Harry Potter Movie Series Jump,"The sand runs in accordance with the quality of the conversation: if stimulating, the sand runs slowly. By holding it you can find a topic that each guest will find interesting."
100 CP,A Proper Uniform,Ciaphas Cain: Hero of the Imperium Jumpchain.,Every Commissar is given a rather nice coat and a chain sword to use; these are yours. The coat is a durable outfit made with damage resistant materials capable of taking some heavy blows. The sword is a powerful weapon and tool used to inspire their soldiers. Should they be destroyed or you somehow lose them you will receive a replacement the next day.
100 CP,Insta-Homework Grader 2001 ,The Wider Wizarding World,"Why waste time reviewing your students' homework? Spending hours of your valuable time checking for spelling errors? Checking carefully for complicated spellings to make sure they haven't cheated in
some way? Yes, you get paid for it, but you also deserve to have a life outside of the classroom or your office. This wooden box checks any homework that is placed inside, examines it for any spell, any type of Quill used to cheat, being written by someone else, even just being copied from another assignment. You also grade it correctly based on your own knowledge, and in the same way you would grade that assignment from that same student. It will be graded according to your criteria and standards, and you will get the memories of having spent the necessary time to have graded it correctly. The box has truly infinite interior space, but only things you are going to grade and books and other sources of knowledge can be placed inside"
200 CP,Proper Teaching Materials,Harry Potter- Era of the Marauders v1.11,"In depth material that covers seven years of teaching material for a particular subject of study. Along with a notepad that will assist with writing a syllabus and a small bookshelf that updates with theoretical material for that subject, you can provide cutting edge knowledge with time honored theory to make your students into the best they can be based on their work ethic . Perfect to help get you into the proper mindset for what your duties will entail at Hogwarts. One last book is meant for you only, a mildly enchanted book that will help you study and prepare to teach the course you selected at a level that will rival someone who has done this for ten years. Granted, for some wizards, that tends to not be too much time. The little confidence boost should help you not flub while teaching."
