100 CP,Chaos Steed,Warhammer Fantasy - Warriors of Chaos,"These dark stallions are the mount of choice for the brutish Chaos Knights. Colored black as night and normally the host to the mutations of Chaos, these mounts are now closer to the forces of darkness than their previous heritage. They bear sharp horns on their head and spikes on their hooves, and with a cruel intelligence they will use them in combat to gore their foes."
300 CP,Disc of Tzeentch,Warhammer Fantasy - Warriors of Chaos,"Previously a Screamer, one of Tzeentch’s Daemons, this large flying disc was transformed by Tzeentch to better serve as a mount for his sorcerers. Round and flat, these Daemons are less traditional mounts to be ridden and more like...well, discs that you surf on as it flies through the air at greats speeds, giving you an excellent view of the battle, and a fine perch to cast your magics at a distance."
400 CP,Juggernaut,Warhammer Fantasy - Warriors of Chaos,"These Khornate Daemons from beyond the veil are no longer a purely biological creature, made of meat and bone. These beasts are somewhat similar in appearance to a bull in shape, but profaned armor and a series of cables hide the mass of corrupted flesh within. These beasts are extremely strong and eager to use their entire body as a means to slaughter your enemies. Some Juggernauts can be found alone on the battlefield, not because they never had a rider, but because the rider was killed but none had the desire to attempt to kill his steed next."
400 CP,Steed of Slaanesh,Warhammer Fantasy - Warriors of Chaos,"These Daemonic beasts make excellent servants for the children of Slaanesh, as their precise and swift movements make them useful for moving across uneven and dangerous terrain. They are extremely quick and their tongues are like whips, ripping the flesh of those that they lash out at. They are bipedal creatures, and possess an uncanny beauty that stun your enemies long enough for you and your unholy partner to do your work. Such is the danger of these mounts that Daemonettes often use them as their mounts of choice, and when encountered by themselves it usually means something is afoot."
600 CP,Chaos Dragon,Warhammer Fantasy - Warriors of Chaos,"Spoken of only in whispers by the people of the north, these two headed beings are corrupted versions of the beasts of legend that are extremely rare and often sleep away the eons, never seen by the eyes of mortals. When anyone sees one of these deeply corrupted bringers of destruction, it is likely for the very first time...and the very last time.Their bodies are covered in extremely thick scales that ward off all attacks and their heads breathe fire that destroys all it touches. They rout entire armies with their terrifying presence and destroy all that are not wise enough to run. They are no longer exclusively powerful due to their nature, but in addition to the dark magics of Chaos, changed by the energies of Tzeentch. Although they are products of Tzeentch’s meddling, they do not swear an allegiance to the Master of Magic and instead go where they please and ally with whomever they will, for they feel that they are above the plotting of the Gods and instead see themselves as the true servants. When a Chaos Dragon serves it serves because it wills it, not because it must."
200 cp,Bloodletter ,Warhammer Fantasy - Warriors of Chaos,"These Lesser Daemons make up the majority of Khorne’s mighty forces, wielding fiery swords known as Hellblades that easily cleave through chaff and mighty heroes alike. These Daemon warriors exist to kill and only kill, the reason that Khorne favors them so. They revel in slaughter so greatly that they fight each other beyond the void simply for a chance to be summoned into the material realm and kill as men do. Though they are savage beasts, do not think them to be stupid. They do possess a cunning that often goes unnoticed on the battlefield."
200 CP,Daemonette,Warhammer Fantasy - Warriors of Chaos,"Beings cloaked in a perverse beauty as they dance through the battlefield, Daemonettes are the Lesser Daemons of Slaanesh. Obsessed with sensory experiences and glad to help others indulge in the intense feeling of pain, Daemonettes are uniquely cruel creatures that relish in the suffering of every mortal they kill. Their unnatural speed and agility make them horrifying creatures in combat, death often coming before one can even muster the effort to fight back. Such a creature should have no beauty at all, but the Prince of Excess decides what is beautiful and what iS not."
200 CP,Pink Horror,Warhammer Fantasy - Warriors of Chaos,"Tzeentch’s main Lesser Daemon, the Horror, comes not in one form but two. The first is the Pink Horror, which is the main form of the Horror. Pink Horrors focus on using their energies and magics to deal death to their foes, firing blasts of magic of their hands and mouths. Horrors are dangerous foes like this, but if seriously wounded the Horror will cackle and change into two of its second form - the Blue Horror. These smaller beings are like Daemonic temperamental children, lashing wildly at their enemies and strangulating and tearing until they finally expire."
300 CP,Clea,Dr Strange: In the Multiverse of Madness by Sentry342,"Clea is the Sorcerer Supreme of the Dark Dimension. She is introduced to the MCU in the post credit scene of Multiverse of Madness. She is incredibly powerful, at the very least capable of matching Strange. We have yet to see how she will be handled, but this option will allow you to recruit this powerful sorceress now."
100 CP,Baby Ogdru Jahad,Hellboy (Cinematic) JumpChain,"This is a surprisingly cute tentacled abomination from beyond the stars; an infant version of the Ogdru Jahad that are imprisoned in the abyss. It waves its tentacles at you enthusiastically whenever it sees you, begging for you to pet it or pick it up, and uses them to give you hugs while burbling excitedly in dark tongues. It’s more like a baby than a pet."
200 CP,Cat from Ulthar,Generic Lovecraftian Film,"This is a normal seeming cat. Though seeming is the operative word. It is highly intelligent, smart enough to understand human language if physically incapable of speaking it, and cleverer than most people; really it’s probably smarter than most people if ultimately still feline in behavior. Beyond this intelligence it seems to have a strange presence on planes of thought or spirit; planes like the Astral Planes or the Dreamlands. When in these dimensions of thought and spirit it is a highly capable predator, able to leap to or over the moon in a single bound, and match up against terrible creatures like nightgaunts, shantak birds, or the winged serpents of Nyarlathotep known as hunting horrors. It will protect your dreams from invaders, hunting them like the mice most of them really are, and can even destroy spells or psychic influence over your sleeping mind. If you abuse the cat it will turn on you, however. Counts as a follower/pet unless imported as a companion. While any kittens it has (either as dad or mom) will be skilled hunters of dreams and smarter than the average cat, they won’t be as smart as it nor will they inherently possess its loyalty and protectiveness towards you."
600 CP,Lord of Oblivion,TES: Daedra,"The Daedric Princes do not bow to another so easily, especially not to another of their power, but perhaps they could be swayed to? By taking this option, you may have one of these godlike entities become your Companion. But you will not be taking just the Prince, oh no. You will be taking them and their entire Realm, as well as their artifacts, though they will be under the control of the Prince, not you. I would certainly hope that you understand the gravity of your situation, and realize that these beings are alien in mindset, and do not submit easily."
200 CP,Insane Gatekeeper,TES: Daedra,"I don't know how you did it, and quite frankly I don't want to know. This massive flesh atronach was specially crafted to help protect the gates to the Shivering Isles, and now you are the master of one such creature. It's extremely durable, highly resistant to magic, and can take down an entire mercenary company on its lonesome with ease. It would be madness to try fighting against this thing."
100 CP,Atronach Thralls,TES: Daedra,"Atronachs are one of the most used summons by mortals, and for good reason. They follow their orders without question, and won't try to stab you in the back. You now have three Atronachs bound to your will, fire, frost, and storm. They are all more powerful than average atronachs, can take much more of a beating, and can appear by your side at will. Should they perish, simply wait an hour before calling on them once more."
0 CP,Court Jester,TES: Daedra,"Once a respected healer, this Nord has long since joined Sheogorath's realm due to a toxic romance. But now she has a new target for her affections. You. A skilled acrobat and deadly with her massive warhammer, she'll smash anything that would get in the way of you two being together."
0 CP,Atronach Mount ,TES: Daedra,"Atronachs are not confined to a form resembling only humanoid creatures, and it is not unheard of for them to take the form of rideable beasts. This animalistic Atronach, being of an element of your choosing, is eternally bound to you, allowing you to summon them anywhere you want, with no magicka cost. In addition to the standard abilities you would see in an Atronach, this mount is easy to ride, and will always be faster than you."
