0 CP,Pistol,Blade,"A heavily modified MAC-11, this packs the fire rate of a military-grade SMG into an even more compact and concealable body. Firing 9mm rounds at a cyclic rate of over 1200 a minute, you can blow through a full 32-round clip in just 1.5 seconds. Normally, trying to do so accurately would be insane, but the lengthened barrel on this somehow lets you keep up your precision even when blazing away full-auto and one-handed."
100 CP,Cool Sword,Blade,"A custom-forged weapon, balanced to your fighting style and with the perfect length for your height. With a blade formed of a unique alloy of titanium and silver, this weapon holds a lethal edge far better than any silver weapon but retains its unique ability to permanently wound and kill vampires.It even has a clockwork device in the handle that will quickly disarm (well, de-hand) any opponents who try to steal it from you."
100 CP,Electronic Pistols,Blade,"This matched set of pistols are unique in a number of ways. First, they use an electrical impulse rather than a traditional striker to prime and fire their rounds, allowing increased precision and a variable trigger pull. Their ammunition is also unusual, designed to consist of Sun Dog explosive rounds that detonate after impact in a burst of U.V. light. Finally, they include a battle-hardened camera system allowing you to record everything you shoot at for later review or bragging rights."
100 CP,Shotgun/Stake Launcher,Blade,"A combination weapon ideally designed for taking out both vampires and their human thralls, this Benelli shotgun seems to accept more exotic ammunition even more easily and readily than your standard shotgun. If you need to keep switching between slugs, buckshot, and garlic/silver shells, you can do that with ease and without worrying about a misfire. Just in case you do screw up, the two pneumatic launchers under the barrel can fire silver stakes to take care of all your troubles."
100 CP,Wristblades,Blade,"A pair of blades designed to strap to the back of your wrists, these weapons are far more lethal than their short edges would suggest. They contain an automated injector system that administers any liquid you’ve got stored in their reservoirs as you strike an opponent, allowing you to easily poison your targets as you punch them. These come filled with an unlimited supply of a super- anticoagulant known as EDTA that will cause any injected suckheads to explode violently, and cause humans to bleed out very quickly."
100 CP,GLOCK 22,Harley Quinn Jumpchain,"You possess a pair of Glock 22s that never runs out of bullets, and never misfires, although the fire power of it is similar to a normal handgun."
100 CP,Nth Metal Weapon,Justice League Unlimited Jumpchain,"A powerful piece of alien equipment. This melee weapon of choice cackles with high amounts of electricity from a small unnoticeable generator (It can be toggled on and off with but a thought.) It is stupidly durable able to even smack around powerful magic beings with relative ease due to its anti-magic properties. Like any weapon it's only as deadly as its user. Don't worry about it breaking down. It won't. For a bonus you can import any personal melee weapon you have for this little upgrade if you'd like. Can be purchased multiple times.
"
100 CP,Laevateinn,Loki Jump,"Jumper, you're gonna need this on your journey. At least, it could be useful if you don’t already have a weapon of some sort, or you need to act as a distraction. This sword is quite sharp, creates a suitable sheathe and straps when you place it to your back or side, and the blade can be ignited. Not only will the latter feature burn others or act as a source of heat, but you can use it to easily draw the attention of others to you. Just make sure you have a plan for what to do once you’ve got the attention."
100 CP,Twin Daggers,Loki Jump,"It could be argued that these limit you... but having something sharp on hand could be handy for any cutting or stabbing you need to do, so here you go. There’s not really much to say other than the fact they’re quite durable and can make an easily audible metallic noise at will when unsheathing, spinning or waving them about. Good for showing off, if nothing else."
100 CP,Love Is An Imaginary Dagger,Loki Jump,"Perhaps not the best metaphor, nor the healthiest way of looking at things, but perhaps it’s because you’re so used to wielding daggers and other bladed weapons that you’d use this comparison? Not only can you use daggers, swords and other sharp objects without cutting yourself and easily store them on your person, but you can do all sorts of tricks like flipping and throwing them, even doing so with both hands at once. Even without a dagger, you could improvise just as well with something like a horned helmet. They might not be the best weapon in the world, but you can make them look good."
