Power Armor Upgrade,Cost,Chapter Unlocked ,Jump/Supplement,Category,Effect
What's Old is New Again,"50 CP
(100 SP)",,Metroid,Base OPA Upgrade,"If you already have a body-sized suit of armor or a previous model of power armor already, then you may import it for this simple price. All features will integrate seamlessly with each other, and be perfectly compatibility for the purpose of the armor operating as normal."
Life Support,Freebee,,Metroid,Base OPA Upgrade,"Power Armor lives up to its name: it protects and keeps its user alive, first and foremost. Even the most basic of suits will provide a self-sustaining life support system. It puts the user in a sealed environment that can survive in a vacuum (though not extreme temperatures like sealed magma chambers or a sub-zero arctic), along with a self-sustaining oxygen supply. In addition, the suit will automatically repair itself and damage to the user’s vitals through the expenditure of Energy Tanks, which sustain the suit’s protection and the life of its user. It can also combat toxins or poisons that manage to move past the Power Armor’s protective seal, though it takes time to administer antibodies, and may leave the user vulnerable. You start with one life tank in your armor."
Internal HUD,Freebee,,Metroid,Base OPA Upgrade,"Whether through your retina or the visor of your helmet, you have a fully operational HUD system depicting the status of your life support, the status of your weapon (and ammo, should you rely on it), and a map system that automatically updates as you travel through a particular location. It needs to be modified manually to gain any new features beyond what you purchase here, but the programming code is flexible for the purpose of adding tactical, on-board systems."
Power Insulation System,Freebee,,Metroid,Base OPA Upgrade,"Despite the fact Power Armor can operate independently for hours at a time, it runs similar risks to shorting out or being overloaded like any sort of electronic device. This is especially problematic if it short circuits and can’t be used right in the middle of a battle. That’s what this is for. The suit will insulate any extra, outside energy from reaching its subsystems, and while it will still be damaged by loose electrical currents, it will not suffer from any structural or systemic malfunctions from the current or things that would cause such short outs. In addition, your subsystems are incredibly resilient against hacking or other damage, and will reboot in mere seconds if compromised in any way. This can still leave you vulnerable in a tight spot, but it will be for minutes or seconds instead of hours."
Arm Cannon System,Freebee,,Metroid,Base OPA Upgrade,"All of these weapons are designed to work interchangeably with each other within a single arm cannon, which rests on one arm of your armor (that you may choose). The weapon systems below can all be toggled or combined at will, though newer and self-installed systems may need some work to integrate with it properly. Can be set to a ‘stun’ or ‘kill’ setting at will."
Arm Cannon: Power Beam,Freebee,,Metroid,Base OPA Upgrade,"A basic weapon used across the galaxy, considered a mainstay of power armor weaponry. These yellow pellet-sized charges of energy have the benefit of having no need for ammunition, with the downside that it does very slight damaged to armored or tough foes. Still, this is the foundation for many of the weapon systems below, and its versatility – lacking an ‘element’ or exact energy signature – should not be underestimated. Semi-automatic."
Scan Visor,Freebee,,Metroid,Base OPA Upgrade,"A very basic but helpful tool, almost considered mandatory on long journeys into alien planets. This scans an individual object or person and gives you some basic, cursory details about the item in question. Even better, if the armor has access to a larger intelligence network or any sort of long-term data banks, it can draw fairly accurate conclusions and guesses about the scanned object by comparing it to observations the data provides – or even a complete dossier, if you can access one. How handy is that?"
Thruster System,Freebee,,Metroid,Base OPA Upgrade,"A fairly basic and common addition to a suit of power armor is a pair of thrusters on the back. These aren’t capable of sustained flight or long-term use, but can provide extra jumping power or momentum when you need to move in another direction VERY quickly. Thought activated."
Morph Ball,"50 CP
(100 SP)",,Metroid,Base OPA Upgrade,"This is one of the more...esoteric systems of the Chozo. The armor compresses into a spherical form with the user harmlessly contained within it, with sensory awareness of their surroundings, and is able to roll around of their own volition. It is astoundingly useful for infiltration or navigating tight spaces, but is otherwise a baffling topic for Space Pirates and the Federation alike. The only person who uses it regularly is Samus, and attempts to recreate the technology have been...disastrous at best. Comes with an energy bomb feature, able to explode with a small concussive impact with no risk to the user, that can be used at will."
Suit Up,"100 CP
(200 SP)",,Metroid,Base OPA Upgrade,"A problem that more primitive power armor systems have is that putting on a bulky suit of technology can be a little time-consuming, especially if you’re not expecting to engage in combat anytime soon. This solves that issue – your armor is stored within a digital space until it comes time to equip it, where it will form around your body within a matter of seconds. Best done in a relaxed or non-hostile environment, for damage can disrupt the process. You can just as easily ‘de-equip’ the suit, where it will wait in a pod within your Warehouse for modifications, repairs, or when you need it again.

You also receive blueprints and a box of enough working parts to apply this to other suits of power armor you may own, or any sort of technological equipment you add to your body. If you have a suit tailored to your biology, then this instead creates a ‘civilian mode’ that lets you read as flesh and bone (or whatever you’re made of). Excellent for getting past metal detectors."
