0,,CP Cost,Name,Jumpchain,Description,PERKS,COVER,51
,,,,,,,,
1,,50,Forest Hideout,Fate/Legends: God Save the Queen,"Every outlaw needs a place to retreat, even when fighting the good fight. While it does take a little while to get there, you’ll find that small hidey-holes are available for you out in the wilderness when you need them. Often barely more than a bolthole in the ground, a hollowed out tree or a abandoned hut beneath a rocky outcropping, these places still contain food and a small amount of medical supplies. It could save your life, as could the map of the local area and simple but sturdy weapons found in each one.",,,
2,,50,Bath House,Fate/Legends: Empires of Antiquity,"A marble bathhouse now exists for you, attached to some property you own or standing on it’s own. Large enough to house several dozen bathing, relaxation and massage rooms of varying sizes, maintained by a staff of highly skilled but otherwise normal attendants and even constantly supplied with water of the right temperatures, special herbs and a apparently endless supply of Roman food and drink. It’s the perfect place to relax, especially since bathing in the waters here makes people feel much more uninhibited in their thoughts and actions. It helps engender the sort of satisfyingly degenerate atmosphere that the Romans used to enjoy, one where happy endings come often and repeatedly.",,,
3,,100,The Books of England,Fate/Legends: God Save the Queen,"Value far beyond money to the eyes of any collector or lover of literature, this victorian-era building contains a copy of every written work published within England and the British Empire. First editions in perfect condition, from the oldest fairy tales and manuscripts to more recent plays and novels, even the scripts for modern entertainment programs can be found. Provided it is public, an impeccably maintained version can be found within this library, which is also fitted with many comfortable lounging chairs, fireplaces and a variety of refreshments to make the reading all the more pleasant.",,,
4,,100,Family Library,Lord El-Melloi II Case Files,"A collection of several dozen mystical texts and hundreds of notebooks which contain all the information necessary to learn common magecraft, and a great deal of information about your family’s magic and research in particular.",,,
5,,100,Alchemy Lab,Fate/Legends: God Save the Queen,"Tools that some may consider to be an investment for crackpots and madmen, this alchemical laboratory is small but all that’s needed for someone of actual skill to get to work. A small building, with a surprising attention to safety for this era, it is built with several separate lab rooms filled with a variety of equipment needed for alchemy and creating chemical substances in general. A normal chemist could brew up quite the variety of substances with the gradually replenishing materials found in the drawers here, while a trained alchemist will find the tools and materials needed to start creating low range magical potions.",,,
6,,100,Wonderous Memory,Witch on the Holy Night,"Was this meadow torn from time itself by the 5th Magic? If it even is a meadow. It could be a woodland glen, a garden, even a seaside incongruously found somewhere behind a Bounded Field (or past an ornate blue door in your Warehouse). Whatever it is, it’s a natural environment the size of the average mountainside forest with a stark beauty and the pristine state of the wild as it was before the advent of mankind. Even if you are wholly human, being here is soothing to your mind and soul. There’s plenty of game and fresh water here, but no predators. To a wild beast, it’s practically Heaven.",,,
7,,100,Childhood Home,Fate/Legends: Viva la France,"The place you grow up or at least somewhere that brings out the same nostalgic feelings in your heart. This simple homestead farm is not some place of great profit but rather a quiet place, where spiritual reflection becomes easy and recovering from the wounds of the world is a much more pleasant task. A loving family runs the farm, either the one who raised you or one that has come to consider you part of their clan despite your other origins. Whatever happens in the rest of the world, whatever deeds you do for good or ill, they’ll always welcome you home with a warm bowl of food and some chores to busy your mind with. The skies are always clear and blue here, the fields healthy and green. It is a place for the soul.",,,
8,,100,221B Jumper Street,Fate/Legends: God Save the Queen,"A comfortable home, squeezed between the rows of houses in the inner city. Two storeys and rather cluttered inside, but still furnished and styled to your personal tastes. It’s filled with a variety of curios and personal interests, things fitting to your own particular hobbies and sure to entertain any guests. Whoever the owner of this house is, they appear to have an exceptional reputation with the local and national law enforcement, the sort that has them draw on the occupant for advice and support quite often. The perfect place for a private eye to make his business from.",,,
9,,100,My Room,Fate/Grand Master,"A set of spacious living quarters, the rooms you received from Chaldea probably belonged to someone on the command staff before everything blew up. This luxurious apartment comes with a king-sized bed large enough to accommodate an orgy, a lavish bathroom, and a few spare rooms that can easily be remodeled into a magi’s workshop or a sex dungeon. An intimate atmosphere pervades the whole apartment, helping to set the mood for seducing any visitors you might bring over and making your quarters the perfect place to advance your relationships to the next level. Unwanted intruders will find themselves contending with a set of security wards that can guard your privacy against all but the most skilled casters or assassins.",,,
10,,100,Dark Place,Fate/Legends: Garden of Avalon,"The enemies of Camelot can hardly live in the open, not with the immense power the Round Table may wield against their enemies. But that is why those enemies keep places like the one you have now, dark places hidden from the searching eyes of the king’s men. You have a hideaway, such as a witch’s hut in a swamp or a small home made deep in a cave system. Not only is it very hard to find through normal means but it also heavily warded against magical forms of detection or searching. There are a fair few monsters around this home but they’re fine with leaving you alone so long as you don’t disturb them.",,,
11,,100,House of the Witch,Fate/Legends: Empires of Antiquity,"Every young witch’s favourite birthday present, at least until they know how to make it themselves. This small house is rather rudimentary when it comes to living necessities but quite filled out in regards to potion making. Not only does it have a high quality set of tools and appliances towards creating potions, poisons and designing magical rituals, it also comes with a weekly replenishing stock of low to mid range potions in the pantry. From youth restoring drinks, potions to plump or slim down the form, some love potions and even a few useful for combat potions that can temporarily improve strength and speed. The house also always has a fresh batch on pancakes ready on the stove, covered in your choice of delicious topping.",,,
12,,200,Welcome Inn,Fate/Apocrypha,"Maybe a friend of a new friend who owns this place, maybe they keep forgetting to ask you for rent? However this arrangement works, you have bed and board at a small, mundane and fairly friendly inn. It’s in a village just remote enough to be out of the way of things while close enough to main transport links to get to other places.",,,
13,,200,Studio Apartment,Tsukihime,"A modest one-bedroom apartment that’s been signed in your name...and for some reason, the landlord never comes calling or asks for rent from you. You didn’t do anything funny to them, did you? Well, it’s a cozy and simple home with every modern utility you could ask for, and has an unusually comfy bed too. The fridge doesn’t restock, though, so be sure to do some shopping. Can become a Warehouse attachment or settled in a nearby city in future jumps.",,,
14,,200,Ladies Lake,Fate/Legends: Garden of Avalon,"A gorgeous glade of your own, with a small but totally pristine lake. This place is totally free of corruption and filth, regardless of where you are, and the waters of the lake can hide from detection anything submerged in them. If you stay in this glade for a time, you will find that heroes and those destined to become heroes often come to visit you. By accident or with some purpose, it becomes an excellent way to find those looking for assistance or willing to offer it.",,,
15,,200,Bloodchips and Stock,Kara no Kyokai,"Shirazumi’s personal drug, his attempt at making others into those like him with a mix of his blood and supernatural compounds, was never going to work. It just became a very nasty poison, giving a long and slow death to those that took too much. You’ve got a supply of this deadly drug, as well as the tools to make your own. Your own private little drug making laboratory, tucked in deep to the hidden alleyways and warehouses, along with quite the supply of materials to use in making illegal substances. The supply restores, enough to potentially cover selling to a large section of Mifune City’s underworld, and you even have a slowly restoring supply of low level supernatural ingredients, often the bodily fluids of Magi or minor supernatural beings.",,,
