0,,CP Cost,Name,Jumpchain,Description,PERKS,COVER,69
,,,,,,,,
,,Free,Truth From Fantasy,Fate - The Island of Sin,"Here is a simple fact: this world is not supposed to exist. It was a pruned timeline, and the entire Fae Era was only a simulation created by the Tree of Fantasy. It was Morgan who turned this from a simulation to reality, but everything with an origin in the time of the Tree of Fantasy—including every single human being that isn’t a changeling—is ultimately just a simulation interacting with reality as though it was real, and would be unable to survive outside of a Lostbelt or Lost World without a massive overturn to the very nature of Proper Human History.

You defy this paradigm. It doesn’t matter if you’re just a simulation or an imitation of reality; even if you left your simulation, you’d be able to survive just fine on the outside. Even if you were a fantasy, you could exist in the real world. Being a member of a Lostbelt is in no way harmful or risky for you; even if the Lostbelt were to collapse, you’d be left alive where it once stood none the worse for wear.

With an act of will, you can gift a copy of this perk to other people to ensure that they too would be able to live in an environment where they would otherwise be dismissed as a fantasy.

But perhaps that isn’t enough. Perhaps you want to save more people just those you can directly gift this perk to—or it could be that you don’t care about them at all, and only want to ensure that the land of Faerie Britain survives. By spending an additional -400 CP, you can expand this ability to enable you to make an entire “world” immune to attempts to delete it, prune it, relegate it to fantasy, or outright destroy it. In this jump, it would apply to Lostbelts and Lost Worlds—you could even make it apply to Singularities—but in future jumps it might be able to preserve planets, universes, or entire timelines, if they are in danger of being destroyed. You can control what this perk protects, in case you encounter a world you would relish seeing destroyed.",,,
,,50,Curse Resistance,Fate - The Island of Sin,"Curses are an endemic problem in Faerie Britain, especially in the form of the Mors. The touch of a Mors spreads the Mors Curse, turning regular faeries into more Mors. Fortunately, you have this perk to protect you; it isn’t immunity to curses, but it gives you a resistance that allows you to ignore weak or casual curses, and you could withstand a dozen hits from Mors in a single battle before you risked succumbing to the Curse.",,,
,,100,This is My Absolute Territory,Fate/Stay Night,"The sad reality of all those fabulous clothes you see some people wearing is that there are certain sacrifices to be made. Things like how utterly freezing your thighs get when your socks only go to your knees or how gross and sweaty your chest gets after you've been running around in a steel breastplate all day. I guess it's lucky you don't stick to reality in this case because you'll never have to experience either of the above two things. No matter what you're wearing, as long as it is not actually harmful to you, will feel like the most comfortable, well-fitting clothes you've ever gotten to wear, regardless of their actual shape, material or quality. Go ahead and wear all the leather, spandex and metal you want.",,,
,,100,Put On Some Clothes,Fate/Grand Order,"That outfit definitely doesn’t look battle ready, are you sure you wouldn’t prefer some less...flamboyant clothes? No? It’s pretty cold out there, despite your lack of reaction. You don’t really seem to have much reaction at all to things like cold or heat, other than the real extremes. Neither are you ever tripped up in a fight by your own outfit, no matter how large and extravagant it may be. One could say you’re free to wear whatever you want without it negatively affecting you. But that’d be silly.",,,
,,100,"Love Safely, if You Love at All",Fate - The Island of Sin,"Queen Mab, in her attempt at conquering the southern lands, failed because her lover succumbed to mortality. High Queen Morgan, when the faeries yet again turned on her, was halted from blasting them to oblivion only because they held Baobhan Sith hostage. Love is a dangerous thing… but all too often, it’s something you cannot do without. 

You, however, have a guarantee of safety for those you care about. If you love someone, the lifespan of you and your lover are averaged, extending and shortening your life to match the one you care about. Of course, if one of you happens to be immortal, this makes your life unending, barring tragic accident.

Speaking of tragic deaths, you have a guarantee that those will never befall your beloved. Oh, they may die, but they will never be killed while they are helpless. If your daughter is sickly and unable to move, no one will take advantage of it; if your lover is asleep, no one will cut his throat. That sort of sad ending to the story isn’t one you and your beloved need to worry about.",,,
,,100,Carrion Eater,Fate/Myth,You won’t get diseased or sickened by what you eat. As long as you can eat it at it’s best you can eat it at its worst with no downsides. Rotted meat will taste just as good as perfectly cooked meat for a king.,,,
,,100,Strong Insides ,Grand Foreigner,"While some heroes are famous for invulnerable skin they often have weaker insides. A clear demonstration of this was when Ainz fought Rama, Scathath, and Cu Chulainn Alter. His acid mist spell didn’t do much damage to their bodies, but as soon as they inhaled it all of them collapsed in agony. This perk is designed to protect against similar issues. It works by making every aspect of your body as durable as your strongest point. This means that your organs, skin, eyes, and everything else will share the same durability. It will be far more difficult for anyone to hurt you with this perk",,,
,,100,"""I will overcome Britain's curse!""",Fate - The Island of Sin,"If Barghest had found this resolution earlier, perhaps the fate of this Lost World could have been different... it’s fortunate for you, then, that you have this power of focus and willpower. Your mind is yours, and your thoughts cannot be affected by outside forces, interfacing with yourself from another timeline, or being subject to a transformation that would otherwise devolve your consciousness.

For another -100 CP, you gain a remarkable power to come back from any transformation you have been subjected to. Even if you were turned into a harmless caterpillar, by straining with all your might you could break the transformation... although as you might surmise from “all your might”, you’ll be quite exhausted once the deed is done.",,,
,,100,Beast of Gods,Fate/Grand Order,"Could there be any warrior more perfect? Any man more flawless? Compared to you? Not at all. At least when you’re just observing from afar, you appear to be totally without flaws or weaknesses to anyone. You're perfect in aesthetics, though you are quite handsome, but you seem to lack any weaknesses, flaws, holes in your defences or other disadvantages to onlookers. Even those who have special powers to notice such things will fail to do so. It is only after directly interacting with your weaknesses that they can uncover them, such as by noticing that you take much more damage from fire than other sorts of attacks if you have a weakness to fire. Even that will be difficult to notice however, as any injuries you take seem far less serious to your opponents, though your allies can still realise the severity if you wish them to.",,,
